,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,0,0,2008,롯데,준플,20,2B,,,1,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.5,0.5,0.5,1.0,,,
1,1,1,2013,키움,준플,25,3B,,,5,22,22,19,1,5,0,0,1,8,3,0,2,3,0,0,5,1,0,0,0.263,0.364,0.421,0.785,,,
2,2,2,2014,키움,한국,26,3B,,,6,20,20,19,0,5,2,0,0,7,0,0,0,1,0,0,6,0,0,0,0.263,0.3,0.368,0.668,,,
3,3,3,2014,키움,플옵,26,3B,,,4,17,17,11,5,5,1,0,1,9,7,0,0,3,2,0,3,0,0,1,0.455,0.588,0.818,1.406,,,
4,4,4,2015,키움,준플,27,3B,,,4,17,17,15,1,4,2,0,0,6,2,0,0,1,0,0,3,0,0,1,0.267,0.294,0.4,0.694,,,
5,5,5,2015,키움,와카,27,3B,,,1,5,5,4,0,2,1,0,0,3,0,0,0,1,0,0,1,0,0,0,0.5,0.6,0.75,1.35,,,
6,6,6,2016,키움,준플,28,3B,,,4,16,16,15,2,3,0,0,0,3,0,0,0,1,0,0,4,2,0,0,0.2,0.25,0.2,0.45,,,
7,7,7,2018,키움,플옵,30,3B,,,5,12,12,11,1,4,2,0,0,6,1,0,0,1,0,0,3,0,0,0,0.364,0.417,0.545,0.962,,,
8,8,8,2018,키움,준플,30,3B,,,4,17,17,16,2,3,1,0,0,4,0,0,0,1,0,0,0,1,0,0,0.188,0.235,0.25,0.485,,,
9,9,9,2018,키움,와카,30,3B,,,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,,,
10,10,10,2019,LG,준플,31,3B,,,4,18,16,14,2,3,1,0,0,4,1,0,0,2,0,0,1,0,2,0,0.214,0.313,0.286,0.599,,,
11,11,11,2019,LG,와카,31,3B,,,1,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.25,0.0,0.25,,,
12,12,12,2020,LG,준플,32,3B,,,2,7,7,7,0,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.286,0.286,0.286,0.572,,,
13,13,13,2020,LG,와카,32,3B,,,1,6,6,6,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,,,
14,14,14,2021,LG,준플,33,3B,,,3,13,13,10,1,5,1,0,0,6,3,0,0,1,2,0,2,0,0,0,0.5,0.615,0.6,1.215,,,
15,15,15,2022,LG,플옵,34,3B,,,3,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,,,
16,16,16,2023,LG,한국,35,2B,,,4,2,2,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.0,0.5,0.0,0.5,,,
