,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2013,키움,준플,23,C,,,4,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,,,
1,2014,키움,한국,24,C,,,6,18,17,15,2,3,0,0,0,3,0,0,0,0,2,0,6,0,1,0,0.2,0.294,0.2,0.494,,,
2,2014,키움,플옵,24,C,,,4,13,12,11,1,4,1,0,0,5,2,0,0,1,0,0,4,0,1,0,0.364,0.417,0.455,0.872,,,
3,2015,키움,준플,25,C,,,4,16,16,13,3,4,2,0,2,12,6,0,0,2,1,0,2,0,0,0,0.308,0.438,0.923,1.361,,,
4,2015,키움,와카,25,C,,,1,5,5,5,0,1,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0.2,0.2,0.2,0.4,,,
5,2016,키움,준플,26,C,,,4,13,12,11,1,1,1,0,0,2,1,0,0,1,0,0,3,0,1,0,0.091,0.167,0.182,0.349,,,
6,2019,키움,한국,29,C,,,4,7,7,6,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0.0,0.143,0.0,0.143,,,
7,2019,키움,플옵,29,C,,,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,,,
8,2019,키움,준플,29,C,,,3,3,3,3,0,1,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0.333,0.333,0.667,1.0,,,
9,2020,키움,와카,30,C,,,1,3,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.5,0.5,0.5,1.0,,,
10,2021,키움,와카,31,C,,,2,5,5,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,,,
11,2022,KIA,와카,32,C,,,1,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,,,
12,2023,LG,한국,33,C,,,5,20,19,16,3,5,0,0,2,11,4,0,0,2,1,0,3,2,1,0,0.313,0.421,0.688,1.109,,,
13,2024,LG,플옵,34,C,0.06,,4,13,13,11,1,1,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0.091,0.231,0.091,0.322,,,
14,2024,LG,준플,34,C,0.08,,5,19,19,15,3,3,1,0,1,7,2,0,0,4,0,0,4,1,0,0,0.2,0.368,0.467,0.835,,,
