,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2013,키움,준플,27,1B,,,5,25,24,20,5,4,2,0,2,12,4,0,0,4,1,1,4,0,0,0,0.2,0.36,0.6,0.96,,,
1,2014,키움,한국,28,1B,,,6,24,24,21,3,3,1,0,1,7,1,0,0,1,2,0,6,0,0,0,0.143,0.25,0.333,0.583,,,
2,2014,키움,플옵,28,1B,,,4,17,17,15,4,5,1,0,0,6,0,0,0,2,0,0,6,0,0,0,0.333,0.412,0.4,0.812,,,
3,2015,키움,준플,29,1B,,,4,17,17,11,5,4,0,0,2,10,4,0,0,5,0,1,2,0,0,1,0.364,0.529,0.909,1.438,,,
4,2015,키움,와카,29,1B,,,1,5,5,3,0,0,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0.0,0.4,0.0,0.4,,,
5,2018,키움,플옵,32,1B,,,5,22,22,19,2,3,0,0,1,6,2,0,0,2,1,0,8,1,0,0,0.158,0.273,0.316,0.589,,,
6,2018,키움,준플,32,1B,,,4,17,17,13,5,3,0,0,1,6,2,0,0,2,2,0,5,0,0,0,0.231,0.412,0.462,0.874,,,
7,2018,키움,와카,32,1B,,,1,5,5,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.0,0.0,0.0,0.0,,,
8,2019,키움,한국,33,1B,,,4,18,18,16,3,4,2,0,0,6,2,0,0,2,0,0,4,0,0,0,0.25,0.333,0.375,0.708,,,
9,2019,키움,플옵,33,1B,,,3,15,15,11,2,2,0,0,0,2,1,0,0,3,1,1,4,0,0,0,0.182,0.4,0.182,0.582,,,
10,2019,키움,준플,33,1B,,,4,18,18,16,3,6,0,0,3,15,6,0,0,2,0,1,5,0,0,0,0.375,0.444,0.938,1.382,,,
11,2020,키움,와카,34,1B,,,1,6,6,5,2,2,0,0,1,5,1,0,0,1,0,0,3,0,0,0,0.4,0.5,1.0,1.5,,,
12,2021,키움,와카,35,1B,,,2,10,10,9,1,3,0,0,0,3,2,0,0,0,0,0,2,1,0,1,0.333,0.3,0.333,0.633,,,
13,2022,KT,준플,36,1B,,,5,20,20,19,2,10,1,0,1,14,3,0,0,1,0,0,6,0,0,0,0.526,0.55,0.737,1.287,,,
14,2022,KT,와카,36,1B,,,1,4,4,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.0,0.25,0.0,0.25,,,
15,2023,KT,한국,37,1B,,,5,20,20,18,3,2,0,0,1,5,2,0,0,2,0,0,8,1,0,0,0.111,0.2,0.278,0.478,,,
16,2023,KT,플옵,37,1B,,,5,20,20,20,1,4,1,0,0,5,1,0,0,0,0,0,7,2,0,0,0.2,0.2,0.25,0.45,,,
17,2024,삼성,한국,38,1B,0.09,,5,20,20,17,1,2,0,0,1,5,1,0,0,1,2,0,6,1,0,0,0.118,0.25,0.294,0.544,,,
18,2024,삼성,플옵,38,1B,0.08,,4,16,16,13,0,3,0,0,0,3,0,0,0,2,1,0,5,0,0,0,0.231,0.375,0.231,0.606,,,
