,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2013,넥센,준플,24,2B,,,5,26,26,22,5,6,0,0,0,6,1,2,1,4,0,1,2,0,0,0,0.273,0.385,0.273,0.658,,,
1,2014,넥센,한국,25,2B,,,6,25,25,23,4,4,0,1,0,6,1,3,0,2,0,0,4,0,0,0,0.174,0.240,0.261,0.501,,,
2,2014,넥센,플옵,25,2B,,,4,19,17,16,0,3,0,0,0,3,1,1,0,2,0,1,3,0,1,0,0.188,0.278,0.188,0.466,,,
3,2015,넥센,준플,26,2B,,,4,18,16,15,2,5,1,0,1,9,1,0,0,1,0,0,2,0,2,0,0.333,0.375,0.600,0.975,,,
4,2015,넥센,와카,26,2B,,,1,6,6,4,1,0,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0.000,0.333,0.000,0.333,,,
5,2016,넥센,준플,27,2B,,,4,17,17,16,1,3,0,0,0,3,4,0,0,1,0,0,1,0,0,0,0.188,0.235,0.188,0.423,,,
6,2018,넥센,플옵,29,2B,,,5,22,22,20,5,8,2,0,0,10,1,1,0,2,0,0,3,0,0,0,0.400,0.455,0.500,0.955,,,
7,2018,넥센,준플,29,2B,,,4,18,18,17,1,3,1,0,0,4,1,0,0,1,0,0,3,1,0,0,0.176,0.222,0.235,0.457,,,
8,2018,넥센,와카,29,2B,,,1,5,5,3,2,1,1,0,0,2,2,1,0,2,0,0,0,0,0,0,0.333,0.600,0.667,1.267,,,
9,2019,키움,한국,30,2B,,,4,20,20,17,3,3,1,0,0,4,2,0,1,3,0,0,0,1,0,0,0.176,0.300,0.235,0.535,,,
10,2019,키움,플옵,30,2B,,,3,16,16,16,3,6,1,0,0,7,1,1,0,0,0,0,5,0,0,0,0.375,0.375,0.438,0.813,,,
11,2019,키움,준플,30,2B,,,4,18,18,16,3,5,1,0,0,6,2,1,0,2,0,0,2,0,0,0,0.313,0.389,0.375,0.764,,,
12,2020,키움,와카,31,2B,,,1,6,6,6,1,1,1,0,0,2,0,0,0,0,0,0,3,0,0,0,0.167,0.167,0.333,0.500,,,
13,2021,LG,준플,32,2B,,,3,13,11,8,1,2,0,0,0,2,1,1,0,3,0,0,1,0,2,0,0.250,0.455,0.250,0.705,,,
14,2022,LG,플옵,33,2B,,,4,11,11,11,1,2,0,0,0,2,1,1,0,0,0,0,1,0,0,0,0.182,0.182,0.182,0.364,,,
15,2024,KIA,한국,35,1B,0.03,,2,6,5,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0.000,0.200,0.000,0.200,,,
