,Year,Team,Series,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2012,두산,준플,26,1B,,,2,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,
1,2013,두산,한국,27,1B,,,7,19,19,15,1,4,2,0,1,9,3,0,0,4,0,1,8,0,0,0,0.267,0.421,0.6,1.021,,,
2,2013,두산,플옵,27,1B,,,3,4,4,3,1,1,0,1,0,3,0,0,0,1,0,0,1,0,0,0,0.333,0.5,1.0,1.5,,,
3,2013,두산,준플,27,1B,,,5,7,7,4,1,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0.0,0.429,0.0,0.429,,,
4,2015,두산,한국,29,1B,,,4,9,9,5,3,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0.0,0.444,0.0,0.444,,,
5,2015,두산,플옵,29,1B,,,5,12,12,11,0,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0.0,0.083,0.0,0.083,,,
6,2015,두산,준플,29,1B,,,4,7,6,5,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0.2,0.333,0.2,0.533,,,
7,2016,두산,한국,30,1B,,,4,19,18,17,1,1,0,0,0,1,2,0,0,0,0,0,6,0,1,1,0.059,0.056,0.059,0.115,,,
8,2017,두산,한국,31,1B,,,5,22,22,19,2,6,1,0,1,10,3,0,0,3,0,0,3,0,0,0,0.316,0.409,0.526,0.935,,,
9,2017,두산,플옵,31,1B,,,4,20,20,15,8,9,0,0,5,24,12,0,0,5,0,0,3,0,0,0,0.6,0.7,1.6,2.3,,,
10,2018,두산,한국,32,1B,,,6,17,17,16,1,2,0,0,0,2,0,1,0,1,0,0,8,0,0,0,0.125,0.176,0.125,0.301,,,
11,2019,두산,한국,33,1B,,,4,19,19,18,4,6,2,0,1,11,6,0,0,1,0,0,6,0,0,0,0.333,0.368,0.611,0.979,,,
12,2020,두산,한국,34,1B,,,6,22,21,21,1,4,2,0,0,6,0,0,1,0,0,0,8,0,0,0,0.19,0.19,0.286,0.476,,,
13,2020,두산,플옵,34,1B,,,4,16,16,15,1,1,0,0,0,1,0,0,0,1,0,0,6,0,0,0,0.067,0.125,0.067,0.192,,,
14,2020,두산,준플,34,1B,,,2,9,9,9,1,2,0,0,1,5,2,1,0,0,0,0,2,1,0,0,0.222,0.222,0.556,0.778,,,
15,2021,삼성,플옵,35,1B,,,2,10,10,9,0,1,0,0,0,1,2,0,0,1,0,0,3,1,0,0,0.111,0.2,0.111,0.311,,,
16,2024,KT,준플,38,1B,0.03,,4,6,6,5,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0.0,,,
17,2024,KT,와카,38,1B,0.04,,2,7,7,7,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0.143,0.143,0.143,0.286,,,
