,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2013,키움,준플,23,C,4,0,10.0,7,6,1,0,100.0,6.3,,,,,,,,,,,,,,
1,1,1,2014,키움,한국,24,C,6,6,50.2,53,51,1,1,98.1,9.24,,,,,,,,,,,,,,
2,2,2,2014,키움,플옵,24,C,4,4,32.0,35,30,4,1,97.1,9.56,,,,,,,,,,,,,,
3,3,3,2015,키움,준플,25,C,4,4,34.1,30,27,2,1,96.7,7.6,,,,,,,,,,,,,,
4,4,4,2015,키움,와카,25,C,1,1,11.0,12,12,0,0,100.0,9.82,,,,,,,,,,,,,,
5,5,5,2016,키움,준플,26,C,4,4,33.0,26,23,2,1,96.2,6.82,,,,,,,,,,,,,,
6,6,6,2019,키움,한국,29,C,1,1,8.2,7,6,0,1,85.7,6.23,,,,,,,,,,,,,,
7,7,7,2019,키움,준플,29,C,1,1,3.0,2,2,0,0,100.0,6.0,,,,,,,,,,,,,,
8,8,8,2020,키움,와카,30,C,1,0,6.1,7,7,0,0,100.0,9.95,,,,,,,,,,,,,,
9,9,9,2021,키움,와카,31,C,2,0,7.2,6,5,0,1,83.3,5.87,,,,,,,,,,,,,,
10,10,10,2022,KIA,와카,32,C,1,1,8.0,6,6,0,0,100.0,6.75,,,,,,,,,,,,,,
11,11,11,2023,LG,한국,33,C,5,5,42.0,50,42,6,2,96.0,10.29,,,,,,,,,,,,,,
12,12,12,2024,LG,플옵,34,C,4,4,33.0,35,33,2,0,100.0,9.55,,,,,,,,,,,,,,
13,13,13,2024,LG,준플,34,C,5,5,43.0,47,45,1,1,97.9,9.63,,,,,,,,,,,,,,
