,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2013,키움,준플,27,1B,5,5,53.0,65,59,6,0,100.0,11.04,,,,,,,,,,,,,,
1,2014,키움,한국,28,1B,6,6,52.2,44,39,4,1,97.7,7.35,,,,,,,,,,,,,,
2,2014,키움,플옵,28,1B,4,4,36.0,36,31,5,0,100.0,9.0,,,,,,,,,,,,,,
3,2015,키움,준플,29,1B,4,4,35.1,37,37,0,0,100.0,9.42,,,,,,,,,,,,,,
4,2015,키움,와카,29,1B,1,1,11.0,8,6,2,0,100.0,6.55,,,,,,,,,,,,,,
5,2018,키움,플옵,32,1B,5,5,43.1,30,28,2,0,100.0,6.23,,,,,,,,,,,,,,
6,2018,키움,준플,32,1B,4,4,36.0,30,27,2,1,96.7,7.25,,,,,,,,,,,,,,
7,2018,키움,와카,32,1B,1,1,9.0,9,9,0,0,100.0,9.0,,,,,,,,,,,,,,
8,2019,키움,한국,33,1B,4,4,34.2,36,34,2,0,100.0,9.35,,,,,,,,,,,,,,
9,2019,키움,플옵,33,1B,3,3,26.0,27,26,1,0,100.0,9.35,,,,,,,,,,,,,,
10,2019,키움,준플,33,1B,4,4,36.0,39,32,7,0,100.0,9.75,,,,,,,,,,,,,,
11,2020,키움,와카,34,1B,1,1,12.2,12,12,0,0,100.0,8.53,,,,,,,,,,,,,,
12,2021,키움,와카,35,1B,1,0,1.0,1,1,0,0,100.0,9.0,,,,,,,,,,,,,,
13,2023,KT,한국,37,1B,5,5,41.0,37,31,4,2,94.6,7.68,,,,,,,,,,,,,,
14,2023,KT,플옵,37,1B,5,5,43.0,43,39,3,1,97.7,8.79,,,,,,,,,,,,,,
