,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2012,두산,준플,26,1B,2,,,,,,0,,,,,,,,,,,,,,,,
1,1,1,2013,두산,한국,27,1B,6,4.0,42.0,41.0,39.0,2.0,0,100.0,8.79,,,,,,,,,,,,,,
2,2,2,2013,두산,플옵,27,1B,3,1.0,13.0,12.0,12.0,0.0,0,100.0,8.31,,,,,,,,,,,,,,
3,3,3,2013,두산,준플,27,1B,3,2.0,14.0,15.0,14.0,1.0,0,100.0,9.64,,,,,,,,,,,,,,
4,4,4,2015,두산,한국,29,1B,4,1.0,18.0,20.0,19.0,0.0,1,95.0,9.5,,,,,,,,,,,,,,
5,5,5,2015,두산,플옵,29,1B,4,4.0,27.0,32.0,30.0,2.0,0,100.0,10.67,,,,,,,,,,,,,,
6,6,6,2015,두산,준플,29,1B,2,1.0,14.0,16.0,16.0,0.0,0,100.0,10.29,,,,,,,,,,,,,,
7,7,7,2016,두산,한국,30,1B,4,4.0,38.0,33.0,30.0,3.0,0,100.0,7.82,,,,,,,,,,,,,,
8,8,8,2017,두산,한국,31,1B,5,5.0,44.0,54.0,53.0,1.0,0,100.0,11.05,,,,,,,,,,,,,,
9,9,9,2017,두산,플옵,31,1B,4,4.0,36.0,34.0,32.0,1.0,1,97.1,8.25,,,,,,,,,,,,,,
10,10,10,2018,두산,한국,32,1B,5,5.0,36.0,34.0,32.0,1.0,1,97.1,8.25,,,,,,,,,,,,,,
11,11,11,2019,두산,한국,33,1B,4,4.0,37.0,40.0,36.0,2.0,2,95.0,9.24,,,,,,,,,,,,,,
12,12,12,2020,두산,한국,34,1B,6,6.0,51.0,49.0,48.0,1.0,0,100.0,8.65,,,,,,,,,,,,,,
13,13,13,2020,두산,플옵,34,1B,4,4.0,36.0,33.0,32.0,1.0,0,100.0,8.25,,,,,,,,,,,,,,
14,14,14,2020,두산,준플,34,1B,2,2.0,18.0,12.0,12.0,0.0,0,100.0,6.0,,,,,,,,,,,,,,
15,15,15,2021,삼성,플옵,35,1B,2,2.0,17.0,19.0,18.0,1.0,0,100.0,10.06,,,,,,,,,,,,,,
16,16,16,2024,KT,준플,38,1B,4,2.0,16.0,16.0,15.0,0.0,1,93.8,8.44,,,,,,,,,,,,,,
17,17,17,2024,KT,와카,38,1B,2,2.0,16.0,17.0,17.0,0.0,0,100.0,9.56,,,,,,,,,,,,,,
