,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2012,삼성,한국,26,C,4,,,,,,0,,,,,,,,,,,,,,,,
1,1,1,2013,삼성,한국,27,C,5,2.0,17.1,14.0,13.0,0.0,1,92.9,6.75,,,,,,,,,,,,,,
2,2,2,2014,삼성,한국,28,C,5,4.0,30.0,26.0,25.0,1.0,0,100.0,7.8,,,,,,,,,,,,,,
3,3,3,2015,삼성,한국,29,C,5,5.0,37.0,27.0,24.0,3.0,0,100.0,6.57,,,,,,,,,,,,,,
4,4,4,2019,키움,한국,33,C,3,3.0,26.1,30.0,29.0,1.0,0,100.0,10.25,,,,,,,,,,,,,,
5,5,5,2019,키움,플옵,33,C,3,3.0,29.0,28.0,27.0,1.0,0,100.0,8.69,,,,,,,,,,,,,,
6,6,6,2019,키움,준플,33,C,4,2.0,30.2,23.0,21.0,2.0,0,100.0,6.75,,,,,,,,,,,,,,
7,7,7,2020,키움,와카,34,C,1,1.0,6.1,4.0,3.0,1.0,0,100.0,5.68,,,,,,,,,,,,,,
8,8,8,2021,키움,와카,35,C,1,1.0,8.0,10.0,10.0,0.0,0,100.0,11.25,,,,,,,,,,,,,,
9,9,9,2022,키움,한국,36,C,6,6.0,52.0,37.0,35.0,2.0,0,100.0,6.4,,,,,,,,,,,,,,
10,10,10,2022,키움,플옵,36,C,4,4.0,35.0,18.0,17.0,0.0,1,94.4,4.37,,,,,,,,,,,,,,
11,11,11,2022,키움,준플,36,C,5,5.0,43.0,36.0,34.0,2.0,0,100.0,7.53,,,,,,,,,,,,,,
