,Year,Team,Series,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2020,키움,와카,28,3B,1,1,12.2,5,1,4,0,100.0,3.55,,,,,,,,,,,,,,
1,2021,키움,와카,29,1B,1,0,2.0,2,2,0,0,100.0,9.0,,,,,,,,,,,,,,
2,2021,키움,와카,29,3B,2,2,15.0,3,1,1,1,66.7,1.2,,,,,,,,,,,,,,
3,2022,키움,한국,30,1B,3,2,17.0,16,14,0,2,87.5,7.41,,,,,,,,,,,,,,
4,2022,키움,플옵,30,1B,1,0,1.0,2,2,0,0,100.0,18.0,,,,,,,,,,,,,,
5,2022,키움,플옵,30,3B,1,0,1.0,0,0,0,0,,0.0,,,,,,,,,,,,,,
6,2022,키움,준플,30,1B,4,1,16.0,18,16,2,0,100.0,10.13,,,,,,,,,,,,,,
7,2024,삼성,한국,32,2B,1,0,1.0,2,1,1,0,100.0,18.0,,,,,,,,,,,,,,
8,2024,삼성,한국,32,3B,1,0,6.0,1,1,0,0,100.0,1.5,,,,,,,,,,,,,,
9,2024,삼성,플옵,32,2B,2,2,14.0,10,3,6,1,90.0,5.79,,,,,,,,,,,,,,
