,Unnamed: 0.1,Unnamed: 0,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,0,0,2019,키움,한국,22,P,1,1,0,0,0,0,0,0,0,0,2.0,3,3,3.0,10,4,1,0,0,1,0,0,1,0,0,0,13.5,13.5,,4.12,2.5,
1,1,1,2019,키움,플옵,22,P,1,1,0,0,0,0,0,0,0,0,4.0,5,5,3.8,17,4,0,0,2,0,1,0,1,0,0,0,11.25,11.25,,9.89,1.0,
2,2,2,2019,키움,준플,22,P,1,1,0,0,0,0,0,0,0,0,1.0,4,4,3.15,9,6,0,0,1,0,0,0,0,0,0,1,36.0,36.0,,15.67,6.0,
3,3,3,2021,키움,와카,24,P,1,0,1,0,0,0,0,0,0,0,1.2,3,4,3.15,10,4,1,0,0,0,0,0,1,1,0,0,16.2,21.6,,2.21,2.4,
4,4,4,2022,키움,한국,25,P,4,0,4,2,0,0,0,1,1,0,3.2,3,4,3.8,21,5,0,0,1,3,0,1,3,2,0,0,7.36,9.82,,6.69,2.18,
5,5,5,2022,키움,플옵,25,P,2,0,2,0,0,0,0,0,0,2,3.1,0,0,0.0,14,2,0,0,0,0,2,0,3,0,0,0,0.0,0.0,,3.41,0.6,
6,6,6,2022,키움,준플,25,P,3,0,3,1,0,0,0,0,0,1,2.1,1,1,2.2,13,3,1,0,0,3,0,1,1,0,0,0,3.86,3.86,,5.41,2.57,
7,7,7,2023,LG,한국,26,P,2,1,1,1,0,0,0,0,0,0,1.1,5,5,4.15,10,2,1,0,0,4,0,0,0,0,0,0,33.75,33.75,,13.15,4.5,
8,8,8,2024,LG,플옵,27,P,1,1,0,0,0,0,0,1,0,0,3.0,5,5,5.0,16,7,1,0,2,0,0,0,3,0,0,0,15.0,15.0,,9.63,2.33,
9,9,9,2024,LG,준플,27,P,1,1,0,0,0,0,0,0,0,0,2.2,2,3,2.5,14,5,1,0,0,1,0,0,4,0,0,0,6.75,10.13,,1.61,2.25,
