,Year,Team,Series,Age,Pos.,G,GS,GR,GF,CG,SHO,W,L,S,HD,IP,ER,R,rRA,TBF,H,2B,3B,HR,BB,HP,IB,SO,ROE,BK,WP,ERA,RA9,rRA9,FIP,WHIP,WAR
0,2015,두산,한국,20,P,1,0,1,0,0,0,0,0,0,0,0.1,2,3,3.00,4,1,0,0,1,1,1,0,0,0,0,0,54.00,81.00,,58.95,6.00,
1,2015,두산,플옵,20,P,2,0,2,0,0,0,0,1,0,0,1.0,5,5,3.45,8,3,1,0,0,2,1,0,1,0,0,1,45.00,45.00,,11.15,5.00,
2,2015,두산,준플,20,P,2,0,2,0,0,0,0,0,0,1,1.0,1,1,0.30,5,2,0,0,0,0,0,0,0,0,0,0,9.00,9.00,,4.05,2.00,
3,2017,두산,한국,22,P,4,0,4,0,0,0,0,1,0,1,2.2,1,2,2.85,16,4,1,0,0,2,0,0,3,2,0,1,3.38,6.75,,3.75,2.25,
4,2017,두산,플옵,22,P,4,0,4,0,0,0,1,0,0,1,6.2,0,0,0.00,22,2,0,0,0,1,0,0,8,0,0,0,0.00,0.00,,1.64,0.45,
5,2018,두산,한국,23,P,3,0,3,2,0,0,0,0,2,0,5.0,0,0,0.00,19,3,0,0,0,2,0,0,8,0,0,1,0.00,0.00,,1.58,1.00,
6,2019,두산,한국,24,P,3,0,3,0,0,0,0,0,0,0,2.2,2,2,2.20,11,0,0,0,0,3,0,0,0,0,0,0,6.75,6.75,,7.37,1.13,
7,2020,두산,한국,25,P,1,0,1,0,0,0,0,0,0,0,0.1,0,0,0.00,2,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,3.95,3.00,
8,2020,두산,플옵,25,P,1,0,1,0,0,0,0,0,0,0,0.2,0,0,0.00,3,1,0,0,0,0,0,0,0,0,0,0,0.00,0.00,,3.95,1.50,
9,2023,LG,한국,28,P,4,0,4,0,0,0,1,0,0,0,3.1,1,1,1.35,13,3,1,0,0,0,0,0,5,0,0,0,2.70,2.70,,0.10,0.90,
10,2024,LG,플옵,29,P,1,0,1,0,0,0,0,0,0,0,0.0,1,1,1.00,2,1,0,0,1,1,0,0,0,0,0,0,99.99,99.99,,15004.20,99.99,
11,2024,LG,준플,29,P,1,0,1,0,0,0,0,0,0,0,1.1,0,0,0.00,4,0,0,0,0,0,0,0,1,0,0,0,0.00,0.00,,2.32,0.00,
