,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2011,한화,19,3B,-0.03,0.0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.315,-163.7,-0.03
1,2014,한화,22,SS,0.26,-0.39,41,103,101,86,11,19,2,3,1,30,7,0,0,13,2,0,28,1,2,0,0.221,0.337,0.349,0.686,0.11,76.4,-0.13
2,2015,한화,23,SS,0.93,-0.15,120,376,359,311,50,80,7,4,2,101,27,4,3,40,5,1,58,3,17,3,0.257,0.348,0.325,0.673,0.1,73.8,0.78
3,2016,한화,24,SS,-0.86,-0.5,46,116,112,101,16,16,3,2,1,26,7,0,0,8,2,0,30,5,4,1,0.158,0.232,0.257,0.489,0.021,14.7,-1.37
4,2017,한화,25,SS,-0.19,-0.05,59,93,93,84,17,18,2,1,0,22,4,1,1,8,1,0,19,1,0,0,0.214,0.29,0.262,0.552,0.051,38.5,-0.24
5,2018,한화,26,SS,1.67,0.41,77,289,288,245,42,68,11,1,5,96,27,6,3,38,4,0,59,7,1,1,0.278,0.382,0.392,0.774,0.147,104.6,2.07
6,2019,한화,27,SS,0.3,-0.2,52,135,132,113,21,27,4,0,0,31,12,1,2,15,3,0,32,3,3,1,0.239,0.341,0.274,0.615,0.092,80.8,0.1
7,2020,한화,28,SS,0.61,0.22,94,238,233,193,25,44,7,1,4,65,19,1,2,35,3,0,64,2,5,2,0.228,0.352,0.337,0.689,0.117,91.8,0.84
8,2021,한화,29,SS,-0.12,0.1,12,26,26,22,1,3,0,0,0,3,0,1,0,4,0,0,10,0,0,0,0.136,0.269,0.136,0.405,0.021,16.7,-0.01
9,2021,KIA,29,SS,-0.02,0.03,13,13,13,11,2,2,0,0,0,2,1,0,0,1,1,0,3,0,0,0,0.182,0.308,0.182,0.49,0.053,44.2,0.01
