,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2013,NC,20,C,0.12,0.01,3,3,3,2,1,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0.500,0.667,1.000,1.667,0.286,342.5,0.14
1,2017,NC,24,3B,0.17,0.01,28,32,32,27,5,8,3,0,1,14,5,0,0,4,1,0,4,1,0,0,0.296,0.406,0.519,0.925,0.191,144.0,0.19
2,2018,NC,25,3B,-0.38,0.09,45,75,73,68,5,16,3,0,0,19,1,0,0,4,0,0,17,3,2,1,0.235,0.274,0.279,0.553,0.050,35.1,-0.29
3,2019,NC,26,LF,0.12,-0.24,41,104,104,97,11,24,4,1,2,36,14,2,1,3,4,0,20,6,0,0,0.247,0.298,0.371,0.669,0.098,83.8,-0.12
4,2020,NC,27,1B,1.32,0.25,121,432,430,395,53,122,25,0,12,183,70,9,1,20,9,0,46,11,2,6,0.309,0.351,0.463,0.814,0.146,108.4,1.57
5,2021,NC,28,1B,-0.01,-0.53,124,462,456,406,49,101,20,0,7,142,38,9,3,36,14,2,68,12,4,2,0.249,0.330,0.350,0.680,0.105,83.9,-0.54
6,2022,두산,29,1B,-0.33,0.00,40,94,92,80,7,13,2,0,1,18,8,4,0,11,2,1,20,2,1,0,0.163,0.280,0.225,0.505,0.054,49.2,-0.34
7,2023,두산,30,1B,-0.02,0.04,3,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.333,0.333,0.333,0.666,0.093,82.3,0.02
8,2023,SSG,30,1B,0.03,0.07,55,142,141,131,10,34,6,1,3,51,17,0,0,6,3,0,20,2,1,1,0.260,0.305,0.389,0.694,0.105,87.8,0.10
9,2024,SSG,31,DH,-0.26,0.10,16,31,30,27,4,5,0,0,0,5,2,0,0,3,0,0,5,0,1,0,0.185,0.267,0.185,0.452,0.022,16.4,-0.16
