,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2007,롯데,19,2B,-0.03,0.00,4,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.312,-178.7,-0.03
1,2008,롯데,20,2B,-0.18,-0.07,20,28,27,25,6,5,1,0,0,6,1,0,0,0,2,0,5,1,1,0,0.200,0.259,0.240,0.499,-0.117,8.5,-0.24
2,2009,롯데,21,2B,0.71,0.29,114,389,381,327,51,81,17,0,4,110,37,5,5,48,4,0,72,8,8,2,0.248,0.349,0.336,0.685,-0.026,82.4,1.00
3,2010,롯데,22,2B,0.31,-0.09,43,105,99,86,17,22,3,0,2,31,8,1,0,9,5,1,16,3,5,0,0.256,0.360,0.360,0.720,-0.031,85.1,0.22
4,2010,넥센,22,2B,-0.84,0.16,37,118,110,94,9,14,1,0,0,15,4,0,0,9,6,0,25,3,8,1,0.149,0.264,0.160,0.424,-0.143,3.0,-0.68
5,2011,넥센,23,2B,0.31,1.07,124,373,351,314,37,74,10,1,4,98,23,12,3,26,9,0,51,4,22,2,0.236,0.311,0.312,0.623,-0.048,66.1,1.37
6,2012,넥센,24,3B,1.38,0.36,71,254,246,219,24,62,9,0,4,83,22,7,2,17,6,0,58,2,8,4,0.283,0.346,0.379,0.725,0.001,106.2,1.74
7,2013,넥센,25,3B,2.77,-0.52,128,523,519,458,60,129,24,2,15,202,72,7,7,42,16,1,84,11,3,4,0.282,0.360,0.441,0.801,0.008,109.5,2.25
8,2014,넥센,26,3B,1.19,0.73,116,486,480,438,60,128,29,2,12,197,77,3,1,30,10,1,80,10,5,3,0.292,0.349,0.450,0.799,0.130,89.0,1.92
9,2015,넥센,27,3B,1.81,0.48,118,489,486,445,60,135,24,0,16,207,71,1,1,31,8,1,62,15,2,3,0.303,0.357,0.465,0.822,0.144,104.4,2.29
10,2016,넥센,28,3B,2.65,0.57,141,579,575,510,76,156,39,5,17,256,90,6,3,53,3,3,89,15,1,12,0.306,0.367,0.502,0.869,0.158,111.6,3.22
11,2017,넥센,29,3B,1.51,0.77,133,530,528,472,59,133,26,1,15,206,78,0,1,43,7,2,93,15,0,8,0.282,0.345,0.436,0.781,0.128,95.6,2.28
12,2018,넥센,30,3B,1.35,0.45,128,465,462,413,46,117,24,0,10,171,45,1,0,40,6,3,80,6,1,5,0.283,0.351,0.414,0.765,0.129,94.0,1.80
13,2019,LG,31,3B,1.39,0.12,107,401,396,361,44,94,16,0,8,134,50,2,1,30,4,0,75,12,5,1,0.260,0.323,0.371,0.694,0.107,97.6,1.50
14,2020,LG,32,3B,0.76,-0.17,87,333,328,297,29,79,20,0,5,114,47,2,1,24,4,2,66,8,4,4,0.266,0.325,0.384,0.709,0.112,90.8,0.59
15,2021,LG,33,3B,0.78,0.63,121,426,415,360,35,80,22,0,8,126,39,3,3,42,8,2,73,7,11,5,0.222,0.313,0.350,0.663,0.097,83.9,1.41
16,2022,LG,34,3B,-0.23,-0.27,92,157,154,140,16,29,4,0,3,42,20,0,1,10,3,0,27,4,3,1,0.207,0.273,0.300,0.573,0.066,59.4,-0.50
17,2023,LG,35,2B,1.14,0.48,112,316,307,273,34,68,11,0,8,103,41,2,1,25,7,0,58,7,9,2,0.249,0.326,0.377,0.703,0.114,100.7,1.62
18,2024,롯데,36,3B,0.06,0.03,35,84,84,70,6,14,5,0,2,25,8,0,1,10,3,0,18,1,0,1,0.200,0.321,0.357,0.678,0.109,79.9,0.10
