,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,0,0,2015,SSG,26,C,-0.23,-0.07,23,26,26,24,4,4,0,0,0,4,0,0,0,2,0,0,2,2,0,0,0.167,0.231,0.167,0.398,-0.006,-4.5,-0.3
1,1,1,2016,SSG,27,C,0.66,0.26,88,170,167,144,17,37,9,0,2,52,14,1,1,21,2,0,38,2,3,0,0.257,0.359,0.361,0.72,0.119,84.3,0.92
2,2,2,2017,SSG,28,C,-0.02,0.01,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.187,-133.6,-0.01
3,3,3,2017,KIA,28,C,-0.42,-0.27,135,391,384,351,39,78,9,2,4,103,40,3,3,26,5,0,55,7,7,2,0.222,0.284,0.293,0.577,0.058,43.6,-0.69
4,4,4,2018,KIA,29,C,1.1,-0.31,125,365,354,310,53,76,9,3,6,109,37,5,2,39,3,0,63,8,11,2,0.245,0.333,0.352,0.685,0.106,75.9,0.79
5,5,5,2019,KIA,30,C,-0.07,-0.33,53,116,116,96,6,16,2,0,0,18,14,2,0,15,3,0,29,1,0,2,0.167,0.293,0.188,0.481,0.049,41.2,-0.4
6,6,6,2020,KIA,31,C,0.23,0.43,69,238,232,211,22,53,6,1,2,67,21,0,0,17,2,0,28,3,6,2,0.251,0.31,0.318,0.628,0.084,63.8,0.66
7,7,7,2021,KIA,32,C,1.04,-0.22,100,301,298,250,30,55,8,0,3,72,26,0,0,41,4,1,49,2,3,3,0.22,0.336,0.288,0.624,0.094,76.5,0.82
8,8,8,2022,KIA,33,C,0.21,-0.25,22,62,61,54,7,13,2,0,1,18,6,0,0,6,0,0,12,1,1,1,0.241,0.311,0.333,0.644,0.091,78.5,-0.04
9,9,9,2022,SSG,33,C,0.74,0.2,82,204,197,168,23,36,7,1,1,48,22,0,0,26,2,1,33,3,6,2,0.214,0.323,0.286,0.609,0.089,74.6,0.94
10,10,10,2023,SSG,34,C,0.84,0.49,122,318,300,266,28,58,9,1,5,84,34,0,0,31,2,1,57,6,17,2,0.218,0.302,0.316,0.618,0.085,70.5,1.33
11,11,11,2024,SSG,35,C,-0.05,-0.21,45,126,122,106,10,22,5,0,1,30,10,0,0,16,0,0,33,2,4,0,0.208,0.311,0.283,0.594,0.079,56.5,-0.26
