,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2013,롯데,19,C,0.01,0.04,4,6,6,6,0,2,0,0,0,2,1,0,0,0,0,0,2,0,0,0,0.333,0.333,0.333,0.666,-0.031,76.6,0.05
1,2015,롯데,21,C,-0.20,-0.12,27,31,30,26,0,4,0,0,0,4,0,0,0,4,0,0,12,1,1,0,0.154,0.267,0.154,0.421,0.018,12.6,-0.33
2,2016,롯데,22,C,0.65,-0.02,68,144,143,120,12,33,3,1,2,44,16,0,0,22,0,1,42,0,1,1,0.275,0.385,0.367,0.752,0.130,88.7,0.62
3,2019,롯데,25,C,-0.12,-0.37,43,104,102,88,10,14,3,0,0,17,8,0,0,12,2,0,23,1,2,0,0.159,0.275,0.193,0.468,0.043,35.0,-0.48
4,2020,롯데,26,C,1.15,-0.14,128,369,366,306,38,69,12,2,5,100,43,2,2,56,1,0,64,5,3,3,0.225,0.344,0.327,0.671,0.106,78.2,1.01
5,2021,롯데,27,C,0.54,-0.10,47,131,131,111,17,23,5,0,4,40,15,0,0,17,1,0,35,2,0,2,0.207,0.313,0.360,0.673,0.101,77.5,0.44
6,2021,KT,27,C,-0.22,-0.02,11,18,18,17,0,2,0,0,0,2,0,0,0,1,0,0,5,1,0,0,0.118,0.167,0.118,0.285,-0.050,-43.0,-0.23
7,2022,KT,28,C,1.97,-0.11,98,270,266,231,28,63,16,1,4,93,27,2,0,33,0,1,77,4,3,3,0.273,0.360,0.403,0.763,0.135,113.1,1.87
8,2023,KT,29,C,0.26,-0.25,69,136,135,115,10,24,4,0,3,37,23,1,0,19,1,0,32,3,1,0,0.209,0.326,0.322,0.648,0.102,85.1,0.01
9,2024,KT,30,C,0.15,0.00,23,30,30,25,6,6,2,0,0,8,3,0,0,5,0,0,6,0,0,0,0.240,0.367,0.320,0.687,0.122,91.3,0.15
