,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2008,LG,19,C,0.01,0.01,6,3,3,3,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.333,0.333,0.333,0.666,-0.02,88.5,0.02
1,2009,LG,20,C,-0.44,0.14,54,118,111,108,7,27,2,1,0,31,5,0,0,2,1,0,18,4,7,0,0.25,0.27,0.287,0.557,-0.097,32.1,-0.3
2,2010,LG,21,C,-0.09,0.09,50,57,54,51,2,13,1,0,0,14,6,0,0,2,1,0,9,1,3,0,0.255,0.296,0.275,0.571,-0.08,48.5,0.0
3,2011,LG,22,C,-0.1,0.09,38,53,51,47,4,11,0,0,0,11,1,0,0,4,0,0,4,2,2,0,0.234,0.294,0.234,0.528,-0.074,44.0,-0.01
4,2012,LG,23,C,-0.68,0.11,100,175,162,149,7,30,2,0,0,32,14,0,0,8,5,0,24,6,13,0,0.201,0.265,0.215,0.48,-0.094,24.7,-0.58
5,2013,NC,24,C,-0.75,1.75,112,315,304,277,21,59,5,0,4,76,28,0,2,19,7,0,57,10,11,1,0.213,0.28,0.274,0.554,-0.072,44.8,1.0
6,2014,NC,25,C,-0.68,0.28,109,322,313,294,28,77,13,0,0,90,23,0,1,12,4,0,47,9,9,3,0.262,0.297,0.306,0.603,0.06,44.1,-0.39
7,2015,NC,26,C,0.65,0.36,144,474,463,421,45,107,24,0,6,149,52,1,1,25,10,0,77,12,11,7,0.254,0.307,0.354,0.661,0.086,66.5,1.0
8,2016,NC,27,C,-0.74,0.23,134,395,375,340,37,79,15,0,1,97,30,0,0,22,9,0,44,14,20,4,0.232,0.293,0.285,0.578,0.058,42.4,-0.51
9,2017,NC,28,C,1.08,0.85,132,420,402,362,33,96,19,0,3,124,34,0,1,16,22,0,43,11,18,2,0.265,0.333,0.343,0.676,0.103,77.2,1.94
10,2019,NC,30,C,0.08,0.18,18,28,28,22,0,4,0,0,0,4,1,0,0,4,2,0,8,1,0,0,0.182,0.357,0.182,0.539,0.089,72.9,0.26
11,2020,NC,31,C,0.61,-0.13,80,131,124,113,16,33,6,0,1,42,18,0,0,6,4,0,14,3,7,1,0.292,0.347,0.372,0.719,0.119,87.0,0.48
12,2021,NC,32,C,0.69,0.33,102,276,267,232,23,51,7,0,7,79,24,0,1,21,11,0,30,4,9,3,0.22,0.311,0.341,0.652,0.094,74.6,1.02
13,2022,삼성,33,C,1.06,0.19,102,235,229,205,20,61,11,0,2,78,25,0,0,17,4,0,34,15,6,3,0.298,0.358,0.38,0.738,0.126,105.7,1.25
14,2023,삼성,34,C,0.18,0.2,49,143,139,125,7,32,4,1,1,41,18,0,0,10,4,1,11,8,3,1,0.256,0.329,0.328,0.657,0.099,82.2,0.38
15,2023,KIA,34,C,-0.09,-0.12,65,203,198,186,17,48,6,0,0,54,24,2,1,5,4,0,19,9,5,3,0.258,0.288,0.29,0.578,0.064,54.9,-0.21
16,2024,KIA,35,C,0.81,0.32,105,270,259,235,24,62,7,0,7,90,34,0,0,12,11,0,24,14,11,1,0.264,0.328,0.383,0.711,0.115,85.3,1.13
