,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2015,NC,20,3B,-0.07,-0.02,1,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.186,-149.0,-0.09
1,2016,NC,21,3B,0.05,0.0,2,2,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0.233,175.5,0.05
2,2018,NC,23,3B,0.26,-0.15,20,35,34,31,5,11,0,0,1,14,3,1,2,3,0,0,5,0,1,0,0.355,0.412,0.452,0.864,0.172,124.3,0.1
3,2019,NC,24,LF,0.57,0.83,123,399,394,374,44,103,14,5,5,142,46,12,4,16,1,0,67,3,5,3,0.275,0.305,0.38,0.685,0.099,81.4,1.4
4,2020,NC,25,3B,-0.35,-0.11,37,88,87,83,10,18,1,1,1,24,6,2,2,4,0,0,22,0,1,0,0.217,0.253,0.289,0.542,0.043,32.0,-0.47
5,2020,KIA,25,3B,-0.69,-0.31,45,192,191,180,18,44,4,0,0,48,17,5,2,9,1,0,23,2,1,1,0.244,0.283,0.267,0.55,0.053,40.2,-0.99
6,2021,KIA,26,3B,0.28,-0.16,99,414,408,381,43,105,12,5,1,130,36,8,5,23,0,1,64,7,6,4,0.276,0.314,0.341,0.655,0.089,72.2,0.12
7,2022,KIA,27,1B,-0.1,-0.07,7,4,4,4,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0.0,-0.16,-130.9,-0.17
8,2022,키움,27,1B,-0.23,0.15,70,272,269,250,35,68,5,1,0,75,20,1,2,17,1,0,28,4,3,1,0.272,0.32,0.3,0.62,0.082,72.8,-0.07
9,2023,키움,28,3B,-0.34,-0.39,74,212,209,200,17,55,5,0,0,60,16,0,0,5,1,0,23,1,3,3,0.275,0.292,0.3,0.592,0.066,57.6,-0.73
10,2024,키움,29,SS,-0.77,0.73,81,202,197,189,26,42,6,3,0,54,10,0,0,7,0,1,27,1,5,1,0.222,0.249,0.286,0.535,0.035,27.5,-0.04
