,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,0,0,2014,한화,24,RF,-0.03,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.196,-125.9,-0.03
1,1,1,2015,KIA,25,RF,-0.1,-0.08,10,14,14,12,2,1,1,0,0,2,1,0,0,2,0,0,7,0,0,0,0.083,0.214,0.167,0.381,-0.004,-3.4,-0.18
2,2,2,2016,KIA,26,RF,1.0,0.43,77,238,228,207,43,64,4,2,4,84,30,12,2,20,1,0,46,0,10,0,0.309,0.373,0.406,0.779,0.138,97.7,1.43
3,3,3,2017,KIA,27,RF,0.0,0.14,5,19,19,15,1,3,0,0,0,3,0,1,0,3,1,1,3,0,0,0,0.2,0.368,0.2,0.568,0.078,55.3,0.14
4,4,4,2017,SSG,27,RF,0.74,0.2,126,406,401,367,71,106,18,3,6,148,39,15,9,22,8,1,81,3,4,5,0.289,0.338,0.403,0.741,0.114,83.8,0.94
5,5,5,2018,SSG,28,RF,2.86,-0.04,135,588,579,515,93,161,21,8,8,222,53,25,4,48,13,0,86,3,9,3,0.313,0.383,0.431,0.814,0.153,106.4,2.82
6,6,6,2019,SSG,29,LF,0.69,0.33,117,445,436,388,69,97,16,1,2,121,28,27,10,46,2,0,68,1,9,0,0.25,0.333,0.312,0.645,0.096,80.1,1.02
7,7,7,2020,SSG,30,LF,0.15,-0.3,29,83,82,75,13,20,2,2,1,29,5,2,4,7,0,0,16,0,1,0,0.267,0.329,0.387,0.716,0.115,88.7,-0.15
8,8,8,2020,한화,30,LF,0.01,0.31,71,247,244,216,26,53,8,1,0,63,16,9,3,27,2,2,48,2,1,1,0.245,0.333,0.292,0.625,0.093,72.8,0.32
9,9,9,2021,한화,31,LF,0.2,-0.03,52,180,178,160,21,37,7,0,3,53,14,13,1,17,1,0,46,1,2,0,0.231,0.309,0.331,0.64,0.092,76.0,0.17
10,10,10,2022,한화,32,LF,0.46,0.24,117,361,351,315,33,72,18,6,4,114,30,17,6,32,1,1,107,2,10,3,0.229,0.299,0.362,0.661,0.097,84.5,0.7
11,11,11,2023,한화,33,LF,-0.08,0.0,30,94,92,77,6,17,5,0,0,22,4,2,1,13,0,0,27,3,2,2,0.221,0.326,0.286,0.612,0.091,76.7,-0.08
