,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2012,두산,18,SS,0.07,0.0,2,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0,1.0,1.0,2.0,0.581,642.8,0.07
1,2015,두산,21,SS,0.02,0.25,14,5,5,5,3,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0.2,0.2,0.2,0.4,-0.023,-19.3,0.27
2,2016,두산,22,SS,0.88,0.77,90,134,132,118,34,34,5,0,3,48,9,3,2,10,3,0,28,0,2,1,0.288,0.356,0.407,0.763,0.127,98.2,1.65
3,2017,두산,23,SS,0.59,0.41,125,330,322,297,60,77,13,4,3,107,26,7,5,21,4,0,55,2,8,0,0.259,0.317,0.36,0.677,0.094,73.6,1.0
4,2018,두산,24,SS,0.98,0.9,128,280,269,228,52,61,7,0,1,71,29,7,2,29,10,0,43,3,11,2,0.268,0.372,0.311,0.683,0.116,88.1,1.88
5,2019,두산,25,SS,0.67,0.54,118,316,310,276,36,69,6,2,0,79,34,18,5,24,7,0,40,6,6,3,0.25,0.323,0.286,0.609,0.085,76.6,1.21
6,2020,두산,26,SS,0.48,-0.31,20,31,30,24,10,10,2,0,1,15,4,0,1,1,3,0,5,1,1,2,0.417,0.467,0.625,1.092,0.241,184.8,0.16
7,2020,KIA,26,SS,0.13,0.17,5,20,20,18,3,6,1,0,0,7,1,1,0,0,2,0,1,2,0,0,0.333,0.4,0.389,0.789,0.154,112.1,0.3
8,2021,KIA,27,SS,1.16,0.53,92,327,324,273,37,76,8,0,2,90,34,0,0,42,7,1,46,7,2,3,0.278,0.385,0.33,0.715,0.13,106.4,1.69
9,2022,KIA,28,3B,2.17,-0.21,127,477,469,405,55,111,19,2,2,140,48,8,4,56,6,0,83,6,8,2,0.274,0.369,0.346,0.715,0.126,109.6,1.96
10,2023,KIA,29,3B,0.6,-0.62,66,253,250,220,28,59,6,1,0,67,17,4,2,27,3,1,43,5,2,1,0.268,0.355,0.305,0.66,0.106,93.8,-0.03
11,2023,삼성,29,3B,0.41,0.0,66,269,261,235,35,63,5,0,2,74,28,22,0,19,3,0,30,7,8,4,0.268,0.326,0.315,0.641,0.092,76.7,0.41
12,2024,삼성,30,2B,0.42,-0.34,100,348,343,302,43,78,9,1,3,98,36,11,4,33,6,0,70,7,5,2,0.258,0.341,0.325,0.666,0.106,76.0,0.09
