,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2010,넥센,20,C,-0.06,0.01,7,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.349,-165.6,-0.05
1,2013,넥센,23,C,-0.40,-0.43,69,105,105,97,5,19,6,0,1,28,6,1,0,7,1,0,28,6,0,0,0.196,0.257,0.289,0.546,-0.082,34.2,-0.83
2,2014,넥센,24,C,0.43,0.19,76,198,193,174,32,44,7,2,6,73,26,0,0,13,5,0,41,7,5,1,0.253,0.321,0.420,0.741,0.104,71.1,0.61
3,2015,넥센,25,C,2.24,-0.08,127,443,433,379,47,101,12,1,14,157,61,0,0,37,9,0,93,4,10,8,0.266,0.339,0.414,0.753,0.121,88.1,2.17
4,2016,넥센,26,C,0.61,0.27,127,454,448,411,44,102,25,1,14,171,70,3,1,27,7,0,93,18,6,3,0.248,0.304,0.416,0.720,0.099,70.1,0.88
5,2017,넥센,27,C,1.16,0.22,103,284,278,256,33,69,9,0,11,111,39,2,1,17,3,0,56,9,6,2,0.270,0.320,0.434,0.754,0.120,89.6,1.38
6,2018,넥센,28,C,0.35,0.14,39,128,126,117,19,29,3,0,6,50,17,0,0,9,0,1,25,3,2,0,0.248,0.302,0.427,0.729,0.107,78.0,0.50
7,2019,키움,29,C,2.97,0.41,112,361,354,317,50,94,15,1,10,141,55,1,0,34,2,0,56,10,7,1,0.297,0.367,0.445,0.812,0.149,132.1,3.38
8,2020,키움,30,C,2.21,0.04,112,372,370,324,45,81,21,0,12,138,50,0,0,38,6,0,68,10,2,2,0.250,0.338,0.426,0.764,0.132,103.9,2.24
9,2021,키움,31,C,2.89,0.26,131,481,476,413,61,103,21,0,22,190,83,2,0,53,7,0,114,12,5,3,0.249,0.342,0.460,0.802,0.143,119.5,3.14
10,2022,키움,32,C,0.18,0.03,11,40,40,33,1,7,3,0,1,13,4,0,0,7,0,0,8,0,0,0,0.212,0.350,0.394,0.744,0.135,118.5,0.20
11,2022,KIA,32,C,3.33,0.43,112,407,397,352,51,86,18,0,17,155,53,1,0,38,9,4,87,9,7,1,0.244,0.333,0.440,0.773,0.136,118.5,3.76
12,2023,LG,33,C,4.02,0.11,130,481,471,409,54,102,17,1,20,181,75,0,1,49,7,3,90,7,8,8,0.249,0.334,0.443,0.777,0.134,117.7,4.13
13,2024,LG,34,C,3.43,0.96,130,498,495,434,58,118,22,0,20,200,80,1,0,55,0,2,112,14,2,7,0.272,0.349,0.461,0.810,0.144,111.0,4.40
