,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,0,0,2013,KIA,24,C,-0.26,-0.22,26,58,58,52,4,9,4,0,0,13,3,0,0,6,0,0,16,3,0,0,0.173,0.259,0.25,0.509,-0.081,34.8,-0.48
1,1,1,2014,KIA,25,C,-0.31,-0.46,47,86,84,79,8,14,2,0,4,28,10,0,0,5,0,0,28,1,2,0,0.177,0.226,0.354,0.58,0.039,27.2,-0.77
2,2,2,2015,KIA,26,C,0.92,0.04,65,177,177,154,22,36,6,0,10,72,30,3,1,19,1,0,47,5,0,3,0.234,0.316,0.468,0.784,0.127,94.5,0.95
3,3,3,2016,KIA,27,C,-0.49,0.36,80,199,195,174,12,34,7,0,4,53,15,2,1,19,1,1,52,6,3,2,0.195,0.276,0.305,0.581,0.054,39.3,-0.13
4,4,4,2017,KIA,28,C,-0.18,0.02,15,20,20,17,2,3,0,0,0,3,1,0,0,3,0,0,3,2,0,0,0.176,0.3,0.176,0.476,0.039,30.3,-0.16
5,5,5,2018,KIA,29,C,0.12,-0.01,34,57,56,47,7,13,1,0,0,14,4,0,1,9,0,0,15,3,1,0,0.277,0.393,0.298,0.691,0.128,93.3,0.11
6,6,6,2019,KIA,30,C,0.25,0.06,28,51,51,47,3,11,2,0,2,19,6,0,0,3,1,0,14,0,0,0,0.234,0.294,0.404,0.698,0.104,88.6,0.31
7,7,7,2020,KIA,31,C,0.5,-0.11,52,107,106,91,12,20,4,0,5,39,10,0,0,15,0,0,29,2,1,0,0.22,0.33,0.429,0.759,0.129,96.9,0.39
8,8,8,2021,KIA,32,C,-0.06,0.0,3,7,7,5,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0.0,0.286,0.0,0.286,0.017,14.4,-0.06
9,9,9,2021,한화,32,C,-0.19,-0.25,36,95,93,81,10,12,1,0,4,25,4,0,0,9,3,0,24,4,2,0,0.148,0.258,0.309,0.567,0.061,51.0,-0.44
10,10,10,2022,한화,33,C,-0.03,0.01,4,5,5,5,1,1,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0.2,0.2,0.4,0.6,0.062,53.6,-0.02
