,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,0,0,2008,LG,19,2B,-0.03,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0.0,-0.32,-169.6,-0.03
1,1,1,2012,키움,23,2B,2.78,2.0,127,501,488,433,70,115,21,10,1,159,40,39,12,45,7,0,43,4,13,3,0.266,0.342,0.367,0.709,0.003,107.8,4.78
2,2,2,2013,키움,24,2B,1.19,0.79,86,372,364,316,53,84,13,2,0,101,18,26,7,33,11,0,29,3,8,4,0.266,0.352,0.32,0.672,-0.018,87.8,1.98
3,3,3,2014,키움,25,2B,6.86,-0.2,128,616,612,543,135,201,41,17,7,297,67,48,17,59,8,0,47,1,4,2,0.37,0.438,0.547,0.985,0.216,148.4,6.65
4,4,4,2015,키움,26,2B,1.92,-0.23,85,368,357,312,52,93,24,4,3,134,37,9,2,42,1,0,24,7,11,2,0.298,0.381,0.429,0.81,0.146,106.4,1.69
5,5,5,2016,키움,27,2B,3.98,0.47,140,646,641,560,111,182,30,7,7,247,63,26,13,69,10,2,58,6,3,4,0.325,0.406,0.441,0.847,0.166,117.8,4.45
6,6,6,2017,키움,28,2B,4.08,-0.14,139,615,613,539,87,179,28,3,6,231,76,15,6,67,1,1,68,11,2,6,0.332,0.403,0.429,0.832,0.158,117.9,3.94
7,7,7,2018,키움,29,2B,0.68,-0.19,37,160,158,141,28,48,12,0,0,60,15,2,0,12,3,0,19,1,2,2,0.34,0.399,0.426,0.825,0.157,113.9,0.49
8,8,8,2019,키움,30,2B,2.61,-0.25,113,486,482,426,67,128,23,3,2,163,41,17,3,49,3,1,50,5,3,5,0.3,0.373,0.383,0.756,0.133,117.0,2.36
9,9,9,2020,키움,31,2B,2.55,0.23,135,595,589,484,79,134,28,5,5,187,52,24,10,91,5,1,58,8,5,10,0.277,0.39,0.386,0.776,0.149,117.3,2.78
10,10,10,2021,키움,32,2B,1.87,0.25,76,333,330,278,45,72,12,1,4,98,28,6,4,45,6,2,44,9,1,3,0.259,0.37,0.353,0.723,0.129,108.4,2.12
11,11,11,2021,LG,32,2B,0.77,0.22,68,267,263,235,33,58,12,1,2,78,24,6,0,24,3,0,34,5,4,1,0.247,0.323,0.332,0.655,0.096,83.5,0.99
12,12,12,2022,LG,33,2B,0.25,-0.36,77,247,244,219,39,49,10,1,2,67,18,8,3,20,4,0,44,5,3,1,0.224,0.299,0.306,0.605,0.081,72.7,-0.12
13,13,13,2023,LG,34,2B,-0.44,-0.46,44,126,123,110,14,22,5,2,0,31,12,3,3,10,0,0,14,5,3,3,0.2,0.26,0.282,0.542,0.053,46.1,-0.9
14,14,14,2024,KIA,35,1B,1.54,-0.02,94,248,245,203,40,63,14,1,1,82,26,3,1,36,3,0,31,2,3,3,0.31,0.416,0.404,0.82,0.169,124.5,1.51
