,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2012,롯데,23,SS,-0.53,-0.15,50,67,67,57,9,6,0,0,0,6,3,1,1,9,1,0,17,3,0,0,0.105,0.239,0.105,0.344,-0.12,-5.7,-0.68
1,2013,롯데,24,SS,-0.17,1.53,99,281,268,240,27,55,11,0,1,69,25,6,3,24,5,1,55,2,12,0,0.229,0.312,0.288,0.6,-0.055,59.2,1.36
2,2014,롯데,25,SS,0.04,-0.04,63,130,124,113,20,26,6,1,4,46,13,1,1,5,4,0,25,0,6,2,0.23,0.282,0.407,0.689,0.081,55.0,-0.01
3,2016,롯데,27,SS,0.93,-0.16,25,104,102,81,13,25,4,0,1,32,10,0,1,13,8,0,12,3,2,0,0.309,0.451,0.395,0.846,0.182,122.5,0.77
4,2017,롯데,28,SS,0.07,0.54,128,381,367,325,49,77,11,0,5,103,47,5,2,25,13,1,76,8,13,5,0.237,0.313,0.317,0.63,0.082,58.5,0.61
5,2018,롯데,29,SS,1.65,-0.29,139,479,472,425,55,125,28,1,11,188,71,1,5,33,11,2,95,12,5,5,0.294,0.357,0.442,0.799,0.139,95.5,1.36
6,2019,롯데,30,SS,0.48,-0.16,121,413,407,375,43,96,9,0,1,108,26,3,3,24,8,1,62,9,5,1,0.256,0.314,0.288,0.602,0.078,64.3,0.33
7,2020,롯데,31,SS,-0.16,0.14,81,123,122,106,18,23,1,0,2,30,12,1,0,14,1,0,22,3,1,1,0.217,0.311,0.283,0.594,0.077,56.0,-0.02
8,2021,KT,32,SS,0.06,0.37,96,206,201,174,25,41,8,0,1,52,19,1,2,22,4,0,45,6,5,1,0.236,0.333,0.299,0.632,0.091,72.0,0.43
9,2022,KT,33,SS,-0.55,0.08,74,138,134,121,9,22,3,0,1,28,8,0,1,10,2,0,28,5,4,1,0.182,0.254,0.231,0.485,0.038,31.3,-0.47
10,2023,KT,34,SS,0.23,0.05,40,75,74,54,8,11,2,0,1,16,7,0,1,14,2,0,8,3,1,4,0.204,0.365,0.296,0.661,0.117,94.9,0.28
11,2024,KT,35,SS,0.84,-0.02,84,152,143,122,18,34,3,0,3,46,19,2,0,16,3,0,28,3,9,2,0.279,0.371,0.377,0.748,0.135,97.6,0.82
