,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2008,한화,19,3B,-0.36,0.18,46,31,31,30,3,4,1,0,0,5,1,0,0,1,0,0,7,0,0,0,0.133,0.161,0.167,0.328,-0.165,-35.9,-0.18
1,2009,한화,20,3B,-0.03,-0.18,79,191,184,175,20,46,9,1,2,63,14,3,2,8,1,0,43,7,7,0,0.263,0.299,0.360,0.659,-0.050,64.8,-0.20
2,2010,한화,21,3B,-1.34,0.03,108,240,235,221,24,44,5,0,0,49,14,7,2,12,2,0,57,7,5,0,0.199,0.247,0.222,0.469,-0.120,16.2,-1.30
3,2011,한화,22,3B,-0.66,0.18,68,120,117,107,15,22,3,0,0,25,7,3,3,5,4,0,21,3,3,1,0.206,0.265,0.234,0.499,-0.099,22.2,-0.48
4,2012,한화,23,3B,1.21,0.20,110,446,433,399,33,105,18,3,3,138,41,14,9,25,7,0,65,7,13,2,0.263,0.316,0.346,0.662,-0.019,88.2,1.40
5,2013,한화,24,3B,0.56,-0.52,92,296,292,256,31,59,8,2,2,77,26,5,2,23,10,0,49,12,4,3,0.230,0.315,0.301,0.616,-0.031,77.4,0.04
6,2016,한화,27,3B,-0.31,0.33,57,53,50,43,6,7,0,0,0,7,3,0,0,5,2,0,8,0,3,0,0.163,0.280,0.163,0.443,0.024,16.8,0.02
7,2017,한화,28,3B,0.86,-0.67,65,209,205,184,23,57,11,0,2,74,21,3,5,15,4,0,22,5,4,2,0.310,0.371,0.402,0.773,0.134,99.8,0.20
8,2018,한화,29,3B,-0.36,-0.19,56,148,145,133,14,30,4,0,1,37,9,3,0,7,5,0,33,2,3,0,0.226,0.290,0.278,0.568,0.059,41.7,-0.55
9,2019,한화,30,SS,0.95,-0.51,122,453,443,392,37,88,16,0,3,113,36,7,2,38,10,0,72,8,10,3,0.224,0.307,0.288,0.595,0.079,68.3,0.44
10,2020,한화,31,SS,-0.17,0.21,93,222,216,197,17,46,4,0,2,56,17,0,1,16,3,0,39,10,6,0,0.234,0.301,0.284,0.585,0.070,55.4,0.05
11,2021,삼성,32,SS,-0.17,-0.29,23,46,46,42,5,9,0,0,0,9,2,0,0,3,1,0,8,2,0,0,0.214,0.283,0.214,0.497,0.041,32.3,-0.46
12,2022,삼성,33,3B,0.63,-0.49,100,306,290,268,30,74,8,0,3,91,24,2,2,18,3,0,51,5,16,1,0.276,0.328,0.340,0.668,0.099,83.6,0.15
13,2023,한화,34,SS,0.25,-0.29,90,199,196,165,17,38,6,0,0,44,14,2,0,24,5,0,34,7,3,2,0.230,0.342,0.267,0.609,0.095,80.7,-0.04
14,2024,롯데,35,3B,0.04,0.12,26,29,24,20,0,4,1,0,0,5,0,0,0,2,2,0,8,0,5,0,0.200,0.333,0.250,0.583,0.095,67.4,0.16
