,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2005,현대,19,1B,-0.03,0.00,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.322,-164.0,-0.03
1,2009,우리,23,1B,-0.33,-0.01,43,74,72,66,4,13,5,0,0,18,4,0,0,6,0,1,15,1,1,1,0.197,0.260,0.273,0.533,-0.102,26.5,-0.34
2,2010,넥센,24,1B,-0.52,-0.61,39,67,65,60,1,8,4,0,1,15,9,0,0,4,1,0,16,6,2,0,0.133,0.200,0.250,0.450,-0.144,-1.8,-1.13
3,2011,넥센,25,1B,0.32,-0.11,46,118,116,100,13,23,5,0,1,31,11,2,0,15,1,1,24,2,1,1,0.230,0.333,0.310,0.643,-0.029,80.4,0.21
4,2012,넥센,26,1B,-0.70,0.01,54,146,145,135,9,23,3,0,4,38,17,0,0,7,0,0,39,1,1,3,0.170,0.207,0.281,0.488,-0.096,17.5,-0.69
5,2012,두산,26,1B,0.46,-0.18,33,82,81,77,7,20,5,0,4,37,8,0,0,3,0,0,19,2,1,1,0.260,0.284,0.481,0.765,0.003,108.5,0.28
6,2013,두산,27,1B,1.38,-0.07,55,144,142,117,16,35,12,0,3,56,28,0,1,20,3,2,28,0,1,3,0.299,0.406,0.479,0.885,0.057,149.9,1.31
7,2014,두산,28,1B,0.14,0.08,75,155,155,132,10,32,7,0,3,48,18,1,1,20,1,0,39,1,0,2,0.242,0.342,0.364,0.706,0.106,80.2,0.22
8,2015,두산,29,1B,1.77,-0.47,66,213,212,180,33,52,11,1,14,107,36,0,0,28,2,2,49,5,1,2,0.289,0.387,0.594,0.981,0.195,157.0,1.30
9,2016,두산,30,1B,3.90,0.44,105,455,452,380,69,120,20,2,27,225,92,1,0,64,2,2,73,5,2,7,0.316,0.411,0.592,1.003,0.203,154.1,4.34
10,2017,두산,31,1B,3.80,0.18,128,466,465,412,62,126,27,0,26,231,89,1,1,45,5,0,80,5,1,3,0.306,0.378,0.561,0.939,0.183,145.1,3.98
11,2018,두산,32,1B,3.05,0.43,123,477,476,401,69,112,19,2,27,216,80,1,1,60,6,2,121,3,0,10,0.279,0.373,0.539,0.912,0.175,131.5,3.48
12,2019,두산,33,1B,3.53,0.52,130,529,529,467,76,137,29,1,21,231,102,2,1,55,3,1,99,5,0,4,0.293,0.369,0.495,0.864,0.163,148.2,4.05
13,2020,두산,34,1B,3.15,-0.38,127,534,533,471,62,147,32,0,16,227,89,2,1,61,0,1,92,12,0,2,0.312,0.390,0.482,0.872,0.175,141.8,2.76
14,2021,삼성,35,1B,2.35,0.37,120,484,478,418,64,119,20,0,25,214,97,1,0,58,0,8,106,5,0,8,0.285,0.366,0.512,0.878,0.168,132.0,2.72
15,2022,삼성,36,1B,2.51,-0.05,135,536,529,470,57,126,42,0,21,231,94,2,1,57,2,8,133,7,0,7,0.268,0.345,0.491,0.836,0.153,126.9,2.45
16,2023,삼성,37,1B,-0.29,0.59,106,364,364,315,31,64,15,0,11,112,54,1,0,43,3,1,110,1,0,3,0.203,0.302,0.356,0.658,0.098,81.3,0.30
17,2024,삼성,38,1B,-0.22,-0.05,22,71,71,64,6,15,5,1,3,31,8,0,0,6,0,0,18,4,0,1,0.234,0.296,0.484,0.780,0.123,87.0,-0.27
18,2024,KT,38,1B,-0.01,-0.43,83,272,272,232,27,57,13,0,8,94,37,0,0,30,2,0,70,3,0,8,0.246,0.327,0.405,0.732,0.116,84.3,-0.45
