,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2011,롯데,20,SS,-0.03,0.0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-0.311,-160.4,-0.02
1,2014,롯데,23,SS,0.1,-0.21,57,50,50,45,10,11,3,0,1,17,5,2,1,5,0,0,18,0,0,0,0.244,0.32,0.378,0.698,0.104,70.3,-0.1
2,2015,롯데,24,SS,0.42,-0.37,122,353,349,327,57,90,18,1,8,134,43,15,4,17,4,0,100,9,4,1,0.275,0.318,0.41,0.728,0.107,76.9,0.05
3,2016,롯데,25,SS,-0.08,-0.09,42,135,135,123,17,32,6,0,3,47,7,6,2,12,0,0,37,5,0,0,0.26,0.326,0.382,0.708,0.106,72.0,-0.17
4,2017,롯데,26,1B,0.02,0.31,13,26,26,19,5,2,0,0,1,5,4,4,1,4,3,0,8,1,0,0,0.105,0.346,0.263,0.609,0.104,70.7,0.33
5,2017,KT,26,1B,-0.07,-0.18,122,384,376,355,48,104,29,1,8,159,38,11,8,12,3,0,85,6,8,6,0.293,0.316,0.448,0.764,0.118,85.0,-0.26
6,2018,KT,27,1B,-0.32,0.34,128,374,371,342,55,87,17,2,12,144,39,13,8,24,4,0,92,7,3,1,0.254,0.31,0.421,0.731,0.109,76.6,0.01
7,2019,KT,28,1B,0.31,0.22,123,392,389,352,63,88,16,1,6,124,35,19,2,31,4,0,78,8,3,2,0.25,0.316,0.352,0.668,0.099,84.6,0.53
8,2020,KT,29,LF,-0.09,0.05,40,55,55,50,7,11,1,1,0,14,5,1,0,1,4,0,16,2,0,0,0.22,0.291,0.28,0.571,0.066,53.0,-0.04
9,2020,SSG,29,LF,0.5,0.14,54,203,199,184,29,53,11,0,5,79,30,14,6,12,3,0,31,4,4,0,0.288,0.342,0.429,0.771,0.133,97.5,0.64
10,2021,SSG,30,LF,0.36,0.09,122,253,252,235,47,63,10,0,9,100,35,9,4,14,2,0,52,4,1,1,0.268,0.313,0.426,0.739,0.116,92.7,0.45
11,2022,SSG,31,LF,-0.11,0.58,130,295,290,263,48,61,14,1,4,89,23,11,4,15,9,1,68,3,5,3,0.232,0.293,0.338,0.631,0.087,72.5,0.47
12,2023,SSG,32,1B,0.41,-0.07,123,305,297,272,37,65,14,1,7,102,28,20,1,18,4,0,67,6,8,3,0.239,0.293,0.375,0.668,0.095,79.4,0.33
13,2024,SSG,33,1B,1.19,0.09,117,288,281,247,43,68,16,0,9,111,36,27,4,31,1,2,73,4,6,3,0.275,0.355,0.449,0.804,0.143,102.4,1.29
