,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2013,NC,24,2B,0.27,-0.81,103,139,135,125,26,31,7,1,0,40,13,25,4,10,0,0,21,4,4,0,0.248,0.304,0.320,0.624,-0.049,63.3,-0.54
1,2014,NC,25,2B,-0.23,0.02,96,54,54,51,30,11,2,0,1,16,5,11,5,2,0,0,10,1,0,1,0.216,0.241,0.314,0.555,0.045,32.7,-0.20
2,2016,NC,27,2B,-0.04,0.08,15,27,27,25,1,7,2,0,0,9,1,3,0,0,2,0,4,3,0,0,0.280,0.333,0.360,0.693,0.104,75.5,0.03
3,2017,NC,28,2B,0.74,-0.70,95,241,236,227,33,76,8,0,0,84,15,12,2,7,2,0,15,7,5,0,0.335,0.360,0.370,0.730,0.119,88.7,0.05
4,2018,NC,29,2B,-0.89,-0.17,114,204,197,187,32,47,2,0,0,49,8,13,5,8,2,0,15,8,7,0,0.251,0.289,0.262,0.551,0.049,35.1,-1.06
5,2019,NC,30,2B,-0.23,-0.28,102,256,248,234,30,65,7,0,0,72,12,10,5,9,2,0,22,10,8,3,0.278,0.306,0.308,0.614,0.076,62.1,-0.51
6,2020,NC,31,2B,-0.84,0.03,82,65,64,61,18,8,1,0,0,9,4,6,4,3,0,0,5,2,1,0,0.131,0.172,0.148,0.320,-0.040,-29.3,-0.81
7,2021,LG,32,2B,0.00,-0.10,45,68,66,65,5,20,2,0,0,22,12,2,1,1,0,0,10,2,2,0,0.308,0.318,0.338,0.656,0.088,77.2,-0.10
8,2022,LG,33,2B,-0.07,-0.20,60,80,77,72,9,18,2,0,0,20,5,1,2,4,1,0,6,1,3,0,0.250,0.299,0.278,0.577,0.068,60.5,-0.27
9,2023,KT,34,2B,-0.56,-0.08,63,60,56,54,15,8,1,0,0,9,5,2,0,2,0,0,9,2,4,0,0.148,0.179,0.167,0.346,-0.025,-21.0,-0.64
