,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2005,롯데,19,3B,-0.06,0.18,72,200,187,163,21,33,10,1,1,48,18,0,0,18,4,0,58,1,13,2,0.202,0.294,0.294,0.588,-0.061,58.8,0.12
1,2006,롯데,20,3B,-0.59,0.48,123,321,309,287,26,65,8,0,1,76,27,3,1,14,4,0,55,3,12,4,0.226,0.269,0.265,0.534,-0.066,43.0,-0.11
2,2007,롯데,21,3B,0.3,0.6,121,407,391,363,43,95,10,1,1,110,29,2,5,24,3,0,57,7,16,1,0.262,0.312,0.303,0.615,-0.036,72.1,0.9
3,2008,롯데,22,3B,0.39,-0.09,53,134,128,120,14,33,7,0,0,40,5,2,1,8,0,0,15,4,6,0,0.275,0.32,0.333,0.653,-0.023,87.1,0.31
4,2009,두산,23,3B,1.52,-0.65,125,414,412,376,49,112,20,4,9,167,53,2,6,28,5,2,52,15,0,5,0.298,0.35,0.444,0.794,-0.003,99.7,0.87
5,2010,두산,24,3B,1.2,0.09,104,330,322,291,36,78,14,4,8,124,49,1,4,26,4,1,44,5,7,2,0.268,0.334,0.426,0.76,-0.013,98.0,1.29
6,2011,두산,25,3B,0.36,-0.06,110,311,299,264,36,57,11,0,8,92,35,1,0,29,3,0,58,7,12,3,0.216,0.298,0.348,0.646,-0.043,69.3,0.3
7,2012,두산,26,3B,1.94,-0.81,107,372,358,325,36,87,13,2,8,128,42,1,1,30,5,4,35,16,10,2,0.268,0.337,0.394,0.731,0.0,105.7,1.12
8,2013,두산,27,3B,3.27,0.0,85,300,299,264,40,83,12,0,10,125,39,6,4,29,3,0,49,7,1,3,0.314,0.385,0.473,0.858,0.064,156.7,3.26
9,2014,두산,28,3B,-0.13,-0.15,79,255,253,231,29,58,8,2,5,85,25,0,0,19,1,0,53,2,2,2,0.251,0.308,0.368,0.676,0.088,65.2,-0.28
10,2016,두산,30,3B,0.26,0.07,7,22,22,19,3,6,3,0,2,15,7,0,0,2,0,0,2,1,0,1,0.316,0.364,0.789,1.153,0.226,167.8,0.33
11,2017,삼성,31,3B,1.24,-0.36,121,459,454,411,55,109,20,1,18,185,62,2,0,34,4,2,80,4,4,6,0.265,0.323,0.45,0.773,0.123,87.0,0.88
12,2018,삼성,32,3B,2.71,-0.47,128,543,542,479,74,144,30,1,20,236,93,2,1,52,7,1,103,10,0,5,0.301,0.374,0.493,0.867,0.162,109.7,2.24
13,2019,삼성,33,3B,1.59,-0.34,111,455,453,395,44,97,20,0,19,174,76,2,1,43,8,0,73,10,2,7,0.246,0.327,0.441,0.768,0.129,104.6,1.25
14,2020,삼성,34,3B,0.8,-0.73,121,467,466,403,46,108,17,0,13,164,74,0,1,49,2,1,82,7,1,12,0.268,0.341,0.407,0.748,0.125,90.9,0.07
15,2021,삼성,35,3B,0.96,-0.14,131,480,478,399,40,92,19,0,9,138,59,1,0,60,11,2,80,11,2,8,0.231,0.341,0.346,0.687,0.112,88.0,0.82
16,2022,삼성,36,3B,1.18,-0.03,88,335,332,288,31,77,13,0,10,120,60,0,0,33,5,2,70,7,3,6,0.267,0.346,0.417,0.763,0.132,110.3,1.16
17,2023,삼성,37,1B,1.01,-0.04,19,72,72,58,6,21,4,0,1,28,10,0,1,14,0,0,8,1,0,0,0.362,0.486,0.483,0.969,0.223,188.4,0.97
18,2023,키움,37,1B,-1.38,-0.53,70,273,272,247,16,54,6,0,1,63,20,0,0,20,3,1,59,8,1,2,0.219,0.283,0.255,0.538,0.053,46.0,-1.9
19,2024,키움,38,DH,-0.33,-0.2,39,109,109,91,5,20,4,0,0,24,8,0,0,14,2,0,18,2,0,2,0.22,0.33,0.264,0.594,0.085,66.4,-0.53
