,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2009,삼성,23,C,-0.25,0.11,23,28,28,28,2,6,0,0,0,6,4,0,0,0,0,0,9,0,0,0,0.214,0.214,0.214,0.428,-0.147,-9.8,-0.14
1,2012,삼성,26,C,0.54,0.29,54,145,143,135,10,41,3,0,0,44,13,0,0,4,4,0,16,4,2,0,0.304,0.343,0.326,0.669,-0.016,91.1,0.83
2,2013,삼성,27,C,-0.9,1.0,113,294,284,268,27,64,4,1,0,70,18,4,0,14,1,0,38,6,10,1,0.239,0.278,0.261,0.539,-0.082,36.1,0.11
3,2014,삼성,28,C,0.38,0.21,99,299,286,266,37,74,10,3,3,99,32,3,3,14,2,0,33,5,13,4,0.278,0.315,0.372,0.687,0.092,66.0,0.58
4,2015,삼성,29,C,0.72,0.01,124,400,384,361,36,110,10,1,1,125,55,1,2,14,4,0,32,10,16,5,0.305,0.333,0.346,0.679,0.089,67.7,0.72
5,2016,삼성,30,C,0.72,0.46,129,419,411,390,36,116,12,0,7,149,50,3,2,12,7,0,32,13,8,2,0.297,0.328,0.382,0.71,0.104,71.7,1.18
6,2017,삼성,31,C,-0.7,0.42,105,336,330,302,31,72,10,2,0,86,26,4,3,20,5,1,40,16,6,3,0.238,0.294,0.285,0.579,0.053,37.6,-0.27
7,2018,삼성,32,C,1.58,0.03,90,203,196,178,31,61,10,0,2,77,19,0,0,15,4,1,27,3,6,0,0.343,0.406,0.433,0.839,0.166,110.6,1.6
8,2019,키움,33,C,0.58,-0.23,106,331,325,308,40,87,5,1,1,97,39,5,1,15,1,1,28,14,6,1,0.282,0.317,0.315,0.632,0.084,73.6,0.35
9,2020,키움,34,C,0.92,-0.16,101,289,285,262,22,81,10,2,0,95,36,1,1,19,4,1,28,8,3,1,0.309,0.364,0.363,0.727,0.125,98.5,0.76
10,2021,키움,35,C,0.47,0.1,108,258,254,233,29,64,5,1,0,71,31,3,1,19,1,2,17,10,2,3,0.275,0.328,0.305,0.633,0.088,73.7,0.57
11,2022,키움,36,C,1.06,0.04,137,450,441,420,38,112,13,4,2,139,37,1,1,20,2,2,44,16,8,0,0.267,0.303,0.331,0.634,0.084,73.9,1.1
12,2023,키움,37,C,0.38,0.12,81,237,230,217,23,54,8,1,0,64,8,1,1,12,1,0,39,2,7,0,0.249,0.291,0.295,0.586,0.074,63.6,0.51
13,2024,SSG,38,C,0.96,0.57,123,432,425,398,45,111,11,1,5,139,50,8,1,18,7,0,35,10,7,2,0.279,0.32,0.349,0.669,0.097,70.1,1.53
