,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2014,삼성,25,C,0.35,-0.22,88,155,151,132,21,30,4,1,1,39,17,1,0,14,5,0,24,0,4,0,0.227,0.325,0.295,0.620,0.090,64.3,0.13
1,2015,삼성,26,C,-0.18,0.13,71,108,107,105,16,25,7,0,1,35,17,2,1,1,1,0,22,1,1,0,0.238,0.252,0.333,0.585,0.047,36.2,-0.04
2,2016,삼성,27,C,0.54,-0.57,85,174,165,150,20,39,11,0,6,68,25,0,0,8,5,0,41,4,9,2,0.260,0.315,0.453,0.768,0.117,80.1,-0.03
3,2018,두산,29,C,-0.26,-0.07,7,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.000,0.000,0.000,0.000,-0.189,-136.8,-0.32
4,2019,두산,30,C,0.26,0.06,27,44,44,42,3,13,2,1,0,17,5,0,0,2,0,0,12,1,0,0,0.310,0.341,0.405,0.746,0.125,110.8,0.32
5,2020,두산,31,C,-0.04,0.02,2,2,2,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,-0.181,-159.7,-0.02
6,2020,SK,31,C,-0.13,-0.25,47,130,130,124,6,30,1,0,3,40,19,0,0,6,0,0,28,5,0,0,0.242,0.277,0.323,0.600,0.069,50.9,-0.38
7,2021,SSG,32,C,0.55,-0.17,90,146,144,127,15,30,3,0,3,42,14,0,0,12,5,0,31,4,2,0,0.236,0.326,0.331,0.657,0.100,79.2,0.37
8,2022,SSG,33,C,-0.14,0.05,22,55,52,45,4,6,2,0,0,8,1,0,0,5,2,0,22,2,3,0,0.133,0.250,0.178,0.428,0.031,25.3,-0.09
9,2023,SSG,34,C,-0.09,-0.24,16,17,16,14,1,1,0,0,1,4,2,0,0,2,0,0,6,0,1,0,0.071,0.188,0.286,0.474,0.024,21.0,-0.33
