,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2009,우리,19,1B,-0.12,-0.10,16,38,38,33,2,6,0,0,2,12,4,0,0,3,2,0,14,1,0,0,0.182,0.289,0.364,0.653,-0.085,37.3,-0.21
1,2010,넥센,20,1B,0.21,-0.32,64,163,159,138,16,32,6,0,5,53,19,0,0,12,9,1,45,3,3,1,0.232,0.331,0.384,0.715,-0.046,72.7,-0.11
2,2011,넥센,21,3B,-0.46,0.03,35,89,88,78,7,14,2,1,0,18,7,0,0,5,4,0,22,2,1,1,0.179,0.261,0.231,0.492,-0.106,15.8,-0.43
3,2012,넥센,22,3B,-0.26,-0.06,7,13,13,12,0,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0.000,0.077,0.000,0.077,-0.239,-115.7,-0.32
4,2015,넥센,25,3B,-0.15,0.09,6,8,8,8,0,1,0,0,0,1,0,0,0,0,0,0,2,1,0,0,0.125,0.125,0.125,0.250,-0.084,-60.3,-0.06
5,2016,넥센,26,3B,-0.01,-0.17,23,33,33,26,6,5,2,0,0,7,3,0,1,7,0,0,10,1,0,0,0.192,0.364,0.269,0.633,0.103,72.9,-0.18
6,2017,넥센,27,3B,1.21,-0.55,60,212,212,186,30,50,14,0,12,100,38,0,0,17,9,0,50,4,0,0,0.269,0.358,0.538,0.896,0.171,127.8,0.66
7,2018,넥센,28,3B,-0.04,-0.14,93,221,221,196,24,44,15,0,7,80,25,1,0,23,2,0,61,2,0,0,0.224,0.312,0.408,0.720,0.111,80.9,-0.18
8,2019,키움,29,3B,0.04,-0.48,119,413,413,372,41,92,15,0,7,128,62,0,0,27,9,0,77,14,0,5,0.247,0.310,0.344,0.654,0.093,81.1,-0.43
9,2020,KIA,30,3B,-0.38,-0.31,11,37,37,31,1,4,0,0,0,4,2,0,0,4,1,0,7,3,0,1,0.129,0.243,0.129,0.372,0.002,1.3,-0.69
