,Year,Team,Age,Pos.,oWAR,dWAR,G,PA,ePA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,BB,HP,IB,SO,GDP,SH,SF,AVG,OBP,SLG,OPS,R/ePA,wRC+,WAR
0,2011,SK,19,CF,0.03,0.00,6,3,3,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0.000,0.667,0.000,0.667,0.032,132.1,0.03
1,2012,SK,20,CF,-0.02,0.01,14,10,10,8,1,1,0,0,0,1,0,0,0,2,0,0,3,0,0,0,0.125,0.300,0.125,0.425,-0.074,36.9,-0.02
2,2013,SK,21,CF,-0.07,0.04,4,8,8,8,2,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.125,0.125,0.125,0.250,-0.200,-64.7,-0.03
3,2017,SK,25,CF,-0.18,-0.12,90,212,210,197,37,46,5,1,11,86,35,4,0,9,4,0,55,1,2,0,0.234,0.281,0.437,0.718,0.097,69.8,-0.29
4,2018,SK,26,CF,-0.77,0.01,96,212,209,201,33,49,8,1,3,68,17,11,3,6,2,0,45,2,3,0,0.244,0.273,0.338,0.611,0.064,44.0,-0.77
5,2019,SK,27,RF,-0.18,-0.07,13,17,17,16,1,3,0,0,0,3,2,0,0,1,0,0,2,0,0,0,0.188,0.235,0.188,0.423,0.010,7.8,-0.25
6,2020,SK,28,RF,-0.16,-0.09,50,140,136,126,14,30,2,2,2,42,15,7,1,7,1,1,34,2,4,2,0.238,0.279,0.333,0.612,0.070,54.5,-0.25
7,2021,SSG,29,RF,-0.18,-0.01,2,7,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.000,0.000,0.000,0.000,-0.179,-137.0,-0.20
8,2021,NC,29,RF,-0.31,-0.38,86,199,197,186,27,43,8,0,6,69,21,6,3,10,1,0,37,2,2,0,0.231,0.274,0.371,0.645,0.080,63.3,-0.69
9,2022,NC,30,CF,-0.07,0.04,39,59,59,53,4,10,2,0,1,15,4,1,0,6,0,0,19,1,0,0,0.189,0.271,0.283,0.554,0.061,53.1,-0.03
