,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2011,한화,19,3B,2,,,,,,1,,,0.01,,,,,,,,0.01,0.6,,,0.001,
1,2014,한화,22,2B,1,0.0,4.0,2.0,1.0,1.0,0,100.0,4.5,-0.21,,0.0,0.26,,,,,0.05,0.19,0.02,0.07,0.005,0.007
2,2014,한화,22,SS,40,35.0,262.0,145.0,53.0,86.0,6,95.9,4.77,-3.16,,0.46,-1.77,,,,,-4.47,-15.7,2.02,-2.45,-0.395,-0.217
3,2015,한화,23,2B,27,13.0,135.1,82.0,36.0,43.0,3,96.3,5.25,-3.73,,-0.26,1.43,,,,,-2.56,-3.08,0.6,-1.96,-0.237,-0.182
4,2015,한화,23,SS,97,73.0,639.2,355.0,130.0,213.0,12,96.6,4.83,1.53,,0.81,-1.36,,,,,0.98,1.17,6.1,7.08,0.09,0.655
5,2016,한화,24,2B,5,1.0,14.0,12.0,4.0,8.0,0,100.0,7.71,-0.81,,0.02,,,,,,-0.79,-2.47,0.04,-0.75,-0.07,-0.066
6,2016,한화,24,SS,38,27.0,252.1,126.0,47.0,72.0,7,94.4,4.24,-4.04,,-0.63,-0.19,,,,,-4.86,-15.23,2.16,-2.7,-0.431,-0.24
7,2017,한화,25,2B,24,9.0,115.0,67.0,26.0,39.0,2,97.0,5.09,0.68,,-0.39,0.67,,,,,0.96,2.34,0.54,1.5,0.088,0.138
8,2017,한화,25,3B,7,4.0,32.2,11.0,4.0,7.0,0,100.0,3.03,0.23,,0.03,0.28,0.17,,,,0.71,1.72,0.0,0.71,0.065,0.065
9,2017,한화,25,SS,10,6.0,42.0,19.0,7.0,10.0,2,89.5,3.64,-2.62,,0.07,0.38,,,,,-2.18,-5.32,0.28,-1.9,-0.2,-0.174
10,2018,한화,26,1B,3,0.0,10.1,9.0,9.0,0.0,0,100.0,7.84,-1.02,,0.01,,,,,,-1.01,-1.89,-0.1,-1.11,-0.09,-0.099
11,2018,한화,26,2B,63,54.0,468.2,259.0,109.0,149.0,1,99.6,4.95,3.75,,0.64,-0.71,,,,,3.68,6.87,2.4,6.08,0.328,0.542
12,2018,한화,26,3B,2,1.0,7.0,2.0,1.0,1.0,0,100.0,2.57,0.56,,0.01,,,,,,0.57,1.06,0.0,0.57,0.051,0.051
13,2018,한화,26,SS,6,5.0,42.2,24.0,10.0,13.0,1,95.8,4.85,1.31,,0.08,-0.09,,,,,1.3,2.44,0.46,1.76,0.117,0.158
14,2019,한화,27,1B,18,5.0,69.0,73.0,70.0,3.0,0,100.0,9.52,1.43,,0.07,,,,,,1.49,4.14,-0.54,0.95,0.154,0.098
15,2019,한화,27,2B,13,4.0,51.0,35.0,20.0,14.0,1,97.1,6.0,-1.5,,0.07,0.01,,,,,-1.42,-3.92,0.24,-1.18,-0.146,-0.121
16,2019,한화,27,SS,27,17.0,153.0,85.0,31.0,51.0,3,96.5,4.82,-2.12,,-0.28,0.34,,,,,-2.06,-5.7,1.5,-0.56,-0.212,-0.057
17,2020,한화,28,1B,13,7.0,66.0,65.0,58.0,4.0,3,95.4,8.45,-1.38,,0.06,,0.06,,,,-1.27,-1.94,-0.54,-1.81,-0.119,-0.17
18,2020,한화,28,2B,54,42.0,329.1,202.0,93.0,108.0,1,99.5,5.49,2.91,,0.31,0.03,,,,,3.25,4.97,1.5,4.75,0.305,0.446
19,2020,한화,28,3B,7,5.0,41.0,13.0,3.0,9.0,1,92.3,2.63,1.11,,0.02,,,,,,1.14,1.74,0.0,1.14,0.107,0.107
20,2020,한화,28,SS,2,2.0,18.0,9.0,2.0,6.0,1,88.9,4.0,-0.95,,0.03,-0.02,,,,,-0.94,-1.43,0.16,-0.78,-0.088,-0.073
21,2020,한화,28,LF,2,0.0,2.0,0.0,0.0,0.0,0,,0.0,0.0,,0.0,,,,,,0.0,0.0,-0.01,-0.01,0.0,-0.001
22,2020,한화,28,RF,1,0.0,2.1,1.0,1.0,0.0,0,100.0,3.86,0.16,0.01,0.0,,,,,,0.17,0.26,-0.01,0.16,0.016,0.015
23,2021,KIA,29,2B,8,2.0,25.0,17.0,8.0,9.0,0,100.0,6.12,0.99,,0.03,,,,,,1.03,5.91,0.07,1.1,0.102,0.109
24,2021,KIA,29,3B,1,0.0,1.0,0.0,0.0,0.0,0,,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,
25,2021,KIA,29,SS,3,1.0,10.0,8.0,4.0,3.0,1,87.5,6.3,-1.02,,0.02,0.33,,,,,-0.68,-3.89,0.06,-0.62,-0.067,-0.061
26,2021,한화,29,P,1,0.0,0.2,0.0,0.0,0.0,0,,0.0,,,,,,,,,0.0,0.0,,,0.0,
27,2021,한화,29,2B,4,2.0,21.0,16.0,8.0,8.0,0,100.0,6.86,1.5,,0.03,,,,,,1.52,8.77,0.1,1.62,0.151,0.161
28,2021,한화,29,3B,5,3.0,27.0,4.0,1.0,2.0,1,75.0,1.0,-0.71,,0.02,,,,,,-0.69,-3.96,0.0,-0.69,-0.068,-0.068
29,2021,한화,29,SS,1,0.0,3.0,3.0,2.0,1.0,0,100.0,9.0,0.0,,0.0,0.2,,,,,0.2,1.13,0.02,0.22,0.02,0.021
