,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2017,NC,24,1B,1,0,4.0,3,3,0,0,100.0,6.75,,,0.0,,,,,,0.0,0.02,-0.04,-0.04,0.0,-0.003
1,1,1,2017,NC,24,3B,5,0,10.0,1,0,1,0,100.0,0.9,-0.21,,0.01,,,,,,-0.2,-1.05,0.0,-0.2,-0.019,-0.019
2,2,2,2017,NC,24,CF,5,0,8.0,1,1,0,0,100.0,1.13,0.35,,0.01,,,,,,0.36,1.86,0.0,0.36,0.033,0.033
3,3,3,2018,NC,25,C,2,0,1.0,1,1,0,0,100.0,9.0,0.0,,0.0,,,,0.07,,0.06,0.18,,,0.005,
4,4,4,2018,NC,25,LF,23,10,110.0,24,24,0,0,100.0,1.96,2.15,0.17,0.18,,,,,,2.5,7.99,-0.46,2.04,0.223,0.182
5,5,5,2018,NC,25,CF,3,2,15.0,3,3,0,0,100.0,1.8,-0.81,-0.61,0.02,,,,,,-1.4,-4.49,0.0,-1.4,-0.125,-0.125
6,6,6,2018,NC,25,RF,6,0,11.0,1,1,0,0,100.0,0.82,-0.34,0.18,0.01,,,,,,-0.14,-0.46,-0.06,-0.2,-0.013,-0.018
7,7,7,2019,NC,26,LF,21,14,112.0,19,18,1,0,100.0,1.53,-1.01,-0.68,0.11,,,,,,-1.58,-5.54,-0.53,-2.11,-0.162,-0.217
8,8,8,2019,NC,26,RF,10,2,23.2,9,8,0,1,88.9,3.04,-0.41,-0.39,0.04,,,,,,-0.76,-2.67,-0.09,-0.85,-0.078,-0.087
9,9,9,2020,NC,27,1B,111,95,793.0,697,647,46,4,99.4,7.87,2.27,,-0.33,,-0.05,,,,1.89,2.25,-7.8,-5.91,0.178,-0.556
10,10,10,2020,NC,27,LF,5,1,12.0,3,3,0,0,100.0,2.25,0.55,-0.02,0.02,,,,,,0.54,0.65,-0.06,0.48,0.051,0.046
11,11,11,2020,NC,27,RF,4,2,20.2,6,6,0,0,100.0,2.61,0.6,-0.38,0.03,,,,,,0.25,0.29,-0.08,0.17,0.023,0.016
12,12,12,2021,NC,28,1B,120,115,970.1,908,839,56,13,98.6,8.3,-5.57,,0.8,,-0.58,,,,-5.34,-6.2,-9.08,-14.42,-0.529,-1.43
13,13,13,2021,NC,28,RF,1,0,1.0,0,0,0,0,,0.0,-0.01,,0.0,,,,,,-0.01,-0.01,-0.01,-0.02,0.0,-0.001
14,14,14,2022,두산,29,1B,22,13,133.1,128,121,7,0,100.0,8.64,0.93,,0.1,,0.14,,,,1.17,4.22,-1.14,0.03,0.121,0.003
15,15,15,2022,두산,29,LF,4,1,10.0,5,5,0,0,100.0,4.5,-0.29,0.63,0.02,,,,,,0.36,1.29,-0.04,0.32,0.037,0.033
16,16,16,2022,두산,29,RF,7,6,35.1,3,3,0,0,100.0,0.76,-1.21,-0.41,0.06,,,,,,-1.55,-5.59,-0.2,-1.75,-0.16,-0.181
17,17,17,2023,두산,30,1B,2,0,2.0,4,4,0,0,100.0,18.0,0.4,,0.0,,,,,,0.4,1.0,-0.04,0.36,0.041,0.037
18,18,18,2023,SSG,30,1B,29,27,219.1,233,217,15,1,99.6,9.52,1.08,,0.4,,0.06,,,,1.54,3.82,-2.08,-0.54,0.157,-0.055
19,19,19,2023,SSG,30,LF,8,4,33.0,7,7,0,0,100.0,1.91,-1.09,0.19,0.06,,,,,,-0.84,-2.09,-0.13,-0.97,-0.086,-0.099
20,20,20,2023,SSG,30,RF,2,0,2.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.01,-0.01,-0.01,0.0,-0.001
21,21,21,2024,SSG,31,1B,2,1,9.0,7,6,1,0,100.0,7.0,0.66,,0.04,,,,,,0.7,6.31,-0.08,0.62,0.064,0.057
22,22,22,2024,SSG,31,LF,1,0,3.0,1,1,0,0,100.0,3.0,0.45,,0.0,,,,,,0.45,4.08,-0.02,0.43,0.041,0.04
