,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2007,롯데,19,3B,4,,,,,,0,,,-0.01,,,,,,,,-0.01,-0.3,,,-0.001,
1,1,1,2008,롯데,20,2B,20,,,,,,0,,,-0.47,,,,,,,,-0.47,-3.4,,,-0.049,
2,2,2,2009,롯데,21,2B,114,,,,,,8,,,-1.42,,,,,,,,-1.42,-1.79,,,-0.13,
3,3,3,2010,롯데,22,SS,43,,,,,,0,,,-1.68,,,,,,,,-1.68,-3.03,,,-0.159,
4,4,4,2010,키움,22,SS,37,,,,,,3,,,0.38,,,,,,,,0.38,0.69,,,0.036,
5,5,5,2011,키움,23,2B,124,,,,,,8,,,2.31,,,,,,,,2.31,2.69,,,0.231,
6,6,6,2012,키움,24,3B,71,,,,,,3,,,2.01,,,,,,,,2.01,4.08,,,0.212,
7,7,7,2013,키움,25,2B,3,1.0,17.0,7.0,4.0,3.0,0,100.0,3.71,0.42,,0.02,-0.27,,,,,0.17,0.19,0.06,0.23,0.017,0.023
8,8,8,2013,키움,25,3B,123,121.0,1043.0,325.0,83.0,229.0,13,96.0,2.69,-5.88,,0.59,-0.2,0.46,,,,-5.03,-5.66,0.0,-5.03,-0.505,-0.505
9,9,9,2013,키움,25,SS,6,3.0,26.1,21.0,8.0,13.0,0,100.0,7.18,1.44,,0.04,-1.26,,,,,0.22,0.25,0.22,0.44,0.022,0.044
10,10,10,2014,키움,26,2B,4,1.0,16.0,9.0,2.0,7.0,0,100.0,5.06,0.43,,0.02,,,,,,0.45,0.55,0.07,0.52,0.039,0.046
11,11,11,2014,키움,26,3B,102,101.0,855.0,257.0,70.0,180.0,7,97.3,2.63,8.63,,0.35,-0.12,-0.15,,,,8.71,10.81,0.0,8.71,0.77,0.77
12,12,12,2014,키움,26,SS,2,1.0,10.0,11.0,7.0,3.0,1,90.9,9.0,-0.92,,0.02,0.01,,,,,-0.89,-1.11,0.1,-0.79,-0.079,-0.07
13,13,13,2015,키움,27,2B,36,32.0,250.0,166.0,67.0,98.0,1,99.4,5.94,2.22,,0.44,0.42,,,,,3.08,3.76,1.35,4.43,0.285,0.41
14,14,14,2015,키움,27,3B,69,62.0,547.2,172.0,57.0,111.0,4,97.7,2.76,1.51,,0.17,0.11,0.26,,,,2.05,2.5,0.0,2.05,0.19,0.19
15,15,15,2016,키움,28,2B,2,2.0,9.0,4.0,3.0,1.0,0,100.0,4.0,0.52,,0.01,,,,,,0.53,0.55,0.06,0.59,0.047,0.053
16,16,16,2016,키움,28,3B,128,123.0,1060.0,366.0,130.0,229.0,7,98.1,3.05,6.21,,0.28,-0.48,-0.08,,,,5.93,6.05,0.0,5.93,0.526,0.526
17,17,17,2017,키움,29,2B,2,0.0,3.0,0.0,0.0,0.0,0,,0.0,-0.08,,0.0,,,,,,-0.07,-0.08,,,-0.007,
18,18,18,2017,키움,29,3B,125,119.0,1028.0,357.0,110.0,241.0,6,98.3,3.07,7.23,,0.31,0.73,0.21,,,,8.48,9.18,0.0,8.48,0.779,0.779
19,19,19,2017,키움,29,SS,5,5.0,30.0,13.0,7.0,6.0,0,100.0,3.9,0.24,,0.05,-0.29,,,,,0.0,0.0,0.32,0.32,0.0,0.029
20,20,20,2018,키움,30,2B,2,2.0,13.0,8.0,4.0,4.0,0,100.0,5.54,-0.39,,0.02,,,,,,-0.37,-0.42,0.08,-0.29,-0.033,-0.026
21,21,21,2018,키움,30,3B,109,104.0,895.2,239.0,69.0,163.0,7,97.1,2.33,4.0,,0.86,0.78,-0.27,,,,5.38,6.05,0.0,5.38,0.48,0.48
22,22,22,2019,LG,31,3B,105,104.0,841.2,244.0,61.0,177.0,6,97.5,2.54,1.85,,-0.24,-0.22,-0.26,,,,1.13,1.52,0.0,1.13,0.116,0.116
23,23,23,2020,LG,32,3B,83,79.0,639.2,152.0,45.0,102.0,5,96.7,2.07,-3.51,,0.39,1.09,0.25,,,,-1.79,-2.96,0.0,-1.79,-0.168,-0.168
24,24,24,2021,LG,33,2B,3,0.0,5.2,5.0,2.0,3.0,0,100.0,7.94,-0.05,,0.01,-0.14,,,,,-0.19,-0.22,0.02,-0.17,-0.019,-0.017
