,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2017,롯데,19,3B,5,4,27.2,10,3,6,1,90.0,2.93,0.18,,0.02,,-0.29,,,,-0.08,-1.19,0.0,-0.08,-0.008,-0.008
1,1,1,2017,롯데,19,SS,3,2,17.0,6,1,5,0,100.0,3.18,-0.29,,0.03,-0.35,,,,,-0.62,-8.91,0.1,-0.52,-0.057,-0.048
2,2,2,2019,롯데,21,3B,11,10,89.0,23,9,13,1,95.7,2.22,-1.88,,0.08,-0.37,0.12,,,,-2.05,-26.84,0.0,-2.05,-0.211,-0.211
3,3,3,2020,롯데,22,3B,3,2,20.2,7,0,7,0,100.0,3.05,0.86,,0.01,0.39,,,,,1.26,60.58,0.0,1.26,0.119,0.119
4,4,4,2021,롯데,23,P,1,0,1.0,0,0,0,0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
5,5,5,2021,롯데,23,1B,22,9,96.1,104,94,10,0,100.0,9.72,0.17,,0.08,,0.07,,,,0.32,0.57,-0.82,-0.5,0.032,-0.049
6,6,6,2021,롯데,23,2B,35,23,205.1,114,51,60,3,97.4,4.87,-3.4,,0.26,1.41,,,,,-1.72,-3.03,0.93,-0.79,-0.171,-0.079
7,7,7,2021,롯데,23,3B,22,14,145.1,39,9,30,0,100.0,2.42,1.7,,0.11,-0.03,-0.98,,,,0.79,1.39,0.0,0.79,0.078,0.078
8,8,8,2021,롯데,23,SS,6,2,23.0,9,5,4,0,100.0,3.52,1.36,,0.04,-0.27,,,,,1.13,1.99,0.24,1.37,0.112,0.136
9,9,9,2022,롯데,24,1B,17,10,92.0,110,97,12,1,99.1,10.66,0.52,,0.07,,0.15,,,,0.73,1.86,-0.78,-0.05,0.076,-0.005
10,10,10,2022,롯데,24,2B,18,14,109.0,60,24,34,2,96.7,4.79,-2.31,,0.13,0.31,,,,,-1.88,-4.74,0.48,-1.4,-0.194,-0.144
11,11,11,2022,롯데,24,3B,20,14,113.1,41,11,29,1,97.6,3.18,2.26,,0.1,0.35,0.12,,,,2.83,7.15,0.0,2.83,0.292,0.292
12,12,12,2022,롯데,24,SS,6,2,23.0,9,6,2,1,88.9,3.13,0.23,,-0.45,,,,,,-0.22,-0.56,0.18,-0.04,-0.023,-0.004
13,13,13,2023,롯데,25,1B,9,6,48.0,40,39,1,0,100.0,7.5,-0.59,,0.09,,,,,,-0.5,-2.91,-0.38,-0.88,-0.051,-0.09
14,14,14,2023,롯데,25,2B,1,0,2.0,1,0,1,0,100.0,4.5,-0.56,,0.01,,,,,,-0.55,-3.19,0.01,-0.54,-0.056,-0.055
15,15,15,2023,롯데,25,3B,11,8,69.0,19,5,12,2,89.5,2.22,-0.71,,-0.34,-0.15,0.1,,,,-1.09,-6.3,0.0,-1.09,-0.112,-0.112
16,16,16,2024,LG,26,1B,6,2,15.0,13,12,0,1,92.3,7.2,-0.72,,-0.43,,,,,,-1.15,-8.72,-0.12,-1.27,-0.105,-0.116
17,17,17,2024,LG,26,2B,1,0,1.0,0,0,0,0,,0.0,-0.1,,0.01,,,,,,-0.09,-0.69,,,-0.008,
18,18,18,2024,LG,26,3B,9,2,29.0,8,2,6,0,100.0,2.48,0.11,,0.2,-0.1,0.07,,,,0.28,2.11,0.0,0.28,0.025,0.025
19,19,19,2024,LG,26,SS,4,0,12.0,14,7,6,1,92.9,9.75,-1.36,,-0.4,1.2,,,,,-0.56,-4.23,0.12,-0.44,-0.051,-0.04
