,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2013,롯데,19,C,4,1,16.0,15,12,3,0,100.0,8.44,0.00,,0.06,,,-0.18,-0.29,0.63,0.22,8.06,0.14,0.37,0.022,0.037
1,2015,롯데,21,C,24,6,87.1,72,67,5,0,100.0,7.42,-0.13,,0.31,,,-0.86,-0.94,,-1.35,-7.19,0.67,-0.68,-0.125,-0.063
2,2016,롯데,22,C,58,33,316.2,284,257,27,0,100.0,8.07,0.66,,1.13,,-0.26,2.92,-6.74,,-0.27,-0.58,3.19,2.92,-0.024,0.259
3,2019,롯데,25,C,42,26,236.0,231,216,13,2,99.1,8.73,0.37,,-0.28,,0.01,-1.30,-3.38,,-3.55,-11.90,2.47,-1.08,-0.365,-0.111
4,2020,롯데,26,C,125,84,793.0,676,615,54,7,99.0,7.59,1.04,,-0.99,,-0.28,-2.84,2.23,,-1.51,-1.70,8.21,6.70,-0.142,0.630
5,2021,롯데,27,C,45,31,286.0,273,254,18,1,99.6,8.56,-0.14,,0.43,,-0.27,-1.77,1.11,,-0.97,-2.42,3.02,2.05,-0.097,0.203
6,2021,KT,27,C,7,1,16.0,17,13,3,1,94.1,9.00,0.00,,-0.45,,,0.43,-0.22,,-0.17,-0.43,0.17,-0.01,-0.017,-0.001
7,2022,KT,28,C,78,57,504.2,439,414,22,3,99.3,7.78,0.20,,0.09,,0.02,-0.17,-1.71,,-1.06,-1.56,5.45,4.39,-0.109,0.452
8,2023,KT,29,C,35,16,162.2,123,108,11,4,96.7,6.58,0.26,,-1.56,,-0.01,0.48,-2.36,,-2.48,-5.18,1.68,-0.80,-0.253,-0.082
9,2024,KT,30,C,18,3,57.1,41,39,2,0,100.0,6.44,-0.01,,0.21,,,-0.44,0.34,,0.00,-0.02,0.60,0.60,0.000,0.054
