,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2017,NC,20,SS,2,0,2.0,0,0,0,0,,0.00,-0.29,,0.00,,,,,,-0.29,-20.72,,,-0.025,
1,2018,NC,21,2B,10,3,43.0,28,11,17,0,100.0,5.86,-0.09,,0.06,0.44,,,,,0.41,0.93,0.18,0.59,0.036,0.052
2,2018,NC,21,3B,11,5,56.2,21,3,18,0,100.0,3.34,2.74,,0.05,0.34,,,,,3.13,7.15,0.00,3.13,0.279,0.279
3,2018,NC,21,SS,47,30,269.0,127,41,81,5,96.1,4.08,-2.59,,0.51,1.23,,,,,-0.85,-1.94,2.26,1.41,-0.076,0.126
4,2019,NC,22,2B,8,0,14.0,10,2,8,0,100.0,6.43,0.81,,0.02,-0.24,,,,,0.59,1.12,0.04,0.63,0.061,0.065
5,2019,NC,22,3B,11,1,18.1,1,0,1,0,100.0,0.49,-0.99,,0.02,,,,,,-0.98,-1.85,0.00,-0.98,-0.101,-0.101
6,2019,NC,22,SS,58,36,340.0,171,62,106,3,98.2,4.45,-1.17,,0.47,0.31,,,,,-0.39,-0.73,2.72,2.33,-0.040,0.240
7,2020,NC,23,2B,4,0,5.0,1,0,1,0,100.0,1.80,-0.74,,0.00,,,,,,-0.74,-1.90,,,-0.069,
8,2020,NC,23,3B,12,2,33.2,13,2,7,4,69.2,2.41,-1.58,,-0.50,,0.12,,,,-1.95,-5.02,0.00,-1.95,-0.183,-0.183
9,2020,NC,23,SS,40,13,157.0,82,31,45,6,92.7,4.36,-3.57,,0.23,-0.07,,,,,-3.41,-8.77,1.06,-2.35,-0.320,-0.221
10,2021,SSG,24,1B,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.00,,,0.000,
11,2021,SSG,24,2B,26,15,129.2,72,22,50,0,100.0,5.00,1.47,,0.16,-0.65,,,,,0.98,1.61,0.52,1.50,0.098,0.149
12,2021,SSG,24,3B,39,11,154.2,43,15,26,2,95.3,2.39,-1.46,,0.12,-1.41,0.10,,,,-2.66,-4.35,0.00,-2.66,-0.264,-0.264
13,2021,SSG,24,SS,9,4,29.2,17,6,10,1,94.1,4.85,-1.78,,0.05,-0.52,,,,,-2.26,-3.69,0.30,-1.96,-0.224,-0.194
14,2021,NC,24,2B,8,2,30.2,19,5,14,0,100.0,5.58,0.63,,0.04,0.88,,,,,1.56,2.54,0.13,1.69,0.154,0.167
15,2021,NC,24,3B,1,0,5.0,2,0,2,0,100.0,3.60,-0.42,,0.00,-0.13,,,,,-0.55,-0.90,0.00,-0.55,-0.054,-0.054
16,2021,NC,24,SS,6,4,29.2,15,7,7,1,93.3,4.25,-1.94,,0.05,0.15,,,,,-1.74,-2.85,0.18,-1.56,-0.173,-0.155
17,2023,SSG,26,2B,8,3,31.2,26,9,17,0,100.0,7.39,0.79,,0.09,0.25,,,,,1.13,4.51,0.13,1.26,0.115,0.128
18,2023,SSG,26,3B,25,6,100.0,22,5,14,3,86.4,1.71,-1.89,,-0.76,-0.09,-0.27,,,,-3.00,-12.00,0.00,-3.00,-0.306,-0.306
19,2023,SSG,26,SS,3,1,9.0,11,4,7,0,100.0,11.00,1.22,,0.02,0.10,,,,,1.34,5.35,0.06,1.40,0.136,0.143
20,2024,SSG,27,2B,2,1,11.0,5,4,1,0,100.0,4.09,-0.21,,0.07,,,,,,-0.15,-4.26,0.03,-0.12,-0.014,-0.011
21,2024,SSG,27,3B,2,1,10.0,3,0,3,0,100.0,2.70,-0.91,,0.07,,,,,,-0.85,-24.37,0.00,-0.85,-0.077,-0.077
22,2024,SSG,27,SS,1,0,3.0,2,2,0,0,100.0,6.00,0.73,,0.03,,,,,,0.76,21.83,0.02,0.78,0.069,0.071
