,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2015,NC,20,2B,1,1,5.0,1,1,0,0,100.0,1.8,-0.19,,0.01,,,,,,-0.18,-25.85,0.03,-0.15,-0.017,-0.014
1,1,1,2016,NC,21,3B,1,0,3.0,0,0,0,0,,0.0,-0.02,,0.0,,,,,,-0.02,-1.09,0.0,-0.02,-0.001,-0.001
2,2,2,2018,NC,23,2B,5,0,7.0,0,0,0,0,,0.0,-1.48,,0.01,,,,,,-1.47,-10.6,0.01,-1.46,-0.132,-0.131
3,3,3,2018,NC,23,3B,8,5,40.1,13,2,8,3,76.9,2.23,-1.21,,0.04,0.06,,,,,-1.11,-7.97,0.0,-1.11,-0.099,-0.099
4,4,4,2018,NC,23,LF,1,1,5.0,1,1,0,0,100.0,1.8,0.5,0.34,0.01,,,,,,0.85,6.1,-0.02,0.83,0.076,0.074
5,5,5,2018,NC,23,RF,1,0,1.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.01,-0.01,-0.01,0.0,-0.001
6,6,6,2019,NC,24,2B,14,10,92.0,62,21,41,0,100.0,6.07,1.96,,0.13,0.52,,,,,2.62,3.06,0.45,3.07,0.269,0.315
7,7,7,2019,NC,24,3B,19,15,122.0,32,7,24,1,96.9,2.29,-0.76,,-0.38,0.14,0.47,,,,-0.54,-0.63,0.0,-0.54,-0.055,-0.055
8,8,8,2019,NC,24,LF,50,37,311.0,84,81,3,0,100.0,2.43,4.3,-0.06,0.3,,,,,,4.54,5.32,-1.47,3.07,0.467,0.316
9,9,9,2019,NC,24,CF,30,21,187.0,70,66,2,2,97.1,3.27,1.44,0.23,-0.75,,,,,,0.92,1.07,0.0,0.92,0.094,0.094
10,10,10,2019,NC,24,RF,3,1,8.0,3,3,0,0,100.0,3.38,0.49,,0.01,,,,,,0.51,0.59,-0.03,0.48,0.052,0.049
11,11,11,2020,KIA,25,2B,1,0,5.0,2,0,2,0,100.0,3.6,-0.33,,0.0,,,,,,-0.33,-0.57,0.02,-0.31,-0.031,-0.029
12,12,12,2020,KIA,25,3B,45,45,396.0,139,53,79,7,95.0,3.0,-2.08,,0.24,-1.22,0.11,,,,-2.95,-5.18,0.0,-2.95,-0.277,-0.277
13,13,13,2020,NC,25,2B,12,6,61.0,28,10,18,0,100.0,4.13,-1.53,,0.06,-0.64,,,,,-2.11,-3.71,0.27,-1.84,-0.199,-0.173
14,14,14,2020,NC,25,3B,19,12,104.0,31,7,22,2,93.5,2.51,2.47,,0.06,-1.28,0.12,,,,1.37,2.41,0.0,1.37,0.129,0.129
15,15,15,2020,NC,25,LF,5,1,15.0,2,2,0,0,100.0,1.2,-1.02,0.0,0.02,,,,,,-1.0,-1.75,-0.04,-1.04,-0.094,-0.097
16,16,16,2020,NC,25,CF,3,0,3.0,1,1,0,0,100.0,3.0,0.52,,0.0,,,,,,0.52,0.91,0.0,0.52,0.049,0.049
17,17,17,2021,KIA,26,2B,5,5,44.0,18,8,9,1,94.4,3.48,-1.54,,0.06,0.27,,,,,-1.22,-1.77,0.2,-1.02,-0.121,-0.101
18,18,18,2021,KIA,26,3B,93,91,786.2,253,66,171,16,93.7,2.71,1.44,,-0.91,-0.86,-0.04,,,,-0.37,-0.54,0.0,-0.37,-0.037,-0.037
19,19,19,2022,KIA,27,2B,3,0,6.0,2,0,1,1,50.0,1.5,-0.72,,0.01,,,,,,-0.71,-1.33,0.02,-0.69,-0.073,-0.071
20,20,20,2022,키움,27,1B,38,30,253.2,263,236,26,1,99.6,9.3,-0.2,,0.19,,0.2,,,,0.19,0.36,-2.6,-2.41,0.02,-0.248
21,21,21,2022,키움,27,2B,23,18,161.1,107,41,64,2,98.1,5.86,2.53,,-0.3,0.38,,,,,2.61,4.89,0.7,3.31,0.27,0.342
22,22,22,2022,키움,27,3B,3,3,26.0,8,2,4,2,75.0,2.08,-1.08,,0.02,0.58,,,,,-0.47,-0.88,0.0,-0.47,-0.049,-0.049
23,23,23,2022,키움,27,LF,10,8,64.0,13,13,0,0,100.0,1.83,-0.58,-0.06,0.1,,,,,,-0.55,-1.02,-0.37,-0.92,-0.056,-0.094
24,24,24,2022,키움,27,CF,2,1,12.0,1,1,0,0,100.0,0.75,0.08,-0.39,0.02,,,,,,-0.29,-0.55,0.0,-0.29,-0.03,-0.03
25,25,25,2023,키움,28,1B,1,0,2.0,1,1,0,0,100.0,4.5,-0.3,,0.0,,,,,,-0.29,-0.57,-0.02,-0.31,-0.03,-0.032
26,26,26,2023,키움,28,2B,24,13,139.1,88,41,46,1,98.9,5.62,1.43,,-0.12,-0.54,,,,,0.78,1.51,0.66,1.44,0.079,0.147
27,27,27,2023,키움,28,3B,37,28,233.0,72,28,38,6,91.7,2.55,-2.41,,0.04,-0.56,0.54,,,,-2.38,-4.63,0.0,-2.38,-0.243,-0.243
28,28,28,2023,키움,28,LF,1,1,8.0,1,0,0,1,0.0,0.0,-1.41,,-0.48,,,,,,-1.89,-3.68,-0.04,-1.93,-0.193,-0.197
29,29,29,2024,키움,29,2B,10,1,28.0,19,7,11,1,94.7,5.79,0.38,,-0.33,0.24,,,,,0.29,0.51,0.1,0.39,0.026,0.036
30,30,30,2024,키움,29,3B,1,0,1.0,0,0,0,0,,0.0,,,0.01,,,,,,0.01,0.01,,,0.001,
31,31,31,2024,키움,29,SS,57,33,346.0,171,64,104,3,98.2,4.37,4.68,,1.56,0.57,,,,,6.82,12.12,2.98,9.8,0.623,0.895
32,32,32,2024,키움,29,LF,8,3,35.0,11,11,0,0,100.0,2.83,1.54,0.1,0.04,,,,,,1.68,2.98,-0.16,1.52,0.153,0.138
33,33,33,2024,키움,29,RF,2,0,6.0,0,0,0,0,,0.0,-0.33,-0.11,0.02,,,,,,-0.42,-0.74,-0.03,-0.45,-0.038,-0.041
