,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2021,키움,19,2B,7,1,14.0,7,1,5,1,85.7,3.86,-0.31,,-0.48,,,,,,-0.79,-3.36,0.04,-0.75,-0.079,-0.075
1,2021,키움,19,3B,24,19,162.0,43,7,32,4,90.7,2.17,-1.01,,0.12,-0.60,-0.19,,,,-1.68,-7.12,0.00,-1.68,-0.167,-0.167
2,2021,키움,19,SS,9,3,30.0,19,9,8,2,89.5,5.10,-0.85,,0.05,0.30,,,,,-0.51,-2.15,0.20,-0.31,-0.050,-0.031
3,2022,키움,20,2B,6,0,10.0,10,1,9,0,100.0,9.00,0.87,,0.01,0.30,,,,,1.18,1.52,0.02,1.20,0.122,0.124
4,2022,키움,20,3B,5,0,10.0,6,2,3,1,83.3,4.50,-0.56,,0.01,0.58,,,,,0.02,0.03,0.00,0.02,0.003,0.003
5,2022,키움,20,SS,105,95,798.0,410,138,257,15,96.3,4.45,-7.72,,0.35,-2.85,,,,,-10.22,-13.14,7.66,-2.56,-1.053,-0.264
6,2023,키움,21,3B,43,35,295.1,79,19,56,4,94.9,2.29,1.00,,-0.31,0.37,0.08,,,,1.14,1.50,0.00,1.14,0.117,0.117
7,2023,키움,21,SS,74,64,578.0,273,102,157,14,94.9,4.03,-7.68,,0.37,1.91,,,,,-5.40,-7.06,5.78,0.38,-0.550,0.039
8,2024,키움,22,3B,9,6,53.0,11,2,9,0,100.0,1.87,-0.32,,0.36,0.24,,,,,0.29,0.30,0.00,0.29,0.027,0.027
9,2024,키움,22,SS,44,40,338.1,163,51,106,6,96.3,4.18,-1.54,,-0.01,1.39,,,,,-0.17,-0.17,3.08,2.91,-0.015,0.266
10,2024,NC,22,1B,13,11,94.0,97,86,11,0,100.0,9.29,2.93,,0.46,,0.06,,,,3.46,3.56,-0.98,2.48,0.316,0.226
11,2024,NC,22,3B,52,42,381.2,117,35,75,7,94.0,2.59,3.20,,-0.89,0.91,0.05,,,,3.26,3.35,0.00,3.26,0.298,0.298
12,2024,NC,22,SS,24,22,162.2,72,29,40,3,95.8,3.82,-2.56,,-0.06,0.13,,,,,-2.50,-2.57,1.60,-0.90,-0.228,-0.082
