,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2014,한화,24,RF,1,0,1.0,0,0,0,0,,0.0,0.0,,0.0,,,,,,0.0,0.09,-0.01,-0.01,0.0,-0.001
1,2015,KIA,25,LF,2,0,5.0,3,3,0,0,100.0,5.4,0.33,0.17,0.01,,,,,,0.51,7.33,-0.02,0.49,0.047,0.045
2,2015,KIA,25,CF,5,2,19.2,2,2,0,0,100.0,0.92,-1.74,-0.28,0.02,,,,,,-1.99,-28.72,0.0,-1.99,-0.185,-0.185
3,2015,KIA,25,RF,4,0,6.0,1,1,0,0,100.0,1.5,0.49,0.14,0.01,,,,,,0.65,9.3,,,0.06,
4,2016,KIA,26,LF,20,7,67.0,19,18,1,0,100.0,2.55,1.21,0.32,0.12,,,,,,1.66,3.1,-0.34,1.32,0.147,0.117
5,2016,KIA,26,CF,28,20,166.0,39,37,2,0,100.0,2.11,-1.62,0.8,0.23,,,,,,-0.6,-1.12,0.0,-0.6,-0.053,-0.053
6,2016,KIA,26,RF,46,25,246.0,65,62,2,1,98.5,2.34,2.82,1.21,-0.2,,,,,,3.82,7.14,-1.19,2.63,0.339,0.233
7,2017,KIA,27,LF,2,0,4.0,3,3,0,0,100.0,6.75,0.88,0.13,0.01,,,,,,1.02,1.12,-0.02,1.0,0.094,0.092
8,2017,KIA,27,CF,1,0,7.0,1,1,0,0,100.0,1.29,0.21,-0.15,0.01,,,,,,0.07,0.07,0.0,0.07,0.006,0.006
9,2017,KIA,27,RF,4,3,26.0,9,9,0,0,100.0,3.12,0.86,-0.47,0.04,,,,,,0.44,0.48,-0.13,0.31,0.04,0.028
10,2017,SSG,27,LF,29,4,85.0,18,15,3,0,100.0,1.91,-0.57,0.05,0.21,,,,,,-0.31,-0.35,-0.32,-0.63,-0.029,-0.058
11,2017,SSG,27,CF,83,65,537.0,139,134,1,4,97.1,2.26,4.05,-0.62,-1.01,,,,,,2.43,2.67,0.0,2.43,0.223,0.223
12,2017,SSG,27,RF,39,13,159.2,42,40,1,1,97.6,2.31,0.53,-0.68,0.27,,,,,,0.12,0.13,-0.79,-0.67,0.011,-0.062
13,2018,SSG,28,LF,58,41,362.1,67,62,5,0,100.0,1.66,-0.37,0.07,0.59,,,,,,0.29,0.31,-1.95,-1.66,0.026,-0.148
14,2018,SSG,28,CF,66,59,492.0,136,134,1,1,99.3,2.47,-1.26,-0.5,0.14,,,,,,-1.62,-1.73,0.0,-1.62,-0.145,-0.145
15,2018,SSG,28,RF,32,19,174.1,37,35,1,1,97.3,1.86,1.18,-0.5,0.24,,,,,,0.92,0.98,-0.94,-0.02,0.082,-0.002
16,2019,SSG,29,LF,70,40,402.0,107,99,5,3,97.2,2.33,-2.95,-0.24,-1.09,,,,,,-4.29,-5.28,-1.91,-6.2,-0.441,-0.637
17,2019,SSG,29,CF,39,39,286.0,99,97,2,0,100.0,3.12,4.93,0.04,0.36,,,,,,5.33,6.56,0.0,5.33,0.548,0.548
18,2019,SSG,29,RF,33,22,208.0,52,52,0,0,100.0,2.25,2.02,-0.17,0.35,,,,,,2.2,2.71,-0.99,1.21,0.227,0.125
19,2020,한화,30,LF,24,17,155.0,38,36,1,1,97.4,2.15,0.48,-0.03,-0.32,,,,,,0.14,0.2,-0.82,-0.68,0.013,-0.064
20,2020,한화,30,CF,34,27,226.1,79,76,2,1,98.7,3.1,5.49,0.55,0.25,,,,,,6.29,9.06,0.0,6.29,0.591,0.591
21,2020,한화,30,RF,10,9,68.0,9,9,0,0,100.0,1.19,-2.82,-0.4,0.09,,,,,,-3.13,-4.5,-0.36,-3.49,-0.294,-0.328
22,2020,SSG,30,LF,16,5,75.0,17,17,0,0,100.0,2.04,-0.9,0.09,0.1,,,,,,-0.7,-1.01,-0.29,-0.99,-0.066,-0.093
23,2020,SSG,30,CF,15,12,95.2,30,26,2,2,93.3,2.63,-1.57,0.02,-0.93,,,,,,-2.48,-3.58,0.0,-2.48,-0.233,-0.233
24,2021,한화,31,LF,10,7,66.0,22,21,1,0,100.0,3.0,1.31,0.9,0.06,,,,,,2.26,6.26,-0.3,1.96,0.224,0.194
25,2021,한화,31,CF,41,37,311.0,99,96,3,0,100.0,2.86,-2.61,-0.22,0.32,,,,,,-2.52,-6.97,0.0,-2.52,-0.249,-0.249
26,2022,한화,32,LF,93,76,648.2,177,168,5,4,97.7,2.4,5.71,-0.29,-0.96,,,,,,4.47,5.5,-2.93,1.54,0.461,0.159
27,2022,한화,32,CF,11,7,71.0,24,24,0,0,100.0,3.04,-1.8,-0.43,0.1,,,,,,-2.13,-2.62,0.0,-2.13,-0.22,-0.22
28,2023,한화,33,LF,23,15,142.0,27,27,0,0,100.0,1.71,-1.48,-0.09,0.25,,,,,,-1.32,-6.33,-0.69,-2.01,-0.134,-0.205
29,2023,한화,33,CF,7,4,41.1,10,10,0,0,100.0,2.18,1.48,-0.21,0.05,,,,,,1.32,6.34,0.0,1.32,0.135,0.135
