,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2012,두산,18,2B,2,,,,,,0,,,0.0,,,,,,,,0.0,0.32,,,0.0,
1,2015,두산,21,2B,3,0.0,4.0,6.0,2.0,4.0,0,100.0,13.5,0.61,,0.01,0.78,,,,,1.4,14.39,0.01,1.41,0.13,0.13
2,2015,두산,21,SS,7,0.0,10.2,7.0,3.0,4.0,0,100.0,5.91,1.14,,0.02,0.17,,,,,1.34,13.74,0.04,1.38,0.124,0.127
3,2016,두산,22,1B,20,0.0,29.1,30.0,29.0,0.0,1,96.7,8.9,-0.72,,0.04,,,,,,-0.69,-1.1,-0.08,-0.77,-0.061,-0.068
4,2016,두산,22,2B,32,12.0,131.0,88.0,41.0,47.0,0,100.0,6.05,2.88,,0.18,-0.2,,,,,2.86,4.58,0.55,3.41,0.254,0.303
5,2016,두산,22,3B,12,1.0,29.0,11.0,0.0,11.0,0,100.0,3.41,1.68,,0.04,0.36,0.32,,,,2.39,3.83,0.0,2.39,0.212,0.212
6,2016,두산,22,SS,36,11.0,155.0,94.0,23.0,70.0,1,98.9,5.4,3.72,,0.23,0.17,,,,,4.12,6.59,1.32,5.44,0.365,0.482
7,2017,두산,23,1B,8,0.0,18.0,17.0,17.0,0.0,0,100.0,8.5,0.41,,0.01,,,,,,0.43,0.49,-0.1,0.33,0.039,0.03
8,2017,두산,23,2B,15,1.0,36.2,20.0,6.0,13.0,1,95.0,4.66,-0.88,,0.04,-0.15,,,,,-1.0,-1.15,0.12,-0.88,-0.092,-0.081
9,2017,두산,23,3B,28,9.0,104.0,29.0,8.0,20.0,1,96.6,2.42,1.62,,0.08,0.43,-0.29,,,,1.84,2.12,0.0,1.84,0.169,0.169
10,2017,두산,23,SS,86,60.0,543.1,287.0,95.0,179.0,13,95.5,4.54,2.34,,-0.17,0.99,,,,,3.16,3.65,5.24,8.4,0.291,0.772
