,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2010,키움,20,C,7,,,,,,0,,,0.0,,,,,,0.0,,0.0,-0.05,,,0.0,
1,2013,키움,23,C,69,26.0,287.2,263.0,222.0,35.0,6,97.7,8.04,0.01,,-1.77,,-0.01,1.3,-2.75,-1.42,-4.65,-9.71,2.45,-2.2,-0.468,-0.221
2,2014,키움,24,C,76,52.0,478.2,461.0,423.0,31.0,7,98.5,8.54,0.44,,-1.35,,-0.8,2.41,2.01,,2.1,3.98,4.75,6.85,0.186,0.606
3,2015,키움,25,C,126,122.0,1012.0,965.0,859.0,96.0,10,99.0,8.49,-0.62,,-1.49,,-0.12,2.09,-0.95,,-0.81,-0.92,10.61,9.79,-0.075,0.907
4,2016,키움,26,C,126,122.0,991.1,839.0,743.0,89.0,7,99.2,7.55,1.36,,0.02,,0.03,2.38,-1.09,,3.04,3.45,10.87,13.91,0.27,1.234
5,2017,키움,27,C,99,77.0,651.0,583.0,527.0,48.0,8,98.6,7.95,-0.71,,-0.95,,0.18,1.86,2.89,,2.4,3.36,6.53,8.93,0.221,0.82
6,2018,키움,28,C,39,32.0,285.1,249.0,228.0,19.0,2,99.2,7.79,0.38,,-0.02,,-0.37,1.4,0.29,,1.6,5.91,2.98,4.58,0.143,0.409
7,2019,키움,29,C,89,64.0,608.0,528.0,487.0,40.0,1,99.8,7.8,0.37,,1.34,,0.01,1.84,0.66,,4.02,5.17,6.58,10.6,0.414,1.09
8,2020,키움,30,C,86,75.0,641.1,503.0,461.0,36.0,6,98.8,6.97,0.48,,-0.46,,-0.14,0.19,0.46,,0.39,0.5,7.27,7.66,0.037,0.72
9,2021,키움,31,C,84,73.0,560.1,458.0,407.0,46.0,5,98.9,7.28,0.66,,-0.19,,0.15,0.84,1.59,,2.58,2.84,6.5,9.09,0.256,0.901
10,2022,KIA,32,C,107,92.0,817.0,737.0,665.0,68.0,4,99.5,8.07,-0.52,,1.52,,-0.11,0.77,3.58,,4.16,4.88,9.17,13.33,0.429,1.374
11,2022,키움,32,C,7,6.0,48.0,42.0,38.0,3.0,1,97.6,7.69,-0.08,,-0.34,,0.09,0.0,0.85,,0.27,0.31,0.55,0.82,0.027,0.084
12,2023,LG,33,C,128,112.0,982.0,831.0,751.0,72.0,8,99.0,7.54,-0.64,,-1.42,,0.14,1.9,1.55,,1.07,1.18,11.09,12.15,0.109,1.24
13,2024,LG,34,C,124,109.0,944.2,890.0,809.0,77.0,4,99.6,8.44,1.14,,1.4,,0.07,2.15,8.55,,10.75,11.91,10.87,21.62,0.982,1.975
