,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2014,KIA,23,LF,4,0,5.0,1,0,1,0,100.0,1.80,-0.88,0.23,0.01,,,,,,-0.64,-2.88,-0.01,-0.65,-0.057,-0.057
1,2014,KIA,23,CF,12,4,41.0,11,10,0,1,90.9,2.20,0.41,-0.66,-0.45,,,,,,-0.70,-3.17,0.00,-0.70,-0.062,-0.062
2,2014,KIA,23,RF,20,6,79.2,29,29,0,0,100.0,3.28,2.18,-0.21,0.09,,,,,,2.06,9.28,-0.33,1.73,0.182,0.153
3,2015,KIA,24,LF,13,0,23.2,2,2,0,0,100.0,0.76,0.35,0.46,0.03,,,,,,0.84,2.37,-0.07,0.77,0.078,0.071
4,2015,KIA,24,CF,28,11,102.2,25,24,0,1,96.0,2.10,-1.08,-0.32,-0.38,,,,,,-1.78,-5.02,0.00,-1.78,-0.165,-0.165
5,2015,KIA,24,RF,25,3,72.2,21,21,0,0,100.0,2.60,0.27,0.44,0.14,,,,,,0.85,2.40,-0.33,0.52,0.079,0.048
6,2018,KIA,27,LF,14,3,40.2,8,8,0,0,100.0,1.77,1.10,-0.05,0.07,,,,,,1.11,1.88,-0.15,0.96,0.099,0.086
7,2018,KIA,27,CF,16,4,49.0,19,19,0,0,100.0,3.49,1.55,0.40,0.06,,,,,,2.02,3.43,0.00,2.02,0.181,0.181
8,2018,KIA,27,RF,48,24,248.0,75,71,2,2,97.3,2.65,-1.68,-0.16,-0.68,,,,,,-2.52,-4.26,-1.05,-3.57,-0.225,-0.319
9,2019,KIA,28,LF,3,0,3.2,2,2,0,0,100.0,4.91,0.43,,0.00,,,,,,0.44,1.66,-0.01,0.43,0.045,0.044
10,2019,KIA,28,CF,7,2,18.2,5,5,0,0,100.0,2.41,0.28,0.07,0.02,,,,,,0.37,1.42,0.00,0.37,0.039,0.039
11,2019,KIA,28,RF,25,9,104.0,25,24,1,0,100.0,2.16,-2.76,0.92,0.18,,,,,,-1.66,-6.29,-0.37,-2.03,-0.171,-0.209
12,2020,키움,29,LF,46,23,208.2,53,51,1,1,98.1,2.24,1.34,-0.87,-0.25,,,,,,0.22,0.25,-0.86,-0.64,0.021,-0.060
13,2020,키움,29,CF,90,78,632.0,174,169,4,1,99.4,2.46,-1.88,0.27,0.17,,,,,,-1.44,-1.62,0.00,-1.44,-0.135,-0.135
14,2020,키움,29,RF,26,11,124.2,31,27,1,3,90.3,2.02,-0.73,-0.19,-0.86,,,,,,-1.78,-2.00,-0.54,-2.32,-0.167,-0.218
15,2021,키움,30,LF,5,3,20.0,8,8,0,0,100.0,3.60,0.40,0.12,0.02,,,,,,0.54,2.86,-0.07,0.47,0.053,0.046
16,2021,키움,30,CF,10,4,45.0,14,14,0,0,100.0,2.80,-1.75,0.06,0.05,,,,,,-1.64,-8.73,0.00,-1.64,-0.162,-0.162
17,2021,키움,30,RF,16,6,71.0,17,17,0,0,100.0,2.15,-1.35,-0.25,0.10,,,,,,-1.50,-8.02,-0.32,-1.82,-0.149,-0.181
18,2022,키움,31,LF,17,3,62.2,11,11,0,0,100.0,1.58,-0.60,0.27,0.09,,,,,,-0.24,-0.66,-0.25,-0.49,-0.025,-0.050
19,2022,키움,31,CF,12,4,41.0,13,13,0,0,100.0,2.85,-1.20,-0.34,0.06,,,,,,-1.49,-4.11,0.00,-1.49,-0.153,-0.153
20,2022,키움,31,RF,25,7,102.2,19,19,0,0,100.0,1.67,-0.06,0.30,0.18,,,,,,0.42,1.16,-0.41,0.01,0.043,0.001
21,2023,키움,32,LF,4,0,7.2,2,1,0,1,50.0,1.17,-0.55,-0.54,0.01,,,,,,-1.08,-11.15,-0.01,-1.09,-0.111,-0.112
22,2023,키움,32,CF,1,0,1.0,0,0,0,0,,0.00,0.00,,0.00,,,,,,0.00,0.00,,,0.000,
23,2023,키움,32,RF,8,4,41.0,6,6,0,0,100.0,1.32,-0.52,-0.21,0.08,,,,,,-0.65,-6.65,-0.14,-0.79,-0.066,-0.080
