,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2013,KIA,24,C,22,13,105.0,90,85,4,1,98.9,7.63,-0.04,,-0.08,,-0.32,-1.47,-1.00,-0.22,-3.12,-17.29,1.18,-1.95,-0.314,-0.196
1,2014,KIA,25,C,46,14,197.0,165,151,12,2,98.8,7.45,-0.87,,0.41,,-0.01,0.73,-7.76,,-5.17,-15.83,1.90,-3.27,-0.457,-0.289
2,2015,KIA,26,C,61,42,375.2,330,299,28,3,99.1,7.83,-0.28,,-0.19,,0.01,0.48,0.53,,0.39,0.86,3.94,4.33,0.036,0.400
3,2016,KIA,27,C,74,48,426.1,338,297,35,6,98.2,7.01,-0.48,,-0.99,,0.03,3.31,3.09,,4.03,7.25,4.39,8.42,0.357,0.747
4,2017,KIA,28,C,11,2,28.0,23,22,1,0,100.0,7.39,0.00,,0.09,,-0.06,,0.24,,0.19,1.84,0.24,0.43,0.018,0.040
5,2018,KIA,29,C,28,12,119.1,95,85,8,2,97.9,7.01,-0.20,,-0.60,,,-0.01,1.00,,-0.11,-0.47,1.15,1.04,-0.010,0.093
6,2019,KIA,30,C,20,11,104.1,96,84,10,2,97.9,8.11,-0.16,,-0.67,,0.01,0.62,1.16,,0.62,3.18,0.98,1.60,0.064,0.165
7,2020,KIA,31,C,38,20,199.0,169,158,8,3,98.2,7.51,-0.21,,-0.89,,,0.02,-0.14,,-1.18,-3.26,2.02,0.84,-0.111,0.079
8,2021,KIA,32,1B,1,0,3.0,1,1,0,0,100.0,3.00,,,0.00,,,,,,0.00,0.01,-0.04,-0.04,0.000,-0.004
9,2021,한화,32,C,23,18,157.2,155,143,11,1,99.4,8.79,0.02,,0.01,,-0.04,-2.08,-0.30,,-2.31,-8.54,1.68,-0.63,-0.229,-0.063
10,2021,한화,32,1B,1,1,7.0,5,5,0,0,100.0,6.43,-0.21,,0.01,,,,,,-0.21,-0.77,-0.06,-0.27,-0.021,-0.027
11,2022,한화,33,C,1,0,3.0,4,4,0,0,100.0,12.00,0.00,,0.01,,,,0.08,,0.06,2.32,0.05,0.11,0.007,0.012
