,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2020,LG,26,1B,3,0,4.1,4,4,0,0,100.0,8.31,0.13,,0.0,,,,,,0.13,0.84,-0.04,0.09,0.013,0.009
1,1,1,2020,LG,26,2B,1,0,3.0,0,0,0,0,,0.0,-0.15,,0.0,,,,,,-0.15,-0.92,0.01,-0.14,-0.014,-0.013
2,2,2,2020,LG,26,3B,12,8,62.0,12,2,8,2,83.3,1.45,-1.52,,0.04,-1.02,,,,,-2.5,-15.67,0.0,-2.5,-0.235,-0.235
3,3,3,2020,LG,26,SS,2,0,4.0,2,0,2,0,100.0,4.5,-1.11,,0.01,-0.34,,,,,-1.44,-9.0,,,-0.135,
4,4,4,2021,LG,27,3B,2,1,9.0,1,0,0,1,0.0,0.0,-0.83,,0.01,,,,,,-0.82,-14.74,0.0,-0.82,-0.081,-0.081
5,5,5,2021,LG,27,SS,6,1,22.2,13,4,8,1,92.3,4.76,-0.48,,-0.46,-0.26,,,,,-1.21,-21.74,0.14,-1.07,-0.12,-0.106
6,6,6,2022,LG,28,1B,2,0,4.0,6,5,1,0,100.0,13.5,0.45,,0.0,,,,,,0.46,1.83,-0.02,0.44,0.047,0.045
7,7,7,2022,LG,28,2B,20,19,146.0,81,35,41,5,93.8,4.68,-2.73,,-0.31,-0.33,,,,,-3.37,-13.49,0.62,-2.75,-0.348,-0.284
8,8,8,2022,LG,28,3B,3,0,6.0,2,0,2,0,100.0,3.0,0.61,,0.01,,,,,,0.61,2.44,0.0,0.61,0.063,0.063
9,9,9,2022,LG,28,SS,13,3,37.0,21,6,15,0,100.0,5.11,-0.84,,0.06,0.12,,,,,-0.66,-2.66,0.28,-0.38,-0.069,-0.04
10,10,10,2023,LG,29,1B,5,0,6.0,4,4,0,0,100.0,6.0,-0.6,,0.01,,,,,,-0.59,-3.15,,,-0.06,
11,11,11,2023,LG,29,2B,7,2,29.0,15,5,10,0,100.0,4.66,1.18,,0.08,0.0,,,,,1.26,6.71,0.1,1.36,0.128,0.139
12,12,12,2023,LG,29,3B,2,1,5.0,4,1,2,1,75.0,5.4,-0.85,,0.01,,,,,,-0.84,-4.48,0.0,-0.84,-0.086,-0.086
13,13,13,2023,LG,29,SS,13,7,66.2,41,19,18,4,90.2,5.0,-1.79,,-0.34,0.95,,,,,-1.18,-6.29,0.58,-0.6,-0.12,-0.061
14,14,14,2024,롯데,30,2B,20,15,110.1,58,24,34,0,100.0,4.73,-0.97,,0.67,0.64,,,,,0.34,0.48,0.52,0.86,0.031,0.078
15,15,15,2024,롯데,30,3B,79,74,637.2,186,58,116,12,93.5,2.46,-1.34,,-1.64,-1.12,-0.14,,,,-4.25,-6.0,0.0,-4.25,-0.388,-0.388
16,16,16,2024,롯데,30,SS,6,4,39.0,18,8,9,1,94.4,3.92,-2.23,,-0.16,-0.38,,,,,-2.76,-3.9,0.38,-2.38,-0.252,-0.217
17,17,17,2024,LG,30,3B,1,0,3.0,1,0,0,1,0.0,0.0,-0.8,,-0.48,,,,,,-1.28,-1.81,0.0,-1.28,-0.117,-0.117
