,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2012,롯데,23,SS,50,,,,,,1,,,-0.86,,,,,,,,-0.86,-2.49,,,-0.091,
1,1,1,2013,롯데,24,2B,2,0.0,2.1,1.0,0.0,1.0,0,100.0,3.86,0.12,,0.0,,,,,,0.12,0.18,,,0.012,
2,2,2,2013,롯데,24,3B,11,2.0,30.2,15.0,6.0,9.0,0,100.0,4.4,2.11,,0.03,0.24,-0.7,,,,1.68,2.44,0.0,1.68,0.169,0.169
3,3,3,2013,롯데,24,SS,95,75.0,653.0,352.0,126.0,216.0,10,97.2,4.71,7.61,,0.02,-1.35,,,,,6.27,9.12,5.34,11.61,0.63,1.167
4,4,4,2014,롯데,25,3B,6,0.0,8.2,2.0,0.0,2.0,0,100.0,2.08,-0.99,,0.01,,-0.37,,,,-1.34,-3.07,0.0,-1.34,-0.119,-0.119
5,5,5,2014,롯데,25,SS,55,30.0,304.1,168.0,60.0,104.0,4,97.6,4.85,-1.14,,0.02,1.95,,,,,0.84,1.91,2.4,3.24,0.074,0.286
6,6,6,2016,롯데,27,2B,1,0.0,1.0,0.0,0.0,0.0,0,,0.0,0.0,,0.0,,,,,,0.0,-0.02,,,0.0,
7,7,7,2016,롯데,27,SS,25,24.0,204.1,88.0,38.0,48.0,2,97.7,3.79,-1.34,,0.3,-0.77,,,,,-1.8,-10.39,2.08,0.28,-0.16,0.024
8,8,8,2017,롯데,28,2B,2,0.0,2.0,3.0,1.0,2.0,0,100.0,13.5,0.27,,0.0,,,,,,0.27,0.3,,,0.025,
9,9,9,2017,롯데,28,3B,53,27.0,294.0,83.0,23.0,56.0,4,95.2,2.42,2.3,,0.23,-0.47,-0.26,,,,1.81,2.04,0.0,1.81,0.166,0.166
10,10,10,2017,롯데,28,SS,92,71.0,608.0,281.0,76.0,199.0,6,97.9,4.07,1.57,,0.43,1.79,,,,,3.79,4.27,5.12,8.91,0.348,0.818
11,11,11,2018,롯데,29,2B,23,10.0,102.2,61.0,28.0,32.0,1,98.4,5.26,-0.34,,0.14,0.36,,,,,0.17,0.17,0.47,0.64,0.015,0.057
12,12,12,2018,롯데,29,3B,73,52.0,434.0,118.0,31.0,79.0,8,93.2,2.28,-2.9,,-0.09,0.83,0.46,,,,-1.71,-1.78,0.0,-1.71,-0.153,-0.153
13,13,13,2018,롯데,29,SS,83,59.0,522.2,258.0,81.0,166.0,11,95.7,4.25,-1.15,,0.49,-1.06,,,,,-1.72,-1.78,4.56,2.84,-0.153,0.254
14,14,14,2019,롯데,30,2B,4,1.0,21.0,11.0,3.0,8.0,0,100.0,4.71,0.39,,0.03,0.27,,,,,0.69,0.82,0.08,0.77,0.071,0.079
15,15,15,2019,롯데,30,3B,3,2.0,15.0,2.0,1.0,1.0,0,100.0,1.2,-0.44,,0.01,0.41,-0.22,,,,-0.23,-0.27,0.0,-0.23,-0.024,-0.024
16,16,16,2019,롯데,30,SS,118,108.0,906.2,448.0,161.0,272.0,15,96.7,4.3,0.29,,-1.21,-1.06,,,,,-1.98,-2.36,7.94,5.96,-0.204,0.613
