,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2015,LG,24,1B,59,38,363.0,415,383,27,5,98.8,10.17,1.55,,-0.51,,0.33,,,,1.37,1.58,-3.3,-1.93,0.127,-0.179
1,2015,LG,24,2B,1,0,1.0,0,0,0,0,,0.0,-0.19,,0.0,,,,,,-0.19,-0.22,,,-0.018,
2,2015,LG,24,3B,66,51,447.2,119,28,86,5,95.8,2.29,-5.86,,-0.46,-0.56,-0.39,,,,-7.28,-8.38,0.0,-7.28,-0.673,-0.673
3,2015,LG,24,SS,1,0,1.0,1,0,1,0,100.0,9.0,0.19,,0.0,,,,,,0.19,0.22,,,0.018,
4,2016,LG,25,1B,59,32,340.0,355,331,20,4,98.9,9.29,5.38,,-0.59,,-0.08,,,,4.71,8.48,-2.96,1.75,0.418,0.155
5,2016,LG,25,3B,25,13,135.1,42,9,32,1,97.6,2.73,1.74,,-0.34,-0.49,0.19,,,,1.1,1.99,0.0,1.1,0.098,0.098
6,2017,LG,26,1B,55,39,365.1,406,370,36,0,100.0,10.0,5.54,,0.29,,-0.3,,,,5.53,6.03,-3.3,2.23,0.508,0.205
7,2017,LG,26,3B,86,75,641.1,181,55,118,8,95.6,2.43,-1.87,,0.51,0.31,-0.06,,,,-1.12,-1.22,0.0,-1.12,-0.103,-0.103
8,2017,LG,26,SS,2,0,2.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.0,0.02,0.02,0.0,0.002
9,2018,LG,27,1B,29,22,187.1,169,150,16,3,98.2,7.98,-1.24,,0.19,,0.03,,,,-1.02,-1.05,-1.58,-2.6,-0.091,-0.232
10,2018,LG,27,3B,113,109,882.0,255,72,172,11,95.7,2.49,0.57,,-0.17,-1.93,-0.48,,,,-2.02,-2.08,0.0,-2.02,-0.18,-0.18
11,2020,LG,29,1B,19,16,128.1,134,121,13,0,100.0,9.4,2.67,,0.11,,0.06,,,,2.84,10.22,-1.1,1.74,0.267,0.164
12,2020,LG,29,3B,24,21,164.2,36,8,24,4,88.9,1.75,-2.68,,0.1,-1.01,0.12,,,,-3.46,-12.47,0.0,-3.46,-0.326,-0.326
13,2021,두산,30,1B,127,125,1014.1,920,854,58,8,99.1,8.09,-5.02,,0.34,,0.34,,,,-4.34,-4.7,-10.5,-14.84,-0.431,-1.472
14,2022,두산,31,1B,85,83,685.0,694,629,55,10,98.6,8.99,-4.42,,0.03,,-0.22,,,,-4.61,-6.21,-6.94,-11.55,-0.476,-1.191
15,2023,두산,32,1B,111,111,920.2,859,785,64,10,98.8,8.3,4.03,,0.18,,-0.18,,,,4.03,4.15,-9.12,-5.09,0.411,-0.519
16,2024,두산,33,1B,131,130,1118.0,1038,943,85,10,99.0,8.28,2.55,,0.51,,0.21,,,,3.27,3.32,-11.06,-7.79,0.299,-0.711
