,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2015,롯데,23,1B,11,3,36.1,36,34,2,0,100.0,8.92,0.7,,0.05,,-0.86,,,,-0.11,-0.53,-0.24,-0.35,-0.01,-0.032
1,1,1,2015,롯데,23,2B,11,2,41.0,20,12,8,0,100.0,4.39,0.78,,0.07,-0.5,,,,,0.34,1.71,0.17,0.51,0.032,0.048
2,2,2,2015,롯데,23,3B,1,0,1.0,1,0,1,0,100.0,9.0,0.66,,0.0,,,,,,0.66,3.28,0.0,0.66,0.061,0.061
3,3,3,2018,롯데,26,1B,1,0,1.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.01,,,0.0,
4,4,4,2018,롯데,26,3B,4,2,22.0,4,2,2,0,100.0,1.64,-0.6,,0.02,,,,,,-0.58,-6.39,0.0,-0.58,-0.051,-0.051
5,5,5,2019,롯데,27,1B,55,26,291.0,257,231,23,3,98.8,7.86,-4.36,,-0.21,,0.14,,,,-4.43,-8.39,-2.6,-7.03,-0.455,-0.723
6,6,6,2019,롯데,27,2B,30,24,176.1,105,44,60,1,99.0,5.31,1.94,,0.25,0.29,,,,,2.48,4.71,0.84,3.32,0.255,0.342
7,7,7,2019,롯데,27,3B,5,1,15.1,7,3,3,1,85.7,3.52,0.36,,0.01,,0.12,,,,0.49,0.93,0.0,0.49,0.051,0.051
8,8,8,2020,롯데,28,1B,24,6,80.1,94,86,6,2,97.9,10.31,0.79,,0.07,,,,,,0.86,1.97,-0.64,0.22,0.081,0.021
9,9,9,2020,롯데,28,2B,31,27,224.1,113,52,57,4,96.5,4.37,-2.08,,0.21,-0.43,,,,,-2.3,-5.26,1.17,-1.13,-0.216,-0.106
10,10,10,2020,롯데,28,3B,8,8,57.0,9,2,6,1,88.9,1.26,-1.61,,0.03,0.14,,,,,-1.43,-3.28,0.0,-1.43,-0.135,-0.135
11,11,11,2021,롯데,29,P,1,0,0.2,0,0,0,0,,0.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0
12,12,12,2021,롯데,29,1B,16,10,92.0,92,84,7,1,98.9,8.9,-1.74,,0.08,,,,,,-1.67,-2.48,-0.86,-2.53,-0.165,-0.251
13,13,13,2021,롯데,29,2B,8,5,51.0,27,9,17,1,96.3,4.59,-0.89,,0.06,0.28,,,,,-0.54,-0.8,0.22,-0.32,-0.054,-0.032
14,14,14,2021,롯데,29,3B,2,0,5.0,0,0,0,0,,0.0,-0.03,,0.0,,,,,,-0.03,-0.04,0.0,-0.03,-0.003,-0.003
15,15,15,2021,KT,29,1B,25,7,79.2,74,66,8,0,100.0,8.36,1.72,,0.07,,0.38,,,,2.16,3.21,-0.6,1.56,0.214,0.155
16,16,16,2021,KT,29,2B,42,23,207.0,120,35,85,0,100.0,5.22,3.39,,0.26,0.92,,,,,4.57,6.78,0.81,5.38,0.453,0.533
17,17,17,2021,KT,29,3B,3,0,5.0,3,0,3,0,100.0,5.4,0.59,,0.0,-0.02,,,,,0.57,0.85,,,0.057,
18,18,18,2021,KT,29,SS,1,0,1.0,0,0,0,0,,0.0,-0.04,,0.0,,,,,,-0.04,-0.06,,,-0.004,
19,19,19,2022,KT,30,1B,39,11,152.2,145,130,14,1,99.3,8.49,2.23,,0.11,,0.14,,,,2.48,3.19,-1.1,1.38,0.256,0.142
20,20,20,2022,KT,30,2B,85,75,594.2,362,133,221,8,97.8,5.36,3.98,,-0.27,0.31,,,,,4.02,5.16,2.69,6.71,0.414,0.691
21,21,21,2022,KT,30,3B,2,0,2.0,0,0,0,0,,0.0,0.0,,0.0,,,,,,0.0,0.0,,,0.0,
22,22,22,2022,KT,30,SS,1,0,4.0,3,1,1,1,66.7,4.5,-0.91,,0.01,0.0,,,,,-0.9,-1.16,0.02,-0.88,-0.093,-0.091
23,23,23,2023,KT,31,1B,52,34,308.2,308,276,32,0,100.0,8.98,2.14,,0.56,,0.06,,,,2.76,4.85,-2.58,0.18,0.281,0.018
24,24,24,2023,KT,31,2B,28,23,176.0,95,33,60,2,97.9,4.76,-0.96,,0.47,-1.1,,,,,-1.59,-2.79,0.81,-0.78,-0.162,-0.079
25,25,25,2023,KT,31,3B,7,0,11.2,3,0,3,0,100.0,2.31,0.84,,0.03,,,,,,0.87,1.53,0.0,0.87,0.089,0.089
26,26,26,2024,KT,32,1B,5,0,7.0,5,5,0,0,100.0,6.43,0.17,,0.03,,,,,,0.21,0.41,-0.04,0.17,0.019,0.015
27,27,27,2024,KT,32,2B,64,47,422.0,218,76,140,2,99.1,4.61,2.44,,1.55,0.23,,,,,4.21,8.31,1.84,6.05,0.385,0.553
28,28,28,2024,KT,32,3B,8,1,25.0,3,0,2,1,66.7,0.72,-1.21,,-0.33,,0.07,,,,-1.47,-2.91,0.0,-1.47,-0.135,-0.135
