,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2005,현대,19,1B,1,,,,,,0,,,0.0,,,,,,,,0.0,0.67,,,0.0,
1,2009,키움,23,1B,43,,,,,,1,,,0.1,,,,,,,,0.1,0.35,,,0.01,
2,2010,키움,24,1B,39,,,,,,1,,,0.14,,,,,,,,0.14,0.51,,,0.013,
3,2011,키움,25,1B,46,,,,,,3,,,0.58,,,,,,,,0.58,1.83,,,0.058,
4,2012,두산,26,1B,33,,,,,,0,,,0.5,,,,,,,,0.5,0.82,,,0.052,
5,2012,키움,26,1B,54,,,,,,0,,,1.1,,,,,,,,1.1,1.83,,,0.116,
6,2013,두산,27,1B,45,27.0,267.0,278.0,260.0,17.0,1,99.6,9.34,-1.31,,0.3,,0.31,,,,-0.71,-1.85,-2.48,-3.19,-0.071,-0.32
7,2014,두산,28,1B,59,26.0,306.2,297.0,272.0,21.0,4,98.7,8.6,1.56,,-0.67,,0.04,,,,0.92,1.77,-2.64,-1.72,0.082,-0.152
8,2015,두산,29,1B,64,50.0,449.1,474.0,444.0,27.0,3,99.4,9.43,-4.57,,-0.39,,-0.07,,,,-5.03,-10.98,-4.14,-9.17,-0.466,-0.849
9,2016,두산,30,1B,102,96.0,853.0,902.0,840.0,55.0,7,99.2,9.44,4.27,,0.53,,0.19,,,,5.0,6.85,-8.78,-3.78,0.443,-0.335
10,2017,두산,31,1B,107,90.0,809.0,828.0,781.0,42.0,5,99.4,9.16,1.92,,-0.37,,0.39,,,,1.94,2.18,-7.8,-5.86,0.178,-0.538
11,2018,두산,32,1B,115,107.0,939.2,934.0,877.0,53.0,4,99.6,8.91,4.25,,0.46,,0.1,,,,4.82,5.64,-9.2,-4.38,0.43,-0.391
12,2019,두산,33,1B,126,119.0,1044.0,1111.0,1031.0,76.0,4,99.6,9.54,4.27,,1.01,,-0.21,,,,5.06,5.61,-10.36,-5.3,0.52,-0.545
13,2020,두산,34,1B,115,110.0,927.1,872.0,833.0,36.0,3,99.7,8.43,-4.36,,0.31,,-0.03,,,,-4.08,-4.63,-9.66,-13.74,-0.384,-1.292
14,2021,삼성,35,1B,117,113.0,936.0,918.0,864.0,52.0,2,99.8,8.81,3.34,,0.78,,-0.36,,,,3.75,4.5,-9.32,-5.57,0.372,-0.552
15,2022,삼성,36,1B,119,112.0,949.0,963.0,881.0,77.0,5,99.5,9.09,-1.05,,0.71,,-0.16,,,,-0.5,-0.53,-9.32,-9.82,-0.051,-1.012
16,2023,삼성,37,1B,88,80.0,700.0,717.0,656.0,53.0,8,98.9,9.12,4.85,,0.28,,0.64,,,,5.77,7.84,-6.52,-0.75,0.588,-0.077
17,2024,삼성,38,1B,12,11.0,84.2,86.0,77.0,9.0,0,100.0,9.14,-0.76,,0.42,,,,,,-0.34,-0.47,-0.78,-1.12,-0.031,-0.102
18,2024,KT,38,1B,55,43.0,406.1,360.0,339.0,18.0,3,99.2,7.91,-4.5,,0.5,,-0.42,,,,-4.41,-6.05,-4.16,-8.57,-0.403,-0.783
