,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2011,롯데,20,LF,1,,,,,,0,,,-0.02,,,,,,,,-0.02,-2.42,,,-0.002,
1,1,1,2014,롯데,23,1B,1,0.0,1.0,1.0,1.0,0.0,0,100.0,9.0,-0.51,,0.0,,0.35,,,,-0.15,-0.39,,,-0.014,
2,2,2,2014,롯데,23,2B,2,1.0,11.0,4.0,2.0,2.0,0,100.0,3.27,0.27,,0.01,,,,,,0.28,0.7,0.05,0.33,0.025,0.029
3,3,3,2014,롯데,23,3B,7,1.0,16.0,7.0,2.0,5.0,0,100.0,3.94,0.72,,0.02,-0.22,0.12,,,,0.64,1.61,0.0,0.64,0.056,0.056
4,4,4,2014,롯데,23,SS,26,5.0,79.0,38.0,11.0,24.0,3,92.1,3.99,-1.87,,-0.37,-0.84,,,,,-3.09,-7.81,0.6,-2.49,-0.273,-0.22
5,5,5,2015,롯데,24,1B,42,19.0,202.2,231.0,213.0,13.0,5,97.8,10.04,-4.12,,0.28,,0.35,,,,-3.49,-4.12,-1.74,-5.23,-0.323,-0.484
6,6,6,2015,롯데,24,2B,21,8.0,93.2,52.0,23.0,29.0,0,100.0,5.0,1.82,,0.17,-0.01,,,,,1.97,2.32,0.38,2.35,0.182,0.217
7,7,7,2015,롯데,24,3B,24,14.0,125.0,38.0,14.0,24.0,0,100.0,2.74,0.98,,0.15,0.84,-0.26,,,,1.71,2.02,0.0,1.71,0.159,0.159
8,8,8,2015,롯데,24,SS,62,42.0,340.1,170.0,41.0,118.0,11,93.5,4.2,-4.09,,0.19,-0.3,,,,,-4.19,-4.95,3.16,-1.03,-0.388,-0.096
9,9,9,2016,롯데,25,1B,4,4.0,33.0,37.0,31.0,6.0,0,100.0,10.09,-0.76,,0.04,,-0.27,,,,-0.98,-3.37,-0.32,-1.3,-0.087,-0.116
