,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2008,SSG,21,RF,6,,,,,,0,,,-0.12,,,,,,,,-0.12,-2.9,,,-0.012,
1,1,1,2009,SSG,22,RF,4,,,,,,0,,,-0.02,,,,,,,,-0.02,-0.59,,,-0.001,
2,2,2,2010,SSG,23,LF,4,,,,,,0,,,0.02,,,,,,,,0.02,0.84,,,0.002,
3,3,3,2013,SSG,26,LF,18,14.0,126.0,30.0,27.0,2.0,1,96.7,2.07,-1.42,0.28,-0.29,,,,,,-1.42,-7.89,-0.67,-2.09,-0.143,-0.21
4,4,4,2013,SSG,26,CF,7,6.0,49.2,14.0,14.0,0.0,0,100.0,2.54,1.84,-0.25,0.08,,,,,,1.67,9.23,0.0,1.67,0.167,0.167
5,5,5,2013,SSG,26,RF,6,4.0,29.0,10.0,9.0,1.0,0,100.0,3.1,0.24,-0.34,0.04,,,,,,-0.06,-0.33,-0.15,-0.21,-0.006,-0.021
6,6,6,2014,SSG,27,LF,43,40.0,295.0,70.0,66.0,1.0,3,95.7,2.04,1.93,-0.6,-0.57,,,,,,0.77,1.34,-1.69,-0.92,0.068,-0.081
7,7,7,2014,SSG,27,CF,2,1.0,10.0,4.0,4.0,0.0,0,100.0,3.6,-0.31,-0.14,0.01,,,,,,-0.43,-0.75,0.0,-0.43,-0.038,-0.038
8,8,8,2015,SSG,28,LF,119,114.0,929.2,185.0,182.0,1.0,2,98.9,1.77,-3.75,-0.84,0.24,,,,,,-4.36,-4.58,-5.03,-9.39,-0.403,-0.869
9,9,9,2015,SSG,28,RF,1,0.0,1.0,0.0,0.0,0.0,0,,0.0,-0.01,,0.0,,,,,,0.0,0.0,-0.01,-0.01,0.0,-0.001
10,10,10,2016,SSG,29,LF,87,66.0,592.2,154.0,145.0,5.0,4,97.4,2.28,6.46,-1.22,-0.44,,,,,,4.8,6.98,-2.91,1.89,0.425,0.167
11,11,11,2016,SSG,29,RF,1,0.0,2.0,0.0,0.0,0.0,0,,0.0,-0.1,-0.37,0.0,,,,,,-0.47,-0.69,-0.01,-0.48,-0.042,-0.043
12,12,12,2017,KIA,30,LF,42,6.0,106.1,30.0,29.0,1.0,0,100.0,2.54,1.99,0.11,0.27,,,,,,2.37,2.97,-0.46,1.91,0.218,0.175
13,13,13,2017,KIA,30,CF,10,4.0,32.0,9.0,9.0,0.0,0,100.0,2.53,0.26,-0.15,0.03,,,,,,0.13,0.17,0.0,0.13,0.012,0.012
14,14,14,2017,KIA,30,RF,103,95.0,759.0,207.0,198.0,4.0,5,97.6,2.4,3.57,0.03,-0.73,,,,,,2.86,3.59,-4.39,-1.53,0.263,-0.14
15,15,15,2018,KIA,31,LF,52,20.0,222.1,51.0,49.0,2.0,0,100.0,2.06,1.59,-0.04,0.36,,,,,,1.92,2.3,-0.96,0.96,0.171,0.085
16,16,16,2018,KIA,31,CF,3,0.0,3.1,0.0,0.0,0.0,0,,0.0,-0.78,0.17,0.0,,,,,,-0.61,-0.73,0.0,-0.61,-0.054,-0.054
17,17,17,2018,KIA,31,RF,99,93.0,743.2,187.0,181.0,4.0,2,98.9,2.24,6.44,-1.45,-0.01,,,,,,4.98,5.97,-4.03,0.95,0.444,0.085
18,18,18,2019,KIA,32,LF,19,10.0,98.1,22.0,22.0,0.0,0,100.0,2.01,1.69,-0.89,0.09,,,,,,0.9,0.93,-0.47,0.43,0.092,0.044
