,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2013,NC,24,1B,3,0,7.0,7,5,1,1,85.7,7.71,-0.04,,-0.47,,,,,,-0.51,-0.72,-0.08,-0.59,-0.051,-0.059
1,1,1,2013,NC,24,2B,39,17,185.0,113,49,61,3,97.3,5.35,-5.17,,-0.22,0.09,,,,,-5.3,-7.41,0.77,-4.53,-0.532,-0.455
2,2,2,2013,NC,24,3B,3,0,8.0,0,0,0,0,,0.0,-1.33,,0.01,,,,,,-1.32,-1.85,0.0,-1.32,-0.133,-0.133
3,3,3,2013,NC,24,SS,26,13,123.1,54,18,35,1,98.1,3.87,-1.21,,0.18,-0.87,,,,,-1.89,-2.65,0.96,-0.93,-0.19,-0.094
4,4,4,2014,NC,25,1B,2,0,3.0,2,2,0,0,100.0,6.0,-0.74,,0.0,,,,,,-0.74,-1.11,-0.02,-0.76,-0.065,-0.067
5,5,5,2014,NC,25,2B,22,1,50.1,17,7,10,0,100.0,3.04,0.14,,0.06,-0.19,,,,,0.01,0.01,0.15,0.16,0.001,0.014
6,6,6,2014,NC,25,3B,26,1,56.2,15,3,11,1,93.3,2.22,0.81,,-0.46,0.07,0.12,,,,0.54,0.82,0.0,0.54,0.048,0.048
7,7,7,2014,NC,25,SS,14,1,31.1,9,3,6,0,100.0,2.59,-0.28,,0.06,0.65,,,,,0.43,0.65,0.16,0.59,0.038,0.052
8,8,8,2016,NC,27,1B,1,0,4.0,5,5,0,0,100.0,11.25,-0.01,,0.0,,,,,,0.0,0.0,-0.04,-0.04,0.0,-0.004
9,9,9,2016,NC,27,2B,7,3,29.0,12,3,8,1,91.7,3.41,0.49,,0.04,,,,,,0.53,5.04,0.15,0.68,0.047,0.06
10,10,10,2016,NC,27,3B,1,0,3.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.04,0.0,0.0,0.0,0.0
11,11,11,2016,NC,27,SS,8,2,24.0,8,3,5,0,100.0,3.0,0.58,,0.04,-0.28,,,,,0.33,3.18,0.16,0.49,0.029,0.044
12,12,12,2017,NC,28,1B,3,0,5.0,7,7,0,0,100.0,12.6,-0.21,,0.0,,,,,,-0.2,-0.31,-0.02,-0.22,-0.019,-0.02
13,13,13,2017,NC,28,2B,55,31,316.2,171,67,98,6,96.5,4.69,-4.11,,0.31,0.21,,,,,-3.59,-5.45,1.56,-2.03,-0.33,-0.187
14,14,14,2017,NC,28,3B,13,6,57.0,8,2,5,1,87.5,1.11,-1.23,,-0.46,-0.32,0.15,,,,-1.87,-2.83,0.0,-1.87,-0.171,-0.171
15,15,15,2017,NC,28,SS,14,3,44.0,8,2,5,1,87.5,1.43,-1.06,,-0.44,-0.43,,,,,-1.92,-2.92,0.38,-1.54,-0.177,-0.142
16,16,16,2018,NC,29,1B,5,0,14.1,13,13,0,0,100.0,8.16,-0.24,,0.01,,,,,,-0.23,-0.29,-0.1,-0.33,-0.02,-0.029
17,17,17,2018,NC,29,2B,49,26,253.1,136,66,68,2,98.5,4.76,-0.55,,0.34,0.56,,,,,0.35,0.44,1.23,1.58,0.031,0.141
18,18,18,2018,NC,29,3B,22,6,81.1,22,7,15,0,100.0,2.43,-1.01,,0.08,-0.5,0.01,,,,-1.42,-1.79,0.0,-1.42,-0.127,-0.127
19,19,19,2018,NC,29,SS,2,0,8.0,5,2,3,0,100.0,5.63,-0.99,,0.02,0.29,,,,,-0.69,-0.87,0.06,-0.63,-0.062,-0.056
20,20,20,2018,NC,29,LF,1,1,3.0,0,0,0,0,,0.0,-0.23,0.27,0.0,,,,,,0.04,0.06,-0.02,0.02,0.004,0.002
21,21,21,2019,NC,30,1B,38,17,181.1,192,173,17,2,99.0,9.43,1.45,,0.18,,,,,,1.62,2.29,-1.52,0.1,0.167,0.011
22,22,22,2019,NC,30,2B,35,19,190.2,102,49,52,1,99.0,4.77,-3.37,,0.27,1.2,,,,,-1.9,-2.68,0.9,-1.0,-0.195,-0.102
23,23,23,2019,NC,30,3B,22,15,130.0,40,10,28,2,95.0,2.63,-1.18,,0.12,0.38,-0.13,,,,-0.82,-1.15,0.0,-0.82,-0.084,-0.084
24,24,24,2019,NC,30,LF,1,0,1.0,0,0,0,0,,0.0,-0.34,,0.0,,,,,,-0.34,-0.48,,,-0.035,
25,25,25,2019,NC,30,CF,7,2,20.0,5,5,0,0,100.0,2.25,-0.83,-0.45,0.03,,,,,,-1.25,-1.77,0.0,-1.25,-0.129,-0.129
26,26,26,2020,NC,31,1B,37,1,67.2,79,75,3,1,98.7,10.37,0.58,,0.06,,,,,,0.64,1.12,-0.28,0.36,0.06,0.034
27,27,27,2020,NC,31,2B,25,4,79.0,41,18,23,0,100.0,4.67,0.64,,0.07,-0.29,,,,,0.42,0.74,0.25,0.67,0.04,0.063
28,28,28,2020,NC,31,3B,26,4,57.2,10,3,7,0,100.0,1.56,-1.06,,0.03,0.25,,,,,-0.78,-1.37,0.0,-0.78,-0.073,-0.073
29,29,29,2020,NC,31,SS,1,0,2.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.01,0.02,0.02,0.0,0.002
30,30,30,2021,LG,32,1B,4,3,26.0,26,23,1,2,92.3,8.31,-1.67,,0.02,,0.31,,,,-1.34,-4.3,-0.24,-1.58,-0.133,-0.157
31,31,31,2021,LG,32,2B,26,8,97.0,54,21,33,0,100.0,5.01,-0.79,,0.12,0.22,,,,,-0.45,-1.43,0.34,-0.11,-0.044,-0.011
32,32,32,2021,LG,32,3B,12,3,50.0,15,3,12,0,100.0,2.7,1.86,,0.04,-0.38,,,,,1.52,4.88,0.0,1.52,0.151,0.151
33,33,33,2021,LG,32,SS,1,1,7.0,3,1,2,0,100.0,3.86,-0.46,,0.01,-0.28,,,,,-0.73,-2.32,0.04,-0.69,-0.072,-0.068
34,34,34,2021,LG,32,LF,1,0,1.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.0,,,0.0,
35,35,35,2022,LG,33,1B,16,1,31.1,24,23,1,0,100.0,6.89,-1.18,,0.02,,,,,,-1.16,-2.78,-0.16,-1.32,-0.12,-0.136
36,36,36,2022,LG,33,2B,32,8,123.0,72,27,43,2,97.2,5.12,0.68,,-0.34,0.22,,,,,0.56,1.36,0.44,1.0,0.058,0.104
37,37,37,2022,LG,33,3B,5,2,18.1,11,3,7,1,90.9,4.91,0.91,,-0.47,-0.18,,,,,0.26,0.62,0.0,0.26,0.027,0.027
38,38,38,2022,LG,33,SS,9,0,16.0,13,4,8,1,92.3,6.75,-1.38,,0.03,-0.25,,,,,-1.6,-3.85,0.08,-1.52,-0.165,-0.157
39,39,39,2023,KT,34,1B,17,0,29.1,24,22,2,0,100.0,7.36,-1.96,,0.05,,,,,,-1.91,-4.36,-0.12,-2.03,-0.194,-0.207
40,40,40,2023,KT,34,2B,31,6,93.0,39,16,22,1,97.4,3.68,0.71,,0.25,,,,,,0.96,2.19,0.3,1.26,0.098,0.128
41,41,41,2023,KT,34,3B,11,4,46.1,16,6,10,0,100.0,3.11,0.92,,0.11,-0.23,,,,,0.8,1.83,0.0,0.8,0.082,0.082
42,42,42,2023,KT,34,SS,2,0,3.0,3,1,2,0,100.0,9.0,-0.65,,0.01,,,,,,-0.65,-1.48,0.04,-0.61,-0.066,-0.062
43,43,43,2023,KT,34,RF,2,0,2.0,0,0,0,0,,0.0,0.0,,0.0,,,,,,0.0,0.0,,,0.0,
