,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2014,두산,22,LF,1,0,5.0,3,3,0,0,100.0,5.4,0.6,,0.01,,,,,,0.61,21.89,-0.02,0.59,0.054,0.052
1,2014,두산,22,RF,4,0,13.2,4,3,0,1,75.0,1.98,-1.12,-0.33,-0.5,,,,,,-1.95,-70.16,-0.06,-2.01,-0.172,-0.178
2,2017,두산,25,LF,1,0,3.0,1,1,0,0,100.0,3.0,0.07,,0.01,,,,,,0.08,2.83,-0.02,0.06,0.007,0.005
3,2018,삼성,26,RF,3,1,13.0,3,3,0,0,100.0,2.08,-1.0,0.14,0.02,,,,,,-0.84,-13.39,-0.04,-0.88,-0.075,-0.078
4,2019,삼성,27,LF,2,1,9.0,2,2,0,0,100.0,2.0,-0.42,0.08,0.01,,,,,,-0.33,-3.68,-0.03,-0.36,-0.034,-0.037
5,2019,삼성,27,RF,5,4,31.0,12,11,1,0,100.0,3.48,0.75,0.58,0.05,,,,,,1.37,15.23,-0.13,1.24,0.141,0.128
6,2020,삼성,28,1B,24,15,120.1,117,107,8,2,98.3,8.6,1.83,,-0.41,,-0.14,,,,1.28,2.97,-1.14,0.14,0.12,0.013
7,2020,삼성,28,RF,14,3,45.1,14,12,2,0,100.0,2.78,-0.98,-0.44,0.06,,,,,,-1.35,-3.14,-0.19,-1.54,-0.127,-0.145
8,2021,삼성,29,1B,2,1,5.0,8,7,1,0,100.0,14.4,0.52,,0.0,,,,,,0.53,1.23,-0.04,0.49,0.052,0.048
9,2021,한화,29,1B,38,34,283.0,268,251,13,4,98.5,8.4,1.78,,-0.26,,0.06,,,,1.58,3.66,-2.74,-1.16,0.156,-0.115
10,2022,한화,30,1B,28,20,175.1,174,161,11,2,98.9,8.83,1.94,,0.13,,0.0,,,,2.07,7.25,-1.6,0.47,0.213,0.048
11,2023,한화,31,1B,1,0,3.0,3,3,0,0,100.0,9.0,-0.43,,0.01,,,,,,-0.42,-7.6,-0.02,-0.44,-0.043,-0.045
