,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2016,한화,20,LF,3,0,5.1,0,0,0,0,,0.0,-0.65,0.15,0.01,,,,,,-0.5,-4.19,,,-0.044,
1,2016,한화,20,CF,7,0,14.0,1,1,0,0,100.0,0.64,-0.16,0.13,0.02,,,,,,-0.01,-0.09,0.0,-0.01,-0.001,-0.001
2,2016,한화,20,RF,3,0,4.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.04,-0.01,-0.01,0.0,0.0
3,2017,한화,21,LF,14,4,52.0,13,12,1,0,100.0,2.25,1.37,0.13,0.13,,,,,,1.64,3.52,-0.19,1.45,0.15,0.133
4,2017,한화,21,CF,51,25,291.0,80,79,0,1,98.8,2.44,4.41,-0.11,-0.23,,,,,,4.08,8.76,0.0,4.08,0.374,0.374
5,2017,한화,21,RF,1,0,2.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.01,-0.01,-0.01,0.0,-0.001
6,2018,한화,22,LF,9,7,65.0,19,17,2,0,100.0,2.63,-1.23,0.28,0.11,,,,,,-0.84,-4.32,-0.26,-1.1,-0.075,-0.098
7,2018,한화,22,CF,11,4,48.0,10,10,0,0,100.0,1.88,1.05,0.36,0.06,,,,,,1.48,7.6,0.0,1.48,0.132,0.132
8,2018,한화,22,RF,1,1,6.0,3,3,0,0,100.0,4.5,0.95,,0.01,,,,,,0.96,4.95,-0.02,0.94,0.086,0.084
9,2019,한화,23,LF,8,5,39.1,9,9,0,0,100.0,2.06,0.66,-0.86,0.04,,,,,,-0.16,-1.68,-0.19,-0.35,-0.017,-0.036
10,2019,한화,23,CF,11,0,28.0,10,10,0,0,100.0,3.21,1.72,-0.31,0.04,,,,,,1.44,14.85,0.0,1.44,0.148,0.148
11,2019,한화,23,RF,2,0,5.0,1,1,0,0,100.0,1.8,0.2,,0.01,,,,,,0.21,2.19,-0.02,0.19,0.022,0.02
12,2020,한화,24,LF,5,3,30.0,7,7,0,0,100.0,2.1,1.23,-0.68,0.04,,,,,,0.59,2.29,-0.11,0.48,0.055,0.045
13,2020,한화,24,CF,20,2,56.1,18,18,0,0,100.0,2.88,1.6,-0.19,0.06,,,,,,1.47,5.7,0.0,1.47,0.138,0.138
14,2020,한화,24,RF,1,0,1.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.01,,,0.0,
15,2021,한화,25,LF,4,0,10.0,3,3,0,0,100.0,2.7,1.08,-0.24,0.01,,,,,,0.85,3.69,-0.02,0.83,0.084,0.082
16,2021,한화,25,CF,22,15,140.2,52,50,1,1,98.1,3.26,-1.45,-0.36,-0.35,,,,,,-2.16,-9.41,0.0,-2.16,-0.214,-0.214
17,2022,KT,26,LF,14,0,18.1,3,3,0,0,100.0,1.47,0.75,0.02,0.03,,,,,,0.8,3.72,-0.01,0.79,0.082,0.081
18,2022,KT,26,CF,3,0,3.2,1,1,0,0,100.0,2.45,0.14,,0.01,,,,,,0.15,0.68,0.0,0.15,0.015,0.015
19,2022,KT,26,RF,12,2,36.0,5,5,0,0,100.0,1.25,-1.33,-0.29,0.06,,,,,,-1.56,-7.22,-0.1,-1.66,-0.16,-0.171
20,2023,KT,27,LF,7,0,17.1,4,4,0,0,100.0,2.08,-0.32,0.11,0.03,,,,,,-0.19,-0.93,-0.05,-0.24,-0.019,-0.024
21,2023,KT,27,CF,3,1,13.0,3,3,0,0,100.0,2.08,-0.09,-0.19,0.02,,,,,,-0.27,-1.32,0.0,-0.27,-0.027,-0.027
22,2023,KT,27,RF,15,5,59.0,21,21,0,0,100.0,3.2,1.09,-0.53,0.11,,,,,,0.67,3.32,-0.19,0.48,0.068,0.049
