,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2005,롯데,19,3B,72,,,,,,11,,,-0.23,,,,,,,,-0.23,-0.47,,,-0.023,
1,2006,롯데,20,3B,123,,,,,,13,,,0.17,,,,,,,,0.17,0.19,,,0.018,
2,2007,롯데,21,SS,121,,,,,,17,,,-3.75,,,,,,,,-3.75,-4.46,,,-0.392,
3,2008,롯데,22,SS,53,,,,,,4,,,-2.27,,,,,,,,-2.27,-6.16,,,-0.233,
4,2009,두산,23,3B,125,,,,,,8,,,-1.93,,,,,,,,-1.93,-2.22,,,-0.177,
5,2010,두산,24,3B,104,,,,,,7,,,-1.23,,,,,,,,-1.23,-1.7,,,-0.116,
6,2011,두산,25,3B,110,,,,,,7,,,-0.27,,,,,,,,-0.27,-0.36,,,-0.027,
7,2012,두산,26,3B,107,,,,,,15,,,1.2,,,,,,,,1.2,1.62,,,0.126,
8,2013,두산,27,3B,82,69.0,646.0,177.0,54.0,116.0,7,96.0,2.37,-0.21,,0.18,0.51,-0.44,,,,0.04,0.06,0.0,0.04,0.004,0.004
9,2014,두산,28,1B,1,0.0,1.0,2.0,2.0,0.0,0,100.0,18.0,0.4,,0.0,,,,,,0.41,0.74,,,0.036,
10,2014,두산,28,3B,75,64.0,532.2,143.0,31.0,106.0,6,95.8,2.31,-3.28,,0.02,0.6,0.6,,,,-2.06,-3.75,0.0,-2.06,-0.182,-0.182
11,2016,두산,30,3B,3,3.0,23.2,6.0,1.0,5.0,0,100.0,2.28,0.74,,0.03,0.36,,,,,1.13,23.17,0.0,1.13,0.1,0.1
12,2016,두산,30,SS,3,2.0,20.0,14.0,5.0,7.0,2,85.7,5.4,-1.41,,0.03,1.07,,,,,-0.31,-6.41,0.18,-0.13,-0.028,-0.012
13,2017,삼성,31,3B,111,107.0,910.1,272.0,69.0,191.0,12,95.6,2.57,-4.36,,0.22,-0.12,0.07,,,,-4.2,-5.0,0.0,-4.2,-0.386,-0.386
14,2017,삼성,31,SS,10,7.0,58.2,38.0,14.0,24.0,0,100.0,5.83,0.22,,0.09,0.01,,,,,0.32,0.39,0.58,0.9,0.03,0.083
15,2018,삼성,32,1B,6,5.0,47.0,42.0,36.0,6.0,0,100.0,8.04,1.51,,0.05,,0.03,,,,1.59,1.79,-0.5,1.09,0.142,0.097
16,2018,삼성,32,3B,119,117.0,965.2,269.0,87.0,173.0,9,96.7,2.42,-5.32,,-0.09,-1.41,0.03,,,,-6.8,-7.65,0.0,-6.8,-0.607,-0.607
17,2019,삼성,33,1B,1,0.0,0.0,0.0,0.0,0.0,0,,,,,0.0,,,,,,0.0,0.0,,,0.0,
18,2019,삼성,33,3B,88,87.0,722.0,184.0,45.0,126.0,13,92.9,2.13,-3.68,,-0.35,0.67,0.04,,,,-3.31,-4.3,0.0,-3.31,-0.341,-0.341
19,2020,삼성,34,1B,53,51.0,387.1,353.0,322.0,29.0,2,99.4,8.16,-3.3,,0.34,,0.19,,,,-2.76,-3.28,-3.86,-6.62,-0.259,-0.622
20,2020,삼성,34,3B,59,57.0,435.2,88.0,28.0,52.0,8,90.9,1.65,-4.93,,0.26,0.28,-0.66,,,,-5.04,-6.0,0.0,-5.04,-0.474,-0.474
21,2021,삼성,35,1B,20,17.0,128.0,111.0,103.0,7.0,1,99.1,7.73,-0.83,,0.11,,,,,,-0.72,-0.8,-1.38,-2.1,-0.072,-0.209
22,2021,삼성,35,3B,103,103.0,742.0,176.0,43.0,129.0,4,97.7,2.09,-1.21,,0.06,0.24,0.19,,,,-0.73,-0.8,0.0,-0.73,-0.072,-0.072
23,2022,삼성,36,1B,22,18.0,170.0,170.0,154.0,13.0,3,98.2,8.84,-3.05,,-0.36,,0.42,,,,-2.99,-4.89,-1.7,-4.69,-0.308,-0.483
24,2022,삼성,36,3B,39,36.0,277.0,73.0,22.0,48.0,3,95.9,2.27,2.15,,0.24,0.32,,,,,2.71,4.44,0.0,2.71,0.28,0.28
25,2023,삼성,37,1B,5,4.0,28.0,27.0,23.0,4.0,0,100.0,8.68,0.38,,0.05,,0.06,,,,0.49,0.79,-0.26,0.23,0.05,0.023
26,2023,삼성,37,3B,12,11.0,84.0,22.0,7.0,13.0,2,90.9,2.14,-1.04,,-0.3,1.11,-0.61,,,,-0.83,-1.35,0.0,-0.83,-0.085,-0.085
27,2023,키움,37,1B,42,37.0,323.1,332.0,299.0,26.0,7,97.9,9.05,-3.18,,0.09,,0.08,,,,-3.01,-4.87,-3.16,-6.17,-0.307,-0.629
28,2023,키움,37,3B,6,5.0,47.2,12.0,6.0,5.0,1,91.7,2.08,-1.78,,-0.38,,,,,,-2.17,-3.51,0.0,-2.17,-0.221,-0.221
29,2024,키움,38,1B,12,12.0,87.0,91.0,85.0,4.0,2,97.8,9.21,-1.45,,-0.57,,,,,,-2.02,-7.46,-0.76,-2.78,-0.185,-0.254
