,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2021,LG,20,1B,4,3,22.0,25,24,1,0,100.0,10.23,1.43,,0.02,,,,,,1.45,14.91,-0.18,1.27,0.144,0.126
1,2021,LG,20,CF,1,0,3.0,0,0,0,0,,0.00,-0.53,,0.00,,,,,,-0.53,-5.42,0.00,-0.53,-0.052,-0.052
2,2021,LG,20,RF,1,0,1.0,0,0,0,0,,0.00,-0.05,,0.00,,,,,,-0.05,-0.48,,,-0.005,
3,2023,LG,22,LF,6,1,20.0,3,3,0,0,100.0,1.35,-1.17,0.01,0.04,,,,,,-1.13,-2.36,-0.05,-1.18,-0.115,-0.120
4,2023,LG,22,RF,3,0,9.0,2,2,0,0,100.0,2.00,-0.63,0.05,0.02,,,,,,-0.56,-1.16,-0.03,-0.59,-0.057,-0.060
5,2023,키움,22,LF,1,1,9.0,2,2,0,0,100.0,2.00,-0.90,,0.02,,,,,,-0.88,-1.84,-0.04,-0.92,-0.090,-0.094
6,2023,키움,22,CF,25,24,207.0,75,75,0,0,100.0,3.26,1.42,-0.76,0.26,,,,,,0.93,1.94,0.00,0.93,0.095,0.095
7,2023,키움,22,RF,6,6,52.0,14,14,0,0,100.0,2.42,0.72,-0.81,0.10,,,,,,0.01,0.03,-0.29,-0.28,0.001,-0.028
8,2024,키움,23,LF,1,1,4.0,0,0,0,0,,0.00,-1.42,-0.05,0.00,,,,,,-1.46,-1.82,-0.02,-1.48,-0.133,-0.135
9,2024,키움,23,CF,48,40,341.0,104,102,1,1,99.0,2.72,2.02,-0.34,0.21,,,,,,1.88,2.36,0.00,1.88,0.172,0.172
10,2024,키움,23,RF,58,50,431.1,113,108,3,2,98.2,2.32,1.81,0.46,0.30,,,,,,2.57,3.21,-2.40,0.17,0.234,0.015
