,Unnamed: 0.1,Unnamed: 0,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,0,0,2009,삼성,23,C,23,,,,,,0,,,0.04,,,,,,-0.27,,-0.23,-1.41,,,-0.021,
1,1,1,2012,삼성,26,C,54,,,,,,4,,,-0.25,,,,,,1.02,,0.77,2.06,,,0.081,
2,2,2,2013,삼성,27,C,110,80.0,680.0,629.0,585.0,38.0,6,99.0,8.25,0.17,,0.2,,-0.01,1.58,4.6,-3.78,2.76,3.51,6.79,9.55,0.277,0.96
3,3,3,2014,삼성,28,C,99,83.0,696.2,681.0,634.0,41.0,6,99.1,8.72,-0.05,,0.18,,0.11,0.48,2.35,,2.36,3.44,7.13,9.49,0.209,0.84
4,4,4,2015,삼성,29,C,118,101.0,844.2,868.0,803.0,58.0,7,99.2,9.17,0.35,,-0.57,,0.18,0.42,-0.43,,0.07,0.09,9.29,9.36,0.007,0.866
5,5,5,2016,삼성,30,C,124,101.0,867.0,756.0,682.0,64.0,10,98.7,7.74,1.13,,-0.92,,0.43,1.35,4.64,,5.23,5.84,9.62,14.86,0.464,1.317
6,6,6,2017,삼성,31,C,102,87.0,746.2,686.0,638.0,42.0,6,99.1,8.2,0.43,,-0.14,,-0.07,-0.01,6.28,,4.61,6.33,7.85,12.46,0.424,1.144
7,7,7,2018,삼성,32,C,73,36.0,389.1,391.0,366.0,21.0,4,99.0,8.95,0.9,,-0.67,,0.23,-0.62,0.65,,0.3,0.48,4.25,4.55,0.027,0.406
8,8,8,2019,키움,33,C,83,74.0,605.0,509.0,468.0,38.0,3,99.4,7.53,-0.42,,0.34,,0.16,-1.38,-1.37,,-2.25,-3.06,6.53,4.27,-0.232,0.44
9,9,9,2020,키움,34,C,70,50.0,440.2,381.0,362.0,15.0,4,99.0,7.7,-0.31,,-0.61,,0.25,-0.76,-0.44,,-1.73,-2.47,4.78,3.05,-0.163,0.286
10,10,10,2021,키움,35,C,94,50.0,508.2,422.0,389.0,30.0,3,99.3,7.41,0.21,,0.15,,-0.01,0.27,0.58,,1.02,1.36,5.45,6.47,0.101,0.641
11,11,11,2022,키움,36,C,137,102.0,994.2,906.0,818.0,77.0,11,98.8,8.1,-0.22,,-1.32,,0.21,0.01,2.44,,0.38,0.4,10.54,10.92,0.039,1.125
12,12,12,2023,키움,37,C,78,69.0,539.0,503.0,467.0,32.0,4,99.2,8.33,-0.26,,-0.59,,0.02,0.92,1.6,,1.2,2.14,5.57,6.77,0.123,0.691
13,13,13,2024,SSG,38,C,117,105.0,914.2,987.0,919.0,61.0,7,99.3,9.64,1.2,,-0.21,,0.1,1.67,5.34,,6.5,7.61,10.06,16.56,0.594,1.513
