,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2016,KIA,19,LF,2,1,6.0,2,2,0,0,100.0,3.0,-0.21,0.04,0.01,,,,,,-0.15,-1.29,-0.02,-0.17,-0.013,-0.015
1,2016,KIA,19,CF,2,0,2.0,1,1,0,0,100.0,4.5,-1.02,0.0,0.0,,,,,,-1.01,-8.57,0.0,-1.01,-0.09,-0.09
2,2016,KIA,19,RF,13,6,69.1,15,14,0,1,93.3,1.82,0.21,-0.3,-0.42,,,,,,-0.51,-4.32,-0.27,-0.78,-0.045,-0.069
3,2017,KIA,20,LF,8,0,14.2,5,5,0,0,100.0,3.07,-0.33,0.47,0.04,,,,,,0.18,1.41,-0.06,0.12,0.016,0.011
4,2017,KIA,20,RF,5,0,6.0,4,3,0,1,75.0,4.5,-0.29,-0.32,-0.5,,,,,,-1.11,-8.84,-0.01,-1.12,-0.101,-0.102
5,2019,KIA,22,LF,4,0,7.0,1,1,0,0,100.0,1.29,-0.89,0.26,0.01,,,,,,-0.62,-8.16,-0.02,-0.64,-0.064,-0.066
6,2019,KIA,22,CF,1,1,8.0,2,2,0,0,100.0,2.25,0.01,0.13,0.01,,,,,,0.15,1.97,0.0,0.15,0.015,0.015
7,2019,KIA,22,RF,4,3,25.0,8,8,0,0,100.0,2.88,0.69,0.02,0.04,,,,,,0.75,9.87,-0.09,0.66,0.077,0.068
8,2020,KIA,23,LF,6,0,12.0,4,4,0,0,100.0,3.0,-0.08,-0.85,0.02,,,,,,-0.91,-4.11,-0.05,-0.96,-0.086,-0.091
9,2020,KIA,23,RF,9,1,21.0,10,9,0,1,90.0,3.86,-0.29,-0.02,-0.49,,,,,,-0.8,-3.6,-0.07,-0.87,-0.075,-0.082
10,2021,KIA,24,CF,12,8,76.0,20,20,0,0,100.0,2.37,1.2,-0.08,0.08,,,,,,1.2,10.19,0.0,1.2,0.119,0.119
11,2021,KIA,24,RF,4,3,31.0,5,5,0,0,100.0,1.45,-0.22,-0.32,0.04,,,,,,-0.51,-4.28,-0.13,-0.64,-0.05,-0.063
12,2022,한화,25,LF,13,8,71.2,15,14,0,1,93.3,1.76,-1.78,0.26,-0.38,,,,,,-1.89,-3.89,-0.33,-2.22,-0.195,-0.229
13,2022,한화,25,RF,54,47,414.2,77,73,3,1,98.7,1.65,1.34,-0.22,0.25,,,,,,1.37,2.83,-1.96,-0.59,0.142,-0.06
14,2023,한화,26,LF,21,15,140.1,35,34,0,1,97.1,2.18,2.34,-0.9,-0.25,,,,,,1.2,1.42,-0.66,0.54,0.122,0.055
15,2023,한화,26,CF,31,27,195.1,56,54,2,0,100.0,2.58,-2.41,-0.09,0.25,,,,,,-2.25,-2.67,0.0,-2.25,-0.229,-0.229
16,2023,한화,26,RF,80,53,509.1,140,127,9,4,97.1,2.4,5.24,0.51,-1.0,,,,,,4.75,5.65,-2.49,2.26,0.484,0.23
17,2024,한화,27,LF,6,1,17.2,1,1,0,0,100.0,0.51,-0.49,0.57,0.02,,,,,,0.1,0.33,-0.09,0.01,0.009,0.001
18,2024,한화,27,CF,27,15,131.0,46,46,0,0,100.0,3.16,1.96,-0.36,0.27,,,,,,1.87,6.4,0.0,1.87,0.17,0.17
19,2024,한화,27,RF,13,5,55.0,13,12,0,1,92.3,1.96,0.52,-0.47,-0.34,,,,,,-0.29,-1.0,-0.26,-0.55,-0.027,-0.051
