,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2019,삼성,29,1B,1,0,3.0,4,4,0,0,100.0,12.0,0.15,,0.0,,,,,,0.16,0.19,-0.04,0.12,0.016,0.012
1,2019,삼성,29,SS,116,110,935.1,455,155,281,19,95.8,4.2,1.21,,-0.18,1.02,,,,,2.05,2.5,8.6,10.65,0.211,1.095
2,2020,삼성,30,SS,62,57,483.1,273,108,161,4,98.5,5.01,5.47,,0.7,-1.85,,,,,4.33,9.73,4.74,9.07,0.407,0.852
3,2021,삼성,31,SS,64,47,401.2,223,81,131,11,95.1,4.75,-2.27,,-1.35,-0.01,,,,,-3.63,-7.91,3.36,-0.27,-0.36,-0.026
4,2022,롯데,32,SS,86,68,616.0,331,119,200,12,96.4,4.66,-3.65,,-0.43,-2.16,,,,,-6.24,-9.87,5.12,-1.12,-0.643,-0.115
5,2023,롯데,33,2B,4,1,9.0,8,5,2,1,87.5,7.0,-1.51,,0.02,,,,,,-1.49,-2.06,0.02,-1.47,-0.152,-0.15
6,2023,롯데,33,3B,53,13,162.2,54,16,35,3,94.4,2.82,0.87,,-0.61,-0.45,0.09,,,,-0.11,-0.16,0.0,-0.11,-0.011,-0.011
7,2023,롯데,33,SS,53,16,178.1,91,30,56,5,94.5,4.34,-0.6,,-0.08,-0.76,,,,,-1.44,-1.99,1.24,-0.2,-0.147,-0.02
8,2024,롯데,34,3B,3,2,5.2,0,0,0,0,,0.0,-0.04,,0.04,,,,,,0.0,-0.01,0.0,0.0,0.0,0.0
9,2024,롯데,34,SS,40,25,238.1,107,38,67,2,98.1,3.97,-3.82,,1.11,-1.16,,,,,-3.88,-12.99,2.06,-1.82,-0.354,-0.166
