,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2020,롯데,25,1B,1,0,4.1,3,3,0,0,100.0,6.23,0.82,,0.0,,,,,,0.83,118.99,-0.04,0.79,0.078,0.074
1,2021,롯데,26,1B,1,1,9.0,11,10,1,0,100.0,11.0,1.29,,0.01,,,,,,1.3,26.69,-0.08,1.22,0.129,0.121
2,2021,롯데,26,2B,1,0,1.0,0,0,0,0,,0.0,,,0.0,,,,,,0.0,0.03,0.01,0.01,0.0,0.001
3,2021,롯데,26,3B,1,0,2.0,1,0,1,0,100.0,4.5,0.49,,0.0,0.36,,,,,0.85,17.53,0.0,0.85,0.084,0.084
4,2022,롯데,27,1B,39,13,155.0,140,127,12,1,99.3,8.07,1.99,,0.12,,-0.44,,,,1.67,2.73,-1.34,0.33,0.172,0.034
5,2022,롯데,27,2B,20,10,114.0,62,24,36,2,96.8,4.74,-2.37,,0.13,-0.68,,,,,-2.92,-4.78,0.51,-2.41,-0.301,-0.248
6,2022,롯데,27,3B,26,17,172.1,48,13,34,1,97.9,2.45,1.17,,0.15,0.07,-0.04,,,,1.35,2.22,0.0,1.35,0.14,0.14
7,2022,롯데,27,SS,9,5,42.0,25,8,17,0,100.0,5.36,-2.0,,0.07,0.33,,,,,-1.6,-2.63,0.36,-1.24,-0.165,-0.128
8,2023,KT,28,1B,10,2,32.2,35,33,2,0,100.0,9.64,1.14,,0.06,,,,,,1.2,2.03,-0.3,0.9,0.122,0.092
9,2023,KT,28,2B,64,52,370.1,213,80,125,8,96.2,4.98,-0.13,,-0.48,1.48,,,,,0.87,1.47,1.7,2.57,0.089,0.262
10,2023,KT,28,3B,12,6,60.0,16,3,12,1,93.8,2.25,-0.22,,0.14,0.1,0.1,,,,0.11,0.19,0.0,0.11,0.012,0.012
11,2024,KT,29,1B,1,0,2.0,4,4,0,0,100.0,18.0,0.0,,0.01,,,,,,0.01,0.05,-0.02,-0.01,0.001,-0.001
12,2024,KT,29,2B,10,3,32.0,17,6,11,0,100.0,4.78,-2.1,,0.19,-0.12,,,,,-2.02,-10.78,0.13,-1.89,-0.185,-0.173
13,2024,KT,29,3B,11,5,43.0,6,2,4,0,100.0,1.26,1.03,,0.3,0.23,,,,,1.55,8.28,0.0,1.55,0.142,0.142
