,Year,Team,Age,Pos.,G,GS,IP,TC,PO,Ass,E,F%,RF9,Range RAA,Arm RAA,Err RAA,DP RAA,Bt RAA,CS RAA,Blk RAA,Frm RAA,종합 RAA,/144,POSAdj,RAAwithPOS,WAAwoPOS,WAAwithPOS
0,2013,KIA,23,C,51,23,241.1,236,214,19,3,98.7,8.69,0.12,,-0.51,,-0.02,1.06,-0.37,1.87,2.15,6.06,2.30,4.45,0.216,0.447
1,2015,KIA,25,C,89,57,474.0,418,383,32,3,99.3,7.88,0.06,,0.15,,0.09,-1.12,-0.27,,-1.01,-1.30,4.80,3.79,-0.093,0.351
2,2015,KIA,25,1B,8,1,12.1,15,14,1,0,100.0,10.95,0.99,,0.02,,0.22,,,,1.22,1.57,-0.12,1.10,0.113,0.102
3,2016,KIA,26,C,92,64,531.0,466,428,33,5,98.9,7.81,-1.33,,0.39,,-0.14,-2.57,-3.67,,-6.22,-8.45,5.66,-0.56,-0.552,-0.050
4,2016,KIA,26,1B,2,0,2.0,2,2,0,0,100.0,9.00,0.37,,0.00,,,,,,0.38,0.51,-0.04,0.34,0.033,0.030
5,2017,KIA,27,C,3,3,22.0,19,17,2,0,100.0,7.77,0.00,,0.07,,0.05,-0.20,-1.59,,-1.20,-3.26,0.24,-0.96,-0.110,-0.088
6,2017,SK,27,C,46,18,194.2,186,164,20,2,98.9,8.51,-0.07,,-0.39,,0.05,2.37,2.08,,3.41,9.28,1.97,5.38,0.314,0.494
7,2020,SK,30,C,22,16,131.1,116,108,7,1,99.1,7.88,-0.13,,-0.08,,,-1.02,-0.28,,-1.43,-4.19,1.22,-0.20,-0.134,-0.019
8,2020,KT,30,C,21,10,98.2,66,63,2,1,98.5,5.93,-0.08,,-0.19,,,-1.05,-1.28,,-2.21,-6.50,0.91,-1.30,-0.208,-0.122
9,2021,KT,31,C,35,13,143.1,129,122,7,0,100.0,8.10,-0.12,,0.46,,,0.49,0.60,,1.26,4.89,1.22,2.48,0.125,0.246
